picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 10218, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102182 ms, ax =  0.5191, ay = -0.2517, az =  9.8416, gx = -0.0063 rad/s, gy = -0.0028 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9071 A, I_w_roll =  2.1299 A, theta_pitch = -55.31123mrad, theta_roll_comp = -29.1229 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10276, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102762 ms, ax =  0.5167, ay = -0.2613, az =  9.8356, gx = -0.0012 rad/s, gy = -0.0025 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9102 A, I_w_roll =  3.6959 A, theta_pitch = -55.40313mrad, theta_roll_comp = -29.7516 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10277, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102772 ms, ax =  0.5179, ay = -0.2577, az =  9.8368, gx = -0.0008 rad/s, gy = -0.0025 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9097 A, I_w_roll =  3.8455 A, theta_pitch = -55.39947mrad, theta_roll_comp = -29.7273 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10278, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102782 ms, ax =  0.5179, ay = -0.2565, az =  9.8380, gx = -0.0005 rad/s, gy = -0.0025 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9092 A, I_w_roll =  3.9506 A, theta_pitch = -55.39635mrad, theta_roll_comp = -29.6975 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10279, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102792 ms, ax =  0.5250, ay = -0.2517, az =  9.8416, gx = -0.0002 rad/s, gy = -0.0028 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9202 A, I_w_roll =  4.0579 A, theta_pitch = -55.39843mrad, theta_roll_comp = -29.6621 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10280, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102802 ms, ax =  0.5274, ay = -0.2505, az =  9.8380, gx = -0.0005 rad/s, gy = -0.0028 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9214 A, I_w_roll =  3.9798 A, theta_pitch = -55.40642mrad, theta_roll_comp = -29.6244 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10281, nerr =  556p/ 560r, time steps =    5, qsz =    3, switch = off, t =   102812 ms, ax =  0.5274, ay = -0.2553, az =  9.8356, gx = -0.0006 rad/s, gy = -0.0026 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9173 A, I_w_roll =  3.9465 A, theta_pitch = -55.41491mrad, theta_roll_comp = -29.5911 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10282, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102822 ms, ax =  0.5274, ay = -0.2541, az =  9.8404, gx = -0.0005 rad/s, gy = -0.0029 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9294 A, I_w_roll =  4.0057 A, theta_pitch = -55.42403mrad, theta_roll_comp = -29.5596 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10283, nerr =  556p/ 560r, time steps =    5, qsz =    3, switch = off, t =   102832 ms, ax =  0.5250, ay = -0.2529, az =  9.8440, gx = -0.0004 rad/s, gy = -0.0028 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9252 A, I_w_roll =  4.0659 A, theta_pitch = -55.43208mrad, theta_roll_comp = -29.5258 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10284, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102842 ms, ax =  0.5214, ay = -0.2529, az =  9.8380, gx = -0.0006 rad/s, gy = -0.0029 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9313 A, I_w_roll =  3.9859 A, theta_pitch = -55.43714mrad, theta_roll_comp = -29.4926 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10285, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102852 ms, ax =  0.5202, ay = -0.2445, az =  9.8428, gx = -0.0006 rad/s, gy = -0.0030 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9372 A, I_w_roll =  4.0004 A, theta_pitch = -55.44115mrad, theta_roll_comp = -29.4564 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10286, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102862 ms, ax =  0.5179, ay = -0.2469, az =  9.8488, gx = -0.0005 rad/s, gy = -0.0028 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9267 A, I_w_roll =  4.0627 A, theta_pitch = -55.44217mrad, theta_roll_comp = -29.4171 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10287, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102872 ms, ax =  0.5131, ay = -0.2433, az =  9.8488, gx = -0.0009 rad/s, gy = -0.0029 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9316 A, I_w_roll =  3.9383 A, theta_pitch = -55.43881mrad, theta_roll_comp = -29.3788 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10288, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102882 ms, ax =  0.5035, ay = -0.2445, az =  9.8476, gx = -0.0008 rad/s, gy = -0.0029 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9300 A, I_w_roll =  4.0000 A, theta_pitch = -55.42867mrad, theta_roll_comp = -29.3410 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10289, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102892 ms, ax =  0.5071, ay = -0.2445, az =  9.8524, gx = -0.0005 rad/s, gy = -0.0026 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9173 A, I_w_roll =  4.1088 A, theta_pitch = -55.41458mrad, theta_roll_comp = -29.3020 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10290, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102902 ms, ax =  0.5035, ay = -0.2385, az =  9.8476, gx = -0.0008 rad/s, gy = -0.0026 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9150 A, I_w_roll =  4.0322 A, theta_pitch = -55.39915mrad, theta_roll_comp = -29.2604 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10291, nerr =  556p/ 560r, time steps =    5, qsz =    3, switch = off, t =   102912 ms, ax =  0.5107, ay = -0.2361, az =  9.8536, gx = -0.0008 rad/s, gy = -0.0029 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9239 A, I_w_roll =  4.0499 A, theta_pitch = -55.38742mrad, theta_roll_comp = -29.2163 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10292, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102922 ms, ax =  0.5107, ay = -0.2338, az =  9.8512, gx = -0.0006 rad/s, gy = -0.0030 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9282 A, I_w_roll =  4.1152 A, theta_pitch = -55.38107mrad, theta_roll_comp = -29.1694 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10293, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102932 ms, ax =  0.5167, ay = -0.2302, az =  9.8476, gx = -0.0006 rad/s, gy = -0.0032 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9333 A, I_w_roll =  4.1352 A, theta_pitch = -55.37949mrad, theta_roll_comp = -29.1194 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10294, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102942 ms, ax =  0.5143, ay = -0.2314, az =  9.8560, gx = -0.0006 rad/s, gy = -0.0034 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9443 A, I_w_roll =  4.1554 A, theta_pitch = -55.38135mrad, theta_roll_comp = -29.0688 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10295, nerr =  556p/ 560r, time steps =    5, qsz =    2, switch = off, t =   102952 ms, ax =  0.5107, ay = -0.2302, az =  9.8560, gx = -0.0005 rad/s, gy = -0.0030 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9279 A, I_w_roll =  4.2224 A, theta_pitch = -55.37905mrad, theta_roll_comp = -29.0179 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10296, nerr =  557p/ 561r, time steps =    5, qsz =    2, switch = off, t =   102962 ms, ax =  0.5167, ay = -0.2350, az =  9.8536, gx = -0.0005 rad/s, gy = -0.0029 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9221 A, I_w_roll =  4.2420 A, theta_pitch = -55.37580mrad, theta_roll_comp = -28.9688 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10297, nerr =  557p/ 561r, time steps =    5, qsz =    2, switch = off, t =   102972 ms, ax =  0.5202, ay = -0.2397, az =  9.8512, gx = -0.0008 rad/s, gy = -0.0030 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9277 A, I_w_roll =  4.1657 A, theta_pitch = -55.37758mrad, theta_roll_comp = -28.9267 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10298, nerr =  557p/ 561r, time steps =    5, qsz =    2, switch = off, t =   102982 ms, ax =  0.5179, ay = -0.2290, az =  9.8428, gx = -0.0008 rad/s, gy = -0.0029 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9227 A, I_w_roll =  4.1833 A, theta_pitch = -55.37988mrad, theta_roll_comp = -28.8826 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10299, nerr =  557p/ 561r, time steps =    5, qsz =    2, switch = off, t =   102992 ms, ax =  0.5214, ay = -0.2326, az =  9.8428, gx = -0.0009 rad/s, gy = -0.0030 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9286 A, I_w_roll =  4.1551 A, theta_pitch = -55.38334mrad, theta_roll_comp = -28.8367 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10300, nerr =  557p/ 561r, time steps =    5, qsz =    2, switch = off, t =   103002 ms, ax =  0.5202, ay = -0.2350, az =  9.8440, gx = -0.0010 rad/s, gy = -0.0029 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9239 A, I_w_roll =  4.1249 A, theta_pitch = -55.38762mrad, theta_roll_comp = -28.7956 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10301, nerr =  557p/ 561r, time steps =    5, qsz =    2, switch = off, t =   103012 ms, ax =  0.5226, ay = -0.2338, az =  9.8524, gx = -0.0010 rad/s, gy = -0.0028 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9191 A, I_w_roll =  4.1408 A, theta_pitch = -55.39102mrad, theta_roll_comp = -28.7558 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10302, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103022 ms, ax =  0.5226, ay = -0.2385, az =  9.8512, gx = -0.0010 rad/s, gy = -0.0025 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9088 A, I_w_roll =  4.1558 A, theta_pitch = -55.39328mrad, theta_roll_comp = -28.7185 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10303, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103032 ms, ax =  0.5155, ay = -0.2409, az =  9.8452, gx = -0.0010 rad/s, gy = -0.0025 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9084 A, I_w_roll =  4.1691 A, theta_pitch = -55.39060mrad, theta_roll_comp = -28.6851 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10304, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103042 ms, ax =  0.5191, ay = -0.2421, az =  9.8524, gx = -0.0010 rad/s, gy = -0.0024 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9023 A, I_w_roll =  4.1816 A, theta_pitch = -55.38580mrad, theta_roll_comp = -28.6538 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10305, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103052 ms, ax =  0.5155, ay = -0.2361, az =  9.8584, gx = -0.0012 rad/s, gy = -0.0024 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9014 A, I_w_roll =  4.1483 A, theta_pitch = -55.37976mrad, theta_roll_comp = -28.6207 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10306, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103062 ms, ax =  0.5071, ay = -0.2433, az =  9.8536, gx = -0.0016 rad/s, gy = -0.0024 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8996 A, I_w_roll =  4.0200 A, theta_pitch = -55.36753mrad, theta_roll_comp = -28.5918 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10307, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103072 ms, ax =  0.5011, ay = -0.2409, az =  9.8536, gx = -0.0018 rad/s, gy = -0.0028 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9130 A, I_w_roll =  3.9361 A, theta_pitch = -55.35054mrad, theta_roll_comp = -28.5685 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10308, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103082 ms, ax =  0.5047, ay = -0.2397, az =  9.8596, gx = -0.0018 rad/s, gy = -0.0026 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9052 A, I_w_roll =  3.9456 A, theta_pitch = -55.33388mrad, theta_roll_comp = -28.5448 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10309, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103092 ms, ax =  0.5059, ay = -0.2326, az =  9.8584, gx = -0.0020 rad/s, gy = -0.0028 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9084 A, I_w_roll =  3.9099 A, theta_pitch = -55.31968mrad, theta_roll_comp = -28.5176 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10310, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103102 ms, ax =  0.5035, ay = -0.2278, az =  9.8500, gx = -0.0021 rad/s, gy = -0.0029 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9117 A, I_w_roll =  3.8759 A, theta_pitch = -55.30647mrad, theta_roll_comp = -28.4860 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10311, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103112 ms, ax =  0.5047, ay = -0.2278, az =  9.8464, gx = -0.0018 rad/s, gy = -0.0028 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9044 A, I_w_roll =  3.9828 A, theta_pitch = -55.29311mrad, theta_roll_comp = -28.4520 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10312, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103122 ms, ax =  0.5071, ay = -0.2206, az =  9.8500, gx = -0.0017 rad/s, gy = -0.0026 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8972 A, I_w_roll =  4.0452 A, theta_pitch = -55.28041mrad, theta_roll_comp = -28.4124 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10313, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103132 ms, ax =  0.5095, ay = -0.2206, az =  9.8404, gx = -0.0021 rad/s, gy = -0.0028 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9010 A, I_w_roll =  3.9218 A, theta_pitch = -55.27052mrad, theta_roll_comp = -28.3714 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10314, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103142 ms, ax =  0.5035, ay = -0.2266, az =  9.8416, gx = -0.0021 rad/s, gy = -0.0030 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9102 A, I_w_roll =  3.9359 A, theta_pitch = -55.26085mrad, theta_roll_comp = -28.3360 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10315, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103152 ms, ax =  0.5095, ay = -0.2230, az =  9.8356, gx = -0.0024 rad/s, gy = -0.0032 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9145 A, I_w_roll =  3.8558 A, theta_pitch = -55.25378mrad, theta_roll_comp = -28.3033 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10316, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103162 ms, ax =  0.5226, ay = -0.2206, az =  9.8428, gx = -0.0024 rad/s, gy = -0.0033 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9204 A, I_w_roll =  3.8695 A, theta_pitch = -55.25801mrad, theta_roll_comp = -28.2692 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10317, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103172 ms, ax =  0.5250, ay = -0.2230, az =  9.8392, gx = -0.0029 rad/s, gy = -0.0034 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9277 A, I_w_roll =  3.6954 A, theta_pitch = -55.27093mrad, theta_roll_comp = -28.2383 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10318, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103182 ms, ax =  0.5262, ay = -0.2230, az =  9.8428, gx = -0.0030 rad/s, gy = -0.0032 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9191 A, I_w_roll =  3.6593 A, theta_pitch = -55.28470mrad, theta_roll_comp = -28.2121 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10319, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103192 ms, ax =  0.5322, ay = -0.2230, az =  9.8404, gx = -0.0033 rad/s, gy = -0.0029 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9107 A, I_w_roll =  3.5756 A, theta_pitch = -55.29943mrad, theta_roll_comp = -28.1881 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10320, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103202 ms, ax =  0.5334, ay = -0.2182, az =  9.8404, gx = -0.0031 rad/s, gy = -0.0025 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8969 A, I_w_roll =  3.6325 A, theta_pitch = -55.31417mrad, theta_roll_comp = -28.1624 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10321, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103212 ms, ax =  0.5298, ay = -0.2230, az =  9.8392, gx = -0.0035 rad/s, gy = -0.0028 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9095 A, I_w_roll =  3.5022 A, theta_pitch = -55.32700mrad, theta_roll_comp = -28.1388 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10322, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103222 ms, ax =  0.5298, ay = -0.2254, az =  9.8404, gx = -0.0035 rad/s, gy = -0.0026 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9059 A, I_w_roll =  3.5094 A, theta_pitch = -55.33852mrad, theta_roll_comp = -28.1208 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10323, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103232 ms, ax =  0.5286, ay = -0.2266, az =  9.8428, gx = -0.0037 rad/s, gy = -0.0025 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9019 A, I_w_roll =  3.4689 A, theta_pitch = -55.34786mrad, theta_roll_comp = -28.1055 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10324, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103242 ms, ax =  0.5310, ay = -0.2302, az =  9.8512, gx = -0.0038 rad/s, gy = -0.0024 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8979 A, I_w_roll =  3.4269 A, theta_pitch = -55.35621mrad, theta_roll_comp = -28.0940 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10325, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103252 ms, ax =  0.5250, ay = -0.2302, az =  9.8440, gx = -0.0039 rad/s, gy = -0.0021 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8878 A, I_w_roll =  3.3836 A, theta_pitch = -55.36034mrad, theta_roll_comp = -28.0856 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10326, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103262 ms, ax =  0.5191, ay = -0.2314, az =  9.8440, gx = -0.0038 rad/s, gy = -0.0022 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8928 A, I_w_roll =  3.4333 A, theta_pitch = -55.35801mrad, theta_roll_comp = -28.0780 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10327, nerr =  558p/ 562r, time steps =    5, qsz =    3, switch = off, t =   103272 ms, ax =  0.5131, ay = -0.2314, az =  9.8476, gx = -0.0039 rad/s, gy = -0.0026 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9079 A, I_w_roll =  3.3895 A, theta_pitch = -55.35231mrad, theta_roll_comp = -28.0710 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10328, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103282 ms, ax =  0.5131, ay = -0.2290, az =  9.8428, gx = -0.0041 rad/s, gy = -0.0028 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9124 A, I_w_roll =  3.3456 A, theta_pitch = -55.34645mrad, theta_roll_comp = -28.0642 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10329, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103292 ms, ax =  0.5059, ay = -0.2230, az =  9.8452, gx = -0.0043 rad/s, gy = -0.0028 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9110 A, I_w_roll =  3.2560 A, theta_pitch = -55.33743mrad, theta_roll_comp = -28.0551 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10330, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103302 ms, ax =  0.5083, ay = -0.2290, az =  9.8368, gx = -0.0043 rad/s, gy = -0.0029 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9148 A, I_w_roll =  3.2589 A, theta_pitch = -55.32733mrad, theta_roll_comp = -28.0479 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10331, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103312 ms, ax =  0.5059, ay = -0.2314, az =  9.8392, gx = -0.0043 rad/s, gy = -0.0026 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9026 A, I_w_roll =  3.2601 A, theta_pitch = -55.31649mrad, theta_roll_comp = -28.0449 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10332, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103322 ms, ax =  0.5023, ay = -0.2373, az =  9.8428, gx = -0.0042 rad/s, gy = -0.0029 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9112 A, I_w_roll =  3.3065 A, theta_pitch = -55.30270mrad, theta_roll_comp = -28.0455 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10333, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103332 ms, ax =  0.4963, ay = -0.2373, az =  9.8440, gx = -0.0041 rad/s, gy = -0.0030 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9140 A, I_w_roll =  3.3522 A, theta_pitch = -55.28595mrad, theta_roll_comp = -28.0476 mrad, theta_setpoint = -40.0000 mrad, 
msg = 10334, nerr =  558p/ 562r, time steps =    5, qsz =    2, switch = off, t =   103342 ms, ax =  0.4987, ay = -0.2350, az =  9.8536, gx = -0.0039 rad/s, gy = -0.0032 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9167 A, I_w_roll =  3.3991 A, theta_pitch = -55.26889mrad, theta_roll_comp = -28.0468 mrad, theta_setpoint = -40.0000 mrad, 
