picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 2209, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44182 ms, ax =  0.1343, ay = -0.3956, az =  9.9339, gx =  0.0010 rad/s, gy = -0.0500 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.6350, I_w_pitch = -0.1694 A, I_w_roll =  0.3840 A, theta_pitch = 4.47074mrad, theta_roll_comp = -39.9355 mrad, theta_setpoint = -40.0399 mrad, 
msg = 2267, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45342 ms, ax = -0.0863, ay = -0.3356, az =  9.9579, gx = -0.0031 rad/s, gy = -0.0394 rad/s, gz = -0.0016 rad/s, rpm_pitch =  0.0000, rpm_roll = 20.9225, I_w_pitch = -1.1776 A, I_w_roll =  0.6710 A, theta_pitch = 8.35159mrad, theta_roll_comp = -36.8802 mrad, theta_setpoint = -41.3139 mrad, 
msg = 2268, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45362 ms, ax = -0.1151, ay = -0.3153, az =  9.9710, gx = -0.0024 rad/s, gy = -0.0358 rad/s, gz =  0.0011 rad/s, rpm_pitch =  0.0000, rpm_roll = 20.9225, I_w_pitch = -1.2146 A, I_w_roll =  0.9462 A, theta_pitch = 7.63964mrad, theta_roll_comp = -36.8914 mrad, theta_setpoint = -41.3139 mrad, 
msg = 2269, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45382 ms, ax = -0.1642, ay = -0.3500, az =  9.9758, gx = -0.0017 rad/s, gy = -0.0230 rad/s, gz =  0.0029 rad/s, rpm_pitch = -3.0131, rpm_roll = 22.8944, I_w_pitch = -5.6301 A, I_w_roll =  1.2294 A, theta_pitch = 7.17592mrad, theta_roll_comp = -36.8897 mrad, theta_setpoint = -41.4378 mrad, 
msg = 2270, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45402 ms, ax = -0.2134, ay = -0.3680, az =  9.9782, gx = -0.0017 rad/s, gy = -0.0016 rad/s, gz =  0.0017 rad/s, rpm_pitch = -0.0437, rpm_roll = 22.1591, I_w_pitch = -2.5733 A, I_w_roll =  1.1937 A, theta_pitch = 7.18773mrad, theta_roll_comp = -36.9326 mrad, theta_setpoint = -41.3916 mrad, 
msg = 2271, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45422 ms, ax = -0.1175, ay = -0.3548, az =  9.9579, gx = -0.0016 rad/s, gy =  0.0168 rad/s, gz =  0.0005 rad/s, rpm_pitch = -0.0437, rpm_roll = 22.1591, I_w_pitch = -3.3595 A, I_w_roll =  1.2285 A, theta_pitch = 7.52955mrad, theta_roll_comp = -36.9621 mrad, theta_setpoint = -41.3916 mrad, 
msg = 2272, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45442 ms, ax = -0.1846, ay = -0.3308, az =  9.9722, gx = -0.0016 rad/s, gy =  0.0287 rad/s, gz =  0.0017 rad/s, rpm_pitch =  0.0000, rpm_roll = 24.1979, I_w_pitch = -3.8769 A, I_w_roll =  1.2871 A, theta_pitch = 8.20235mrad, theta_roll_comp = -36.9438 mrad, theta_setpoint = -41.5196 mrad, 
msg = 2273, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45462 ms, ax = -0.1534, ay = -0.3356, az =  9.9758, gx = -0.0012 rad/s, gy =  0.0438 rad/s, gz = -0.0003 rad/s, rpm_pitch =  0.0000, rpm_roll = 24.1979, I_w_pitch = -4.6217 A, I_w_roll =  1.4424 A, theta_pitch = 9.11972mrad, theta_roll_comp = -36.9049 mrad, theta_setpoint = -41.5196 mrad, 
msg = 2274, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45482 ms, ax = -0.1570, ay = -0.3608, az =  9.9710, gx = -0.0016 rad/s, gy =  0.0584 rad/s, gz = -0.0033 rad/s, rpm_pitch = -5.5022, rpm_roll = 24.2981, I_w_pitch = -12.6293 A, I_w_roll =  1.3043 A, theta_pitch = 10.25790mrad, theta_roll_comp = -36.9071 mrad, theta_setpoint = -41.5259 mrad, 
msg = 2275, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45502 ms, ax = -0.1415, ay = -0.3524, az =  9.9483, gx = -0.0018 rad/s, gy =  0.0674 rad/s, gz = -0.0055 rad/s, rpm_pitch = -2.0087, rpm_roll = 25.0668, I_w_pitch = -8.5878 A, I_w_roll =  1.2188 A, theta_pitch = 11.61457mrad, theta_roll_comp = -36.9362 mrad, theta_setpoint = -41.5742 mrad, 
msg = 2276, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45522 ms, ax =  0.1774, ay = -0.3536, az =  9.9267, gx =  0.0006 rad/s, gy =  0.0536 rad/s, gz = -0.0136 rad/s, rpm_pitch = -2.0087, rpm_roll = 25.0668, I_w_pitch = -8.1753 A, I_w_roll =  2.0713 A, theta_pitch = 12.55730mrad, theta_roll_comp = -36.9021 mrad, theta_setpoint = -41.5742 mrad, 
msg = 2277, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45542 ms, ax =  0.2194, ay = -0.3764, az =  9.9219, gx =  0.0002 rad/s, gy =  0.0059 rad/s, gz = -0.0152 rad/s, rpm_pitch =  0.0000, rpm_roll = 26.5374, I_w_pitch = -3.6240 A, I_w_roll =  1.9716 A, theta_pitch = 12.58820mrad, theta_roll_comp = -36.8940 mrad, theta_setpoint = -41.6665 mrad, 
msg = 2278, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45562 ms, ax =  0.2625, ay = -0.3956, az =  9.9519, gx = -0.0046 rad/s, gy = -0.0478 rad/s, gz = -0.0241 rad/s, rpm_pitch =  0.0000, rpm_roll = 26.5374, I_w_pitch = -1.3018 A, I_w_roll =  0.2615 A, theta_pitch = 11.41672mrad, theta_roll_comp = -36.9749 mrad, theta_setpoint = -41.6665 mrad, 
msg = 2279, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45582 ms, ax =  0.1295, ay = -0.2961, az =  9.9579, gx = -0.0039 rad/s, gy = -0.0925 rad/s, gz = -0.0348 rad/s, rpm_pitch =  0.0000, rpm_roll = 28.1751, I_w_pitch =  0.7860 A, I_w_roll =  0.5455 A, theta_pitch = 9.42806mrad, theta_roll_comp = -36.9504 mrad, theta_setpoint = -41.7694 mrad, 
msg = 2280, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45602 ms, ax =  0.0096, ay = -0.2853, az =  9.9483, gx = -0.0031 rad/s, gy = -0.1119 rad/s, gz = -0.0435 rad/s, rpm_pitch = -5.5895, rpm_roll = 28.7433, I_w_pitch = -5.4606 A, I_w_roll =  0.8547 A, theta_pitch = 7.11355mrad, theta_roll_comp = -36.9122 mrad, theta_setpoint = -41.8051 mrad, 
msg = 2281, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45622 ms, ax = -0.1043, ay = -0.3608, az =  9.9339, gx = -0.0057 rad/s, gy = -0.1125 rad/s, gz = -0.0502 rad/s, rpm_pitch = -5.5895, rpm_roll = 28.7433, I_w_pitch = -5.0979 A, I_w_roll = -0.0608 A, theta_pitch = 4.83722mrad, theta_roll_comp = -36.9870 mrad, theta_setpoint = -41.8051 mrad, 
msg = 2282, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45642 ms, ax =  0.1534, ay = -0.3297, az =  9.9375, gx = -0.0050 rad/s, gy = -0.1145 rad/s, gz = -0.0535 rad/s, rpm_pitch = -1.4410, rpm_roll = 29.5455, I_w_pitch =  0.8217 A, I_w_roll =  0.1636 A, theta_pitch = 2.37917mrad, theta_roll_comp = -37.0591 mrad, theta_setpoint = -41.8555 mrad, 
msg = 2283, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45662 ms, ax =  0.1055, ay = -0.3848, az =  9.9435, gx = -0.0029 rad/s, gy = -0.1392 rad/s, gz = -0.0457 rad/s, rpm_pitch = -4.8472, rpm_roll = 29.5455, I_w_pitch = -2.2547 A, I_w_roll =  0.8761 A, theta_pitch = -0.45338mrad, theta_roll_comp = -37.1419 mrad, theta_setpoint = -41.8555 mrad, 
msg = 2284, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45682 ms, ax = -0.2278, ay = -0.4459, az =  9.9806, gx = -0.0046 rad/s, gy = -0.1548 rad/s, gz = -0.0321 rad/s, rpm_pitch = -4.8472, rpm_roll = 30.4813, I_w_pitch = -1.2343 A, I_w_roll =  0.2355 A, theta_pitch = -3.10178mrad, theta_roll_comp = -37.2877 mrad, theta_setpoint = -41.9142 mrad, 
msg = 2285, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45702 ms, ax = -0.0707, ay = -0.3968, az =  9.9519, gx = -0.0051 rad/s, gy = -0.1515 rad/s, gz = -0.0254 rad/s, rpm_pitch = -5.7205, rpm_roll = 30.5816, I_w_pitch = -2.1080 A, I_w_roll = -0.0047 A, theta_pitch = -5.84299mrad, theta_roll_comp = -37.4285 mrad, theta_setpoint = -41.9205 mrad, 
msg = 2286, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45722 ms, ax = -0.0659, ay = -0.3836, az =  9.9039, gx = -0.0021 rad/s, gy = -0.1398 rad/s, gz = -0.0099 rad/s, rpm_pitch = -5.7205, rpm_roll = 30.5816, I_w_pitch = -2.1744 A, I_w_roll =  1.0475 A, theta_pitch = -8.52548mrad, theta_roll_comp = -37.4777 mrad, theta_setpoint = -41.9205 mrad, 
msg = 2287, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45742 ms, ax = -0.0887, ay = -0.4375, az =  9.9171, gx = -0.0026 rad/s, gy = -0.1278 rad/s, gz =  0.0051 rad/s, rpm_pitch = -4.8035, rpm_roll = 30.4479, I_w_pitch = -1.0946 A, I_w_roll =  0.8027 A, theta_pitch = -10.85680mrad, theta_roll_comp = -37.6151 mrad, theta_setpoint = -41.9121 mrad, 
msg = 2288, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45762 ms, ax = -0.0851, ay = -0.3932, az = 10.0094, gx = -0.0038 rad/s, gy = -0.1193 rad/s, gz =  0.0096 rad/s, rpm_pitch = -5.0655, rpm_roll = 30.8489, I_w_pitch = -1.4738 A, I_w_roll =  0.3452 A, theta_pitch = -12.90542mrad, theta_roll_comp = -37.7355 mrad, theta_setpoint = -41.9373 mrad, 
msg = 2289, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45782 ms, ax = -0.0180, ay = -0.3428, az = 10.0226, gx = -0.0016 rad/s, gy = -0.1126 rad/s, gz =  0.0124 rad/s, rpm_pitch = -5.0655, rpm_roll = 30.8489, I_w_pitch = -1.4473 A, I_w_roll =  1.1338 A, theta_pitch = -14.85689mrad, theta_roll_comp = -37.7447 mrad, theta_setpoint = -41.9373 mrad, 
msg = 2290, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45802 ms, ax =  0.0144, ay = -0.3848, az =  9.9279, gx = -0.0012 rad/s, gy = -0.1074 rad/s, gz =  0.0096 rad/s, rpm_pitch = -5.6332, rpm_roll = 30.4813, I_w_pitch = -2.1208 A, I_w_roll =  1.2530 A, theta_pitch = -16.74325mrad, theta_roll_comp = -37.7732 mrad, theta_setpoint = -41.9142 mrad, 
msg = 2291, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45822 ms, ax =  0.0180, ay = -0.3716, az =  9.9339, gx = -0.0028 rad/s, gy = -0.1036 rad/s, gz = -0.0040 rad/s, rpm_pitch = -3.5808, rpm_roll = 30.4813, I_w_pitch =  0.6971 A, I_w_roll =  0.6777 A, theta_pitch = -18.51402mrad, theta_roll_comp = -37.8132 mrad, theta_setpoint = -41.9142 mrad, 
msg = 2292, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45842 ms, ax =  0.0444, ay = -0.3356, az =  9.9674, gx = -0.0013 rad/s, gy = -0.1040 rad/s, gz = -0.0196 rad/s, rpm_pitch = -3.5808, rpm_roll = 31.6845, I_w_pitch =  0.9805 A, I_w_roll =  1.2376 A, theta_pitch = -20.29682mrad, theta_roll_comp = -37.7706 mrad, theta_setpoint = -41.9898 mrad, 
msg = 2293, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45862 ms, ax = -0.0671, ay = -0.3800, az =  9.9842, gx = -0.0012 rad/s, gy = -0.1042 rad/s, gz = -0.0341 rad/s, rpm_pitch = -5.1965, rpm_roll = 31.4171, I_w_pitch = -0.8992 A, I_w_roll =  1.2946 A, theta_pitch = -21.89992mrad, theta_roll_comp = -37.7279 mrad, theta_setpoint = -41.9730 mrad, 
msg = 2294, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45882 ms, ax =  0.0348, ay = -0.3273, az =  9.9794, gx = -0.0035 rad/s, gy = -0.0984 rad/s, gz = -0.0517 rad/s, rpm_pitch = -5.1965, rpm_roll = 31.4171, I_w_pitch = -0.8997 A, I_w_roll =  0.4595 A, theta_pitch = -23.45925mrad, theta_roll_comp = -37.7184 mrad, theta_setpoint = -41.9730 mrad, 
msg = 2295, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45902 ms, ax =  0.1043, ay = -0.3141, az =  9.9519, gx = -0.0024 rad/s, gy = -0.0924 rad/s, gz = -0.0610 rad/s, rpm_pitch =  0.0437, rpm_roll = 32.6872, I_w_pitch =  6.0094 A, I_w_roll =  0.9304 A, theta_pitch = -25.04564mrad, theta_roll_comp = -37.6696 mrad, theta_setpoint = -42.0528 mrad, 
msg = 2296, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45922 ms, ax =  0.0396, ay = -0.3896, az =  9.9519, gx = -0.0005 rad/s, gy = -0.0885 rad/s, gz = -0.0603 rad/s, rpm_pitch = -5.6332, rpm_roll = 32.6872, I_w_pitch = -1.4166 A, I_w_roll =  1.5828 A, theta_pitch = -26.47989mrad, theta_roll_comp = -37.6698 mrad, theta_setpoint = -42.0528 mrad, 
msg = 2297, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45942 ms, ax = -0.0707, ay = -0.3800, az = 10.0106, gx = -0.0035 rad/s, gy = -0.0797 rad/s, gz = -0.0562 rad/s, rpm_pitch = -5.6332, rpm_roll = 32.2861, I_w_pitch = -1.6092 A, I_w_roll =  0.4680 A, theta_pitch = -27.53903mrad, theta_roll_comp = -37.7519 mrad, theta_setpoint = -42.0276 mrad, 
msg = 2298, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45962 ms, ax =  0.1271, ay = -0.3524, az =  9.9842, gx = -0.0029 rad/s, gy = -0.0664 rad/s, gz = -0.0429 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.6230, I_w_pitch =  5.4382 A, I_w_roll =  0.7259 A, theta_pitch = -28.54554mrad, theta_roll_comp = -37.7734 mrad, theta_setpoint = -42.1115 mrad, 
msg = 2299, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    45982 ms, ax =  0.0491, ay = -0.4016, az =  9.9579, gx = -0.0010 rad/s, gy = -0.0599 rad/s, gz = -0.0252 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.6230, I_w_pitch =  5.3095 A, I_w_roll =  1.3640 A, theta_pitch = -29.42794mrad, theta_roll_comp = -37.8095 mrad, theta_setpoint = -42.1115 mrad, 
msg = 2300, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46002 ms, ax = -0.0635, ay = -0.3752, az =  9.9770, gx = -0.0042 rad/s, gy = -0.0512 rad/s, gz = -0.0077 rad/s, rpm_pitch = -4.8472, rpm_roll = 33.4559, I_w_pitch = -1.3597 A, I_w_roll =  0.2097 A, theta_pitch = -29.89054mrad, theta_roll_comp = -37.8884 mrad, theta_setpoint = -42.1010 mrad, 
msg = 2301, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46022 ms, ax = -0.0707, ay = -0.3344, az = 10.0046, gx = -0.0031 rad/s, gy = -0.0334 rad/s, gz =  0.0103 rad/s, rpm_pitch = -0.7424, rpm_roll = 34.4251, I_w_pitch =  3.3577 A, I_w_roll =  0.5911 A, theta_pitch = -30.00870mrad, theta_roll_comp = -37.9279 mrad, theta_setpoint = -42.1619 mrad, 
msg = 2302, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46042 ms, ax =  0.0072, ay = -0.4244, az =  9.9890, gx = -0.0010 rad/s, gy = -0.0178 rad/s, gz =  0.0249 rad/s, rpm_pitch = -0.7424, rpm_roll = 34.2246, I_w_pitch =  2.7146 A, I_w_roll =  1.3006 A, theta_pitch = -29.87534mrad, theta_roll_comp = -38.0056 mrad, theta_setpoint = -42.1493 mrad, 
msg = 2303, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46062 ms, ax = -0.0240, ay = -0.3944, az =  9.9842, gx = -0.0033 rad/s, gy = -0.0070 rad/s, gz =  0.0316 rad/s, rpm_pitch =  0.0000, rpm_roll = 34.8930, I_w_pitch =  3.2024 A, I_w_roll =  0.4880 A, theta_pitch = -29.47686mrad, theta_roll_comp = -38.0986 mrad, theta_setpoint = -42.1913 mrad, 
msg = 2304, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46082 ms, ax =  0.0479, ay = -0.3428, az =  9.9650, gx = -0.0020 rad/s, gy =  0.0076 rad/s, gz =  0.0348 rad/s, rpm_pitch = -0.1310, rpm_roll = 34.8930, I_w_pitch =  2.3591 A, I_w_roll =  0.9574 A, theta_pitch = -28.91263mrad, theta_roll_comp = -38.0901 mrad, theta_setpoint = -42.1913 mrad, 
msg = 2305, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46102 ms, ax = -0.0048, ay = -0.3620, az =  9.9866, gx = -0.0016 rad/s, gy =  0.0263 rad/s, gz =  0.0312 rad/s, rpm_pitch = -0.1310, rpm_roll = 34.8596, I_w_pitch =  1.4808 A, I_w_roll =  1.1069 A, theta_pitch = -28.02804mrad, theta_roll_comp = -38.0639 mrad, theta_setpoint = -42.1892 mrad, 
msg = 2306, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46122 ms, ax = -0.0420, ay = -0.3812, az = 10.0094, gx = -0.0039 rad/s, gy =  0.0484 rad/s, gz =  0.0209 rad/s, rpm_pitch = -1.0480, rpm_roll = 35.7620, I_w_pitch = -0.8142 A, I_w_roll =  0.2730 A, theta_pitch = -26.68509mrad, theta_roll_comp = -38.1080 mrad, theta_setpoint = -42.2459 mrad, 
msg = 2307, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46142 ms, ax = -0.0300, ay = -0.3416, az =  9.9890, gx = -0.0020 rad/s, gy =  0.0679 rad/s, gz =  0.0105 rad/s, rpm_pitch = -1.0480, rpm_roll = 35.7620, I_w_pitch = -1.8615 A, I_w_roll =  0.9801 A, theta_pitch = -24.92255mrad, theta_roll_comp = -38.0881 mrad, theta_setpoint = -42.2459 mrad, 
msg = 2308, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46162 ms, ax =  0.0204, ay = -0.3129, az =  9.9746, gx = -0.0024 rad/s, gy =  0.0845 rad/s, gz = -0.0009 rad/s, rpm_pitch =  0.0000, rpm_roll = 35.8289, I_w_pitch = -1.4439 A, I_w_roll =  0.8533 A, theta_pitch = -22.89547mrad, theta_roll_comp = -38.0596 mrad, theta_setpoint = -42.2501 mrad, 
msg = 2309, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46182 ms, ax =  0.0144, ay = -0.3428, az =  9.9710, gx = -0.0041 rad/s, gy =  0.0930 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = 35.8289, I_w_pitch = -2.1037 A, I_w_roll =  0.2439 A, theta_pitch = -20.76943mrad, theta_roll_comp = -38.0685 mrad, theta_setpoint = -42.2501 mrad, 
msg = 2310, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46202 ms, ax =  0.1031, ay = -0.3632, az =  9.9866, gx = -0.0013 rad/s, gy =  0.0966 rad/s, gz = -0.0198 rad/s, rpm_pitch =  0.0000, rpm_roll = 36.1965, I_w_pitch = -2.5631 A, I_w_roll =  1.2443 A, theta_pitch = -18.66507mrad, theta_roll_comp = -38.0373 mrad, theta_setpoint = -42.2731 mrad, 
msg = 2311, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46222 ms, ax =  0.0947, ay = -0.3500, az =  9.9650, gx = -0.0030 rad/s, gy =  0.0943 rad/s, gz = -0.0216 rad/s, rpm_pitch =  0.0000, rpm_roll = 36.7647, I_w_pitch = -2.7838 A, I_w_roll =  0.6449 A, theta_pitch = -16.59028mrad, theta_roll_comp = -38.0567 mrad, theta_setpoint = -42.3088 mrad, 
msg = 2312, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46242 ms, ax =  0.1019, ay = -0.3668, az =  9.9483, gx = -0.0035 rad/s, gy =  0.0887 rad/s, gz = -0.0186 rad/s, rpm_pitch =  0.0000, rpm_roll = 36.7647, I_w_pitch = -2.8551 A, I_w_roll =  0.4285 A, theta_pitch = -14.62365mrad, theta_roll_comp = -38.1319 mrad, theta_setpoint = -42.3088 mrad, 
msg = 2313, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46262 ms, ax =  0.1067, ay = -0.3788, az =  9.9555, gx = -0.0026 rad/s, gy =  0.0794 rad/s, gz = -0.0166 rad/s, rpm_pitch =  0.0000, rpm_roll = 36.9318, I_w_pitch = -2.7445 A, I_w_roll =  0.7443 A, theta_pitch = -12.87557mrad, theta_roll_comp = -38.1684 mrad, theta_setpoint = -42.3193 mrad, 
msg = 2314, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46282 ms, ax =  0.1211, ay = -0.3992, az =  9.9387, gx = -0.0047 rad/s, gy =  0.0654 rad/s, gz = -0.0107 rad/s, rpm_pitch =  4.0611, rpm_roll = 36.9318, I_w_pitch =  2.9525 A, I_w_roll = -0.0446 A, theta_pitch = -11.42182mrad, theta_roll_comp = -38.2763 mrad, theta_setpoint = -42.3193 mrad, 
msg = 2315, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46302 ms, ax =  0.0947, ay = -0.3752, az =  9.9650, gx = -0.0043 rad/s, gy =  0.0522 rad/s, gz = -0.0052 rad/s, rpm_pitch =  4.0611, rpm_roll = 37.2326, I_w_pitch =  3.3052 A, I_w_roll =  0.0624 A, theta_pitch = -10.25802mrad, theta_roll_comp = -38.3775 mrad, theta_setpoint = -42.3382 mrad, 
msg = 2316, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46322 ms, ax = -0.0204, ay = -0.3740, az =  9.9603, gx = -0.0038 rad/s, gy =  0.0482 rad/s, gz = -0.0049 rad/s, rpm_pitch = -1.9651, rpm_roll = 37.9345, I_w_pitch = -4.6538 A, I_w_roll =  0.2459 A, theta_pitch = -9.11514mrad, theta_roll_comp = -38.4288 mrad, theta_setpoint = -42.3823 mrad, 
msg = 2317, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46342 ms, ax = -0.0647, ay = -0.3452, az =  9.9710, gx = -0.0046 rad/s, gy =  0.0573 rad/s, gz = -0.0047 rad/s, rpm_pitch =  0.0000, rpm_roll = 37.9345, I_w_pitch = -2.6207 A, I_w_roll = -0.0588 A, theta_pitch = -7.80680mrad, theta_roll_comp = -38.4915 mrad, theta_setpoint = -42.3823 mrad, 
msg = 2318, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46362 ms, ax =  0.0132, ay = -0.3548, az =  9.9495, gx = -0.0030 rad/s, gy =  0.0637 rad/s, gz = -0.0048 rad/s, rpm_pitch =  0.0000, rpm_roll = 37.8342, I_w_pitch = -3.0851 A, I_w_roll =  0.4723 A, theta_pitch = -6.41479mrad, theta_roll_comp = -38.5554 mrad, theta_setpoint = -42.3760 mrad, 
msg = 2319, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46382 ms, ax = -0.0084, ay = -0.4016, az =  9.9363, gx = -0.0034 rad/s, gy =  0.0604 rad/s, gz = -0.0060 rad/s, rpm_pitch =  0.0000, rpm_roll = 37.8342, I_w_pitch = -3.1634 A, I_w_roll =  0.3050 A, theta_pitch = -5.00520mrad, theta_roll_comp = -38.6243 mrad, theta_setpoint = -42.3760 mrad, 
msg = 2320, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46402 ms, ax =  0.0671, ay = -0.3812, az =  9.9650, gx = -0.0037 rad/s, gy =  0.0573 rad/s, gz = -0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = 37.7005, I_w_pitch = -3.2173 A, I_w_roll =  0.1821 A, theta_pitch = -3.82925mrad, theta_roll_comp = -38.6901 mrad, theta_setpoint = -42.3676 mrad, 
msg = 2321, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46422 ms, ax =  0.0252, ay = -0.3752, az =  9.9483, gx = -0.0028 rad/s, gy =  0.0524 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = 37.0655, I_w_pitch = -3.1776 A, I_w_roll =  0.4687 A, theta_pitch = -2.77994mrad, theta_roll_comp = -38.7493 mrad, theta_setpoint = -42.3277 mrad, 
msg = 2322, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46442 ms, ax =  0.0168, ay = -0.3860, az =  9.9519, gx = -0.0022 rad/s, gy =  0.0461 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = 37.0655, I_w_pitch = -3.0754 A, I_w_roll =  0.6283 A, theta_pitch = -1.79241mrad, theta_roll_comp = -38.8164 mrad, theta_setpoint = -42.3277 mrad, 
msg = 2323, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46462 ms, ax =  0.0216, ay = -0.4148, az =  9.9531, gx = -0.0020 rad/s, gy =  0.0400 rad/s, gz = -0.0133 rad/s, rpm_pitch =  0.0000, rpm_roll = 36.3971, I_w_pitch = -2.9572 A, I_w_roll =  0.6822 A, theta_pitch = -0.94734mrad, theta_roll_comp = -38.8725 mrad, theta_setpoint = -42.2857 mrad, 
msg = 2324, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46482 ms, ax =  0.0144, ay = -0.3848, az =  9.9591, gx = -0.0026 rad/s, gy =  0.0339 rad/s, gz = -0.0137 rad/s, rpm_pitch =  0.0000, rpm_roll = 36.3971, I_w_pitch = -2.8195 A, I_w_roll =  0.4411 A, theta_pitch = -0.23169mrad, theta_roll_comp = -38.8927 mrad, theta_setpoint = -42.2857 mrad, 
msg = 2325, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    46502 ms, ax =  0.0168, ay = -0.3920, az =  9.9626, gx = -0.0022 rad/s, gy =  0.0287 rad/s, gz = -0.0133 rad/s, rpm_pitch =  0.0000, rpm_roll = 37.2995, I_w_pitch = -2.7012 A, I_w_roll =  0.5936 A, theta_pitch = 0.36426mrad, theta_roll_comp = -38.9177 mrad, theta_setpoint = -42.3424 mrad, 
