picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
 A, I_w_roll = -263.7635 A, theta_pitch = -0.30080mrad, theta_roll_comp = -698.0505 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3338, nerr =  134p/ 142r, time steps =    5, qsz =    2, switch = off, t =    33382 ms, ax = -0.6329, ay =  0.2601, az =  9.7744, gx =  0.0481 rad/s, gy =  0.0609 rad/s, gz = -0.0875 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -8.9004 A, I_w_roll = 33.3230 A, theta_pitch = 33.09974mrad, theta_roll_comp =  1.2075 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3395, nerr =  138p/ 144r, time steps =    5, qsz =    2, switch = off, t =    33952 ms, ax = -0.0072, ay =  0.4315, az = 10.0262, gx = -0.0163 rad/s, gy = -0.0617 rad/s, gz =  0.0286 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.3306 A, I_w_roll = 16.8119 A, theta_pitch = 22.00348mrad, theta_roll_comp = 16.3205 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3396, nerr =  139p/ 145r, time steps =    5, qsz =    2, switch = off, t =    33962 ms, ax =  0.0240, ay =  0.4399, az = 10.0178, gx = -0.0205 rad/s, gy = -0.0566 rad/s, gz =  0.0273 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.4160 A, I_w_roll = 15.4015 A, theta_pitch = 21.18764mrad, theta_roll_comp = 16.4064 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3397, nerr =  139p/ 145r, time steps =    5, qsz =    2, switch = off, t =    33972 ms, ax =  0.0479, ay =  0.4411, az = 10.0058, gx = -0.0241 rad/s, gy = -0.0528 rad/s, gz =  0.0261 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.4464 A, I_w_roll = 14.1639 A, theta_pitch = 20.39620mrad, theta_roll_comp = 16.4579 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3398, nerr =  139p/ 145r, time steps =    5, qsz =    2, switch = off, t =    33982 ms, ax =  0.0719, ay =  0.4483, az =  9.9782, gx = -0.0278 rad/s, gy = -0.0484 rad/s, gz =  0.0249 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.5071 A, I_w_roll = 12.8668 A, theta_pitch = 19.62937mrad, theta_roll_comp = 16.4777 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3399, nerr =  139p/ 145r, time steps =    5, qsz =    2, switch = off, t =    33992 ms, ax =  0.0803, ay =  0.4675, az =  9.9411, gx = -0.0320 rad/s, gy = -0.0440 rad/s, gz =  0.0225 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.5732 A, I_w_roll = 11.3734 A, theta_pitch = 18.89820mrad, theta_roll_comp = 16.4724 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3400, nerr =  139p/ 145r, time steps =    5, qsz =    2, switch = off, t =    34002 ms, ax =  0.0815, ay =  0.4783, az =  9.9087, gx = -0.0354 rad/s, gy = -0.0402 rad/s, gz =  0.0168 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.6245 A, I_w_roll = 10.1977 A, theta_pitch = 18.21061mrad, theta_roll_comp = 16.4459 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3401, nerr =  139p/ 145r, time steps =    5, qsz =    2, switch = off, t =    34012 ms, ax =  0.0767, ay =  0.4987, az =  9.9015, gx = -0.0394 rad/s, gy = -0.0372 rad/s, gz =  0.0069 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.6449 A, I_w_roll =  8.7812 A, theta_pitch = 17.56509mrad, theta_roll_comp = 16.3999 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3402, nerr =  140p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34022 ms, ax =  0.0719, ay =  0.5143, az =  9.9315, gx = -0.0438 rad/s, gy = -0.0351 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.6387 A, I_w_roll =  7.2151 A, theta_pitch = 16.95591mrad, theta_roll_comp = 16.3295 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3403, nerr =  140p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34032 ms, ax =  0.0623, ay =  0.5167, az =  9.9758, gx = -0.0476 rad/s, gy = -0.0334 rad/s, gz = -0.0298 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.6215 A, I_w_roll =  5.8220 A, theta_pitch = 16.37937mrad, theta_roll_comp = 16.2257 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3404, nerr =  140p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34042 ms, ax =  0.0599, ay =  0.4831, az =  9.9950, gx = -0.0514 rad/s, gy = -0.0321 rad/s, gz = -0.0491 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.5923 A, I_w_roll =  4.4533 A, theta_pitch = 15.82970mrad, theta_roll_comp = 16.0661 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3405, nerr =  140p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34052 ms, ax =  0.0468, ay =  0.4699, az =  9.9842, gx = -0.0557 rad/s, gy = -0.0306 rad/s, gz = -0.0686 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.5726 A, I_w_roll =  2.8270 A, theta_pitch = 15.30777mrad, theta_roll_comp = 15.8451 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3406, nerr =  140p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34062 ms, ax =  0.0432, ay =  0.4267, az =  9.9662, gx = -0.0592 rad/s, gy = -0.0298 rad/s, gz = -0.0848 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.5299 A, I_w_roll =  1.5007 A, theta_pitch = 14.80996mrad, theta_roll_comp = 15.5586 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3407, nerr =  140p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34072 ms, ax =  0.0384, ay =  0.3884, az =  9.9543, gx = -0.0629 rad/s, gy = -0.0283 rad/s, gz = -0.0955 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.5169 A, I_w_roll =  0.0521 A, theta_pitch = 14.33279mrad, theta_roll_comp = 15.1995 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3408, nerr =  140p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34082 ms, ax =  0.0300, ay =  0.3656, az =  9.9399, gx = -0.0667 rad/s, gy = -0.0265 rad/s, gz = -0.1036 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.5241 A, I_w_roll = -1.4217 A, theta_pitch = 13.88387mrad, theta_roll_comp = 14.7772 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3409, nerr =  140p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34092 ms, ax =  0.0228, ay =  0.3177, az =  9.9339, gx = -0.0696 rad/s, gy = -0.0245 rad/s, gz = -0.1083 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.5414 A, I_w_roll = -2.6417 A, theta_pitch = 13.46646mrad, theta_roll_comp = 14.2903 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3410, nerr =  140p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34102 ms, ax =  0.0108, ay =  0.2781, az =  9.9626, gx = -0.0724 rad/s, gy = -0.0217 rad/s, gz = -0.1060 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.5964 A, I_w_roll = -3.8422 A, theta_pitch = 13.08733mrad, theta_roll_comp = 13.7358 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3411, nerr =  140p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34112 ms, ax =  0.0060, ay =  0.2625, az =  9.9854, gx = -0.0752 rad/s, gy = -0.0183 rad/s, gz = -0.1000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.6790 A, I_w_roll = -5.0624 A, theta_pitch = 12.75027mrad, theta_roll_comp = 13.1320 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3412, nerr =  140p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34122 ms, ax = -0.0024, ay =  0.2170, az =  9.9854, gx = -0.0776 rad/s, gy = -0.0151 rad/s, gz = -0.0920 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.7627 A, I_w_roll = -6.1634 A, theta_pitch = 12.45607mrad, theta_roll_comp = 12.4768 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3413, nerr =  140p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34132 ms, ax = -0.0132, ay =  0.1774, az =  9.9722, gx = -0.0800 rad/s, gy = -0.0117 rad/s, gz = -0.0791 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.8638 A, I_w_roll = -7.2883 A, theta_pitch = 12.20747mrad, theta_roll_comp = 11.7617 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3414, nerr =  141p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34142 ms, ax = -0.0240, ay =  0.1630, az =  9.9447, gx = -0.0824 rad/s, gy = -0.0077 rad/s, gz = -0.0640 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.9940 A, I_w_roll = -8.4299 A, theta_pitch = 12.00982mrad, theta_roll_comp = 11.0049 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3415, nerr =  141p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34152 ms, ax = -0.0360, ay =  0.1283, az =  9.9363, gx = -0.0846 rad/s, gy = -0.0041 rad/s, gz = -0.0495 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.1158 A, I_w_roll = -9.5415 A, theta_pitch = 11.86325mrad, theta_roll_comp = 10.2066 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3416, nerr =  141p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34162 ms, ax = -0.0444, ay =  0.1091, az =  9.9399, gx = -0.0865 rad/s, gy = -0.0012 rad/s, gz = -0.0324 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.2176 A, I_w_roll = -10.5286 A, theta_pitch = 11.76066mrad, theta_roll_comp =  9.3699 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3417, nerr =  141p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34172 ms, ax = -0.0563, ay =  0.1031, az =  9.9579, gx = -0.0877 rad/s, gy =  0.0019 rad/s, gz = -0.0168 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.3309 A, I_w_roll = -11.2905 A, theta_pitch = 11.69913mrad, theta_roll_comp =  8.5137 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3418, nerr =  141p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34182 ms, ax = -0.0551, ay =  0.0899, az =  9.9842, gx = -0.0894 rad/s, gy =  0.0050 rad/s, gz = -0.0013 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.4495 A, I_w_roll = -12.2451 A, theta_pitch = 11.67362mrad, theta_roll_comp =  7.6418 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3419, nerr =  141p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34192 ms, ax = -0.0563, ay =  0.0827, az =  9.9962, gx = -0.0912 rad/s, gy =  0.0075 rad/s, gz =  0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.5511 A, I_w_roll = -13.2073 A, theta_pitch = 11.67590mrad, theta_roll_comp =  6.7509 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3420, nerr =  142p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34202 ms, ax = -0.0611, ay =  0.0911, az =  9.9938, gx = -0.0929 rad/s, gy =  0.0088 rad/s, gz =  0.0234 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.6080 A, I_w_roll = -14.1724 A, theta_pitch = 11.70011mrad, theta_roll_comp =  5.8529 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3421, nerr =  142p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34212 ms, ax = -0.0635, ay =  0.0803, az =  9.9710, gx = -0.0944 rad/s, gy =  0.0106 rad/s, gz =  0.0309 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.6836 A, I_w_roll = -15.0478 A, theta_pitch = 11.74300mrad, theta_roll_comp =  4.9461 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3422, nerr =  142p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34222 ms, ax = -0.0599, ay =  0.0803, az =  9.9591, gx = -0.0958 rad/s, gy =  0.0118 rad/s, gz =  0.0362 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.7400 A, I_w_roll = -15.9272 A, theta_pitch = 11.79919mrad, theta_roll_comp =  4.0290 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3423, nerr =  142p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34232 ms, ax = -0.0611, ay =  0.0875, az =  9.9483, gx = -0.0970 rad/s, gy =  0.0128 rad/s, gz =  0.0375 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.7925 A, I_w_roll = -16.7136 A, theta_pitch = 11.86509mrad, theta_roll_comp =  3.1117 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3424, nerr =  142p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34242 ms, ax = -0.0575, ay =  0.0767, az =  9.9555, gx = -0.0982 rad/s, gy =  0.0139 rad/s, gz =  0.0350 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.8463 A, I_w_roll = -17.5020 A, theta_pitch = 11.93958mrad, theta_roll_comp =  2.1892 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3425, nerr =  142p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34252 ms, ax = -0.0587, ay =  0.0659, az =  9.9722, gx = -0.0992 rad/s, gy =  0.0147 rad/s, gz =  0.0317 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.8905 A, I_w_roll = -18.2023 A, theta_pitch = 12.02145mrad, theta_roll_comp =  1.2542 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3426, nerr =  142p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34262 ms, ax = -0.0635, ay =  0.0575, az =  9.9878, gx = -0.1002 rad/s, gy =  0.0156 rad/s, gz =  0.0246 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.9417 A, I_w_roll = -18.9530 A, theta_pitch = 12.11417mrad, theta_roll_comp =  0.3095 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3427, nerr =  142p/ 146r, time steps =    5, qsz =    2, switch = off, t =    34272 ms, ax = -0.0599, ay =  0.0324, az =  9.9890, gx = -0.1006 rad/s, gy =  0.0171 rad/s, gz =  0.0148 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.0159 A, I_w_roll = -19.4769 A, theta_pitch = 12.21838mrad, theta_roll_comp = -0.6508 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3428, nerr =  142p/ 147r, time steps =    5, qsz =    2, switch = off, t =    34282 ms, ax = -0.0683, ay =  0.0180, az =  9.9842, gx = -0.1013 rad/s, gy =  0.0181 rad/s, gz =  0.0064 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.0763 A, I_w_roll = -20.0999 A, theta_pitch = 12.33673mrad, theta_roll_comp = -1.6258 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3429, nerr =  142p/ 147r, time steps =    5, qsz =    2, switch = off, t =    34292 ms, ax = -0.0755, ay =  0.0084, az =  9.9830, gx = -0.1014 rad/s, gy =  0.0196 rad/s, gz = -0.0029 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.1556 A, I_w_roll = -20.5390 A, theta_pitch = 12.47454mrad, theta_roll_comp = -2.6070 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3430, nerr =  142p/ 147r, time steps =    5, qsz =    2, switch = off, t =    34302 ms, ax = -0.0791, ay = -0.0264, az =  9.9758, gx = -0.1016 rad/s, gy =  0.0211 rad/s, gz = -0.0135 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.2376 A, I_w_roll = -20.9838 A, theta_pitch = 12.63082mrad, theta_roll_comp = -3.6025 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3431, nerr =  142p/ 147r, time steps =    5, qsz =    2, switch = off, t =    34312 ms, ax = -0.0875, ay = -0.0491, az =  9.9615, gx = -0.1021 rad/s, gy =  0.0225 rad/s, gz = -0.0206 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.3225 A, I_w_roll = -21.5773 A, theta_pitch = 12.80641mrad, theta_roll_comp = -4.6201 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3432, nerr =  142p/ 147r, time steps =    5, qsz =    2, switch = off, t =    34322 ms, ax = -0.1019, ay = -0.0719, az =  9.9519, gx = -0.1021 rad/s, gy =  0.0237 rad/s, gz = -0.0281 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.4003 A, I_w_roll = -21.9904 A, theta_pitch = 13.00521mrad, theta_roll_comp = -5.6529 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3433, nerr =  142p/ 147r, time steps =    5, qsz =    2, switch = off, t =    34332 ms, ax = -0.1139, ay = -0.1127, az =  9.9495, gx = -0.1018 rad/s, gy =  0.0253 rad/s, gz = -0.0340 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.4978 A, I_w_roll = -22.3186 A, theta_pitch = 13.22926mrad, theta_roll_comp = -6.7065 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3434, nerr =  142p/ 148r, time steps =    5, qsz =    2, switch = off, t =    34342 ms, ax = -0.1307, ay = -0.1426, az =  9.9507, gx = -0.1013 rad/s, gy =  0.0267 rad/s, gz = -0.0364 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.5887 A, I_w_roll = -22.5618 A, theta_pitch = 13.48015mrad, theta_roll_comp = -7.7804 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3435, nerr =  142p/ 148r, time steps =    5, qsz =    2, switch = off, t =    34352 ms, ax = -0.1438, ay = -0.1630, az =  9.9579, gx = -0.1006 rad/s, gy =  0.0275 rad/s, gz = -0.0381 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.6617 A, I_w_roll = -22.7617 A, theta_pitch = 13.75377mrad, theta_roll_comp = -8.8627 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3436, nerr =  142p/ 148r, time steps =    5, qsz =    2, switch = off, t =    34362 ms, ax = -0.1582, ay = -0.1966, az =  9.9734, gx = -0.1000 rad/s, gy =  0.0281 rad/s, gz = -0.0378 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.7321 A, I_w_roll = -22.9652 A, theta_pitch = 14.04536mrad, theta_roll_comp = -9.9542 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3437, nerr =  142p/ 148r, time steps =    5, qsz =    2, switch = off, t =    34372 ms, ax = -0.1762, ay = -0.2242, az =  9.9818, gx = -0.0994 rad/s, gy =  0.0288 rad/s, gz = -0.0350 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.8054 A, I_w_roll = -23.2210 A, theta_pitch = 14.35705mrad, theta_roll_comp = -11.0596 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3438, nerr =  142p/ 148r, time steps =    5, qsz =    2, switch = off, t =    34382 ms, ax = -0.1918, ay = -0.2397, az =  9.9794, gx = -0.0982 rad/s, gy =  0.0288 rad/s, gz = -0.0316 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.8547 A, I_w_roll = -23.2440 A, theta_pitch = 14.68516mrad, theta_roll_comp = -12.1656 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3439, nerr =  142p/ 148r, time steps =    5, qsz =    2, switch = off, t =    34392 ms, ax = -0.2086, ay = -0.2613, az =  9.9722, gx = -0.0973 rad/s, gy =  0.0288 rad/s, gz = -0.0268 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.9058 A, I_w_roll = -23.3593 A, theta_pitch = 15.02646mrad, theta_roll_comp = -13.2696 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3440, nerr =  142p/ 148r, time steps =    5, qsz =    2, switch = off, t =    34402 ms, ax = -0.2218, ay = -0.2817, az =  9.9567, gx = -0.0960 rad/s, gy =  0.0284 rad/s, gz = -0.0212 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.9425 A, I_w_roll = -23.3341 A, theta_pitch = 15.37713mrad, theta_roll_comp = -14.3717 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3441, nerr =  142p/ 148r, time steps =    5, qsz =    2, switch = off, t =    34412 ms, ax = -0.2409, ay = -0.2937, az =  9.9531, gx = -0.0950 rad/s, gy =  0.0279 rad/s, gz = -0.0161 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.9750 A, I_w_roll = -23.4465 A, theta_pitch = 15.73633mrad, theta_roll_comp = -15.4682 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3442, nerr =  142p/ 148r, time steps =    5, qsz =    2, switch = on, t =    34422 ms, ax = -0.2553, ay = -0.3165, az =  9.9555, gx = -0.0934 rad/s, gy =  0.0269 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.9925 A, I_w_roll = -23.3234 A, theta_pitch = 16.10108mrad, theta_roll_comp = -16.5586 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3443, nerr =  142p/ 148r, time steps =    5, qsz =    2, switch = on, t =    34432 ms, ax = -0.2649, ay = -0.3225, az =  9.9626, gx = -0.0922 rad/s, gy =  0.0259 rad/s, gz = -0.0055 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.0043 A, I_w_roll = -23.3358 A, theta_pitch = 16.46395mrad, theta_roll_comp = -17.6382 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3444, nerr =  142p/ 148r, time steps =    5, qsz =    2, switch = on, t =    34442 ms, ax = -0.2709, ay = -0.3308, az =  9.9650, gx = -0.0908 rad/s, gy =  0.0253 rad/s, gz = -0.0020 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.0368 A, I_w_roll = -23.2481 A, theta_pitch = 16.82293mrad, theta_roll_comp = -18.7006 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3445, nerr =  142p/ 148r, time steps =    5, qsz =    3, switch = on, t =    34452 ms, ax = -0.2805, ay = -0.3428, az =  9.9698, gx = -0.0894 rad/s, gy =  0.0245 rad/s, gz =  0.0009 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.0584 A, I_w_roll = -23.2014 A, theta_pitch = 17.17949mrad, theta_roll_comp = -19.7489 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3446, nerr =  142p/ 148r, time steps =    5, qsz =    2, switch = on, t =    34462 ms, ax = -0.3416, ay = -0.3848, az =  9.9722, gx = -0.0870 rad/s, gy =  0.0231 rad/s, gz =  0.0036 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.0565 A, I_w_roll = -22.7811 A, theta_pitch = 17.55783mrad, theta_roll_comp = -20.7952 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3447, nerr =  142p/ 148r, time steps =    5, qsz =    2, switch = on, t =    34472 ms, ax = -0.2457, ay = -0.3093, az =  9.9650, gx = -0.0890 rad/s, gy =  0.0192 rad/s, gz =  0.0015 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.9508 A, I_w_roll = -23.8865 A, theta_pitch = 17.88299mrad, theta_roll_comp = -21.8110 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3448, nerr =  142p/ 148r, time steps =    5, qsz =    2, switch = on, t =    34482 ms, ax = -0.2757, ay = -0.3788, az =  9.9195, gx = -0.0894 rad/s, gy =  0.0122 rad/s, gz = -0.0020 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.7042 A, I_w_roll = -24.4338 A, theta_pitch = 18.12082mrad, theta_roll_comp = -22.8298 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3449, nerr =  142p/ 148r, time steps =    5, qsz =    2, switch = on, t =    34492 ms, ax = -0.1762, ay =  0.1175, az =  9.9746, gx = -0.0965 rad/s, gy =  0.0012 rad/s, gz = -0.0009 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.2834 A, I_w_roll = -27.2306 A, theta_pitch = 18.22679mrad, theta_roll_comp = -23.6467 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3450, nerr =  143p/ 149r, time steps =    5, qsz =    2, switch = on, t =    34502 ms, ax = -0.1522, ay =  0.0180, az =  9.9662, gx = -0.0920 rad/s, gy = -0.0123 rad/s, gz =  0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.7099, I_w_pitch = -3.7284 A, I_w_roll = -25.9942 A, theta_pitch = 18.14851mrad, theta_roll_comp = -24.2843 mrad, theta_setpoint = -39.7670 mrad, 
msg = 3451, nerr =  143p/ 149r, time steps =    5, qsz =    2, switch = on, t =    34512 ms, ax = -0.1187, ay = -0.1067, az =  9.9686, gx = -0.0865 rad/s, gy = -0.0275 rad/s, gz =  0.0178 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.7099, I_w_pitch = -3.0836 A, I_w_roll = -24.3611 A, theta_pitch = 17.89780mrad, theta_roll_comp = -24.9784 mrad, theta_setpoint = -39.7670 mrad, 
msg = 3452, nerr =  143p/ 149r, time steps =    5, qsz =    2, switch = on, t =    34522 ms, ax = -0.0767, ay = -0.4255, az =  9.9183, gx = -0.0755 rad/s, gy = -0.0438 rad/s, gz =  0.0210 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.7099, I_w_pitch = -2.3673 A, I_w_roll = -20.8262 A, theta_pitch = 17.45432mrad, theta_roll_comp = -25.8114 mrad, theta_setpoint = -39.7670 mrad, 
