picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.0485 A, I_w_roll =  2.9387 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =   58, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1162 ms, ax = -0.9638, ay = -0.2505, az =  9.8859, gx = -0.0460 rad/s, gy = -0.0250 rad/s, gz =  0.0467 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.8959 A, I_w_roll =  1.1851 A, theta_pitch = 35.97163mrad, theta_roll_comp =  3.2351 mrad, theta_setpoint = -40.0000 mrad, 
msg =   59, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1182 ms, ax = -0.9446, ay = -0.2278, az =  9.8356, gx = -0.0390 rad/s, gy = -0.0559 rad/s, gz =  0.0397 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.7162 A, I_w_roll =  3.0938 A, theta_pitch = 36.34513mrad, theta_roll_comp =  1.8320 mrad, theta_setpoint = -40.0000 mrad, 
msg =   60, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1202 ms, ax = -0.9038, ay = -0.2302, az =  9.8344, gx = -0.0371 rad/s, gy = -0.0878 rad/s, gz =  0.0134 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.3895 A, I_w_roll =  3.2540 A, theta_pitch = 36.02200mrad, theta_roll_comp =  0.6012 mrad, theta_setpoint = -40.0000 mrad, 
msg =   61, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1222 ms, ax = -0.8978, ay = -0.2158, az =  9.8188, gx = -0.0286 rad/s, gy = -0.1193 rad/s, gz = -0.0149 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.9862 A, I_w_roll =  5.7918 A, theta_pitch = 35.04670mrad, theta_roll_comp = -0.5108 mrad, theta_setpoint = -40.0000 mrad, 
msg =   62, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1242 ms, ax = -0.8631, ay = -0.2469, az =  9.8524, gx = -0.0243 rad/s, gy = -0.1484 rad/s, gz = -0.0332 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5778 A, I_w_roll =  6.8881 A, theta_pitch = 33.43375mrad, theta_roll_comp = -1.4986 mrad, theta_setpoint = -40.0000 mrad, 
msg =   63, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1262 ms, ax = -0.7996, ay = -0.2469, az =  9.9171, gx = -0.0162 rad/s, gy = -0.1749 rad/s, gz = -0.0511 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.8167 A, I_w_roll =  9.3927 A, theta_pitch = 31.20330mrad, theta_roll_comp = -2.3439 mrad, theta_setpoint = -40.0000 mrad, 
msg =   64, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1282 ms, ax = -0.7372, ay = -0.2517, az =  9.9267, gx = -0.0117 rad/s, gy = -0.1958 rad/s, gz = -0.0710 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.0711 A, I_w_roll = 10.6800 A, theta_pitch = 28.41487mrad, theta_roll_comp = -3.0870 mrad, theta_setpoint = -40.0000 mrad, 
msg =   65, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1302 ms, ax = -0.6881, ay = -0.2433, az =  9.9447, gx = -0.0089 rad/s, gy = -0.2141 rad/s, gz = -0.0921 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.2860 A, I_w_roll = 11.4096 A, theta_pitch = 25.18053mrad, theta_roll_comp = -3.7098 mrad, theta_setpoint = -40.0000 mrad, 
msg =   66, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1322 ms, ax = -0.6521, ay = -0.2242, az = 10.0202, gx = -0.0026 rad/s, gy = -0.2314 rad/s, gz = -0.1073 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.5183 A, I_w_roll = 13.4039 A, theta_pitch = 21.58121mrad, theta_roll_comp = -4.2001 mrad, theta_setpoint = -40.0000 mrad, 
msg =   67, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1342 ms, ax = -0.6090, ay = -0.1846, az = 10.0490, gx = -0.0026 rad/s, gy = -0.2486 rad/s, gz = -0.1117 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.7991 A, I_w_roll = 13.2535 A, theta_pitch = 17.62251mrad, theta_roll_comp = -4.5761 mrad, theta_setpoint = -40.0000 mrad, 
msg =   68, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1362 ms, ax = -0.5179, ay = -0.1486, az =  9.9662, gx = -0.0002 rad/s, gy = -0.2645 rad/s, gz = -0.1040 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.0884 A, I_w_roll = 13.9891 A, theta_pitch = 13.28843mrad, theta_roll_comp = -4.8341 mrad, theta_setpoint = -40.0000 mrad, 
msg =   69, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1382 ms, ax = -0.4423, ay = -0.1798, az =  9.9063, gx =  0.0010 rad/s, gy = -0.2772 rad/s, gz = -0.0912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.2986 A, I_w_roll = 14.3210 A, theta_pitch = 8.59354mrad, theta_roll_comp = -5.0530 mrad, theta_setpoint = -40.0000 mrad, 
msg =   70, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1402 ms, ax = -0.3584, ay = -0.2565, az =  9.9363, gx =  0.0068 rad/s, gy = -0.2905 rad/s, gz = -0.0848 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.5845 A, I_w_roll = 16.2675 A, theta_pitch = 3.57173mrad, theta_roll_comp = -5.3133 mrad, theta_setpoint = -40.0000 mrad, 
msg =   71, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1422 ms, ax = -0.2769, ay = -0.3752, az =  9.9543, gx =  0.0122 rad/s, gy = -0.3012 rad/s, gz = -0.1064 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = 10.8088 A, I_w_roll = 18.0003 A, theta_pitch = -1.74983mrad, theta_roll_comp = -5.6417 mrad, theta_setpoint = -40.0000 mrad, 
msg =   72, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1442 ms, ax = -0.1762, ay = -0.5994, az =  9.9567, gx =  0.0156 rad/s, gy = -0.3087 rad/s, gz = -0.1535 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = 11.9489 A, I_w_roll = 18.9751 A, theta_pitch = -7.32633mrad, theta_roll_comp = -6.2340 mrad, theta_setpoint = -40.0000 mrad, 
msg =   73, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1462 ms, ax = -0.0491, ay = -0.8787, az = 10.0945, gx =  0.0156 rad/s, gy = -0.3133 rad/s, gz = -0.2222 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = 13.0042 A, I_w_roll = 18.5528 A, theta_pitch = -13.15433mrad, theta_roll_comp = -7.2897 mrad, theta_setpoint = -40.0000 mrad, 
msg =   74, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1482 ms, ax =  0.0048, ay = -1.0369, az = 10.2012, gx =  0.0134 rad/s, gy = -0.3126 rad/s, gz = -0.2876 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = 13.8643 A, I_w_roll = 17.1682 A, theta_pitch = -19.06589mrad, theta_roll_comp = -8.7705 mrad, theta_setpoint = -40.0000 mrad, 
msg =   75, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1502 ms, ax =  0.0336, ay = -1.0980, az = 10.3019, gx =  0.0111 rad/s, gy = -0.3083 rad/s, gz = -0.3322 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = 14.5672 A, I_w_roll = 15.7213 A, theta_pitch = -24.88824mrad, theta_roll_comp = -10.4071 mrad, theta_setpoint = -40.0000 mrad, 
msg =   76, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1522 ms, ax =  0.0527, ay = -1.1316, az = 10.3534, gx = -0.0017 rad/s, gy = -0.2989 rad/s, gz = -0.3623 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = 15.0297 A, I_w_roll = 10.5060 A, theta_pitch = -30.49244mrad, theta_roll_comp = -12.2605 mrad, theta_setpoint = -40.0000 mrad, 
msg =   77, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1542 ms, ax =  0.1031, ay = -1.1436, az = 10.3450, gx = -0.0207 rad/s, gy = -0.2846 rad/s, gz = -0.3563 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = 15.2592 A, I_w_roll =  2.9759 A, theta_pitch = -35.82212mrad, theta_roll_comp = -14.4226 mrad, theta_setpoint = -39.9979 mrad, 
msg =   78, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1562 ms, ax =  0.1714, ay = -1.1340, az = 10.3462, gx = -0.0383 rad/s, gy = -0.2664 rad/s, gz = -0.3060 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = 15.2808 A, I_w_roll = -4.1737 A, theta_pitch = -40.83075mrad, theta_roll_comp = -16.9173 mrad, theta_setpoint = -39.9979 mrad, 
msg =   79, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1582 ms, ax =  0.2397, ay = -1.0573, az = 10.3534, gx = -0.0627 rad/s, gy = -0.2399 rad/s, gz = -0.2126 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = 14.9101 A, I_w_roll = -13.8133 A, theta_pitch = -45.42495mrad, theta_roll_comp = -19.6949 mrad, theta_setpoint = -39.9979 mrad, 
msg =   80, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1602 ms, ax =  0.2733, ay = -0.9662, az = 10.3331, gx = -0.1031 rad/s, gy = -0.2061 rad/s, gz = -0.0977 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = 14.1586 A, I_w_roll = -29.2571 A, theta_pitch = -49.43434mrad, theta_roll_comp = -22.8855 mrad, theta_setpoint = -39.9979 mrad, 
msg =   81, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1622 ms, ax =  0.3332, ay = -0.9314, az = 10.3115, gx = -0.1410 rad/s, gy = -0.1699 rad/s, gz =  0.0325 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = 13.2061 A, I_w_roll = -44.0154 A, theta_pitch = -52.74226mrad, theta_roll_comp = -26.6924 mrad, theta_setpoint = -39.9979 mrad, 
msg =   82, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1642 ms, ax =  0.3716, ay = -0.8919, az = 10.2300, gx = -0.1840 rad/s, gy = -0.1273 rad/s, gz =  0.1965 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = 11.8836 A, I_w_roll = -60.8779 A, theta_pitch = -55.28809mrad, theta_roll_comp = -31.2181 mrad, theta_setpoint = -40.0000 mrad, 
msg =   83, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1662 ms, ax =  0.4387, ay = -0.7672, az = 10.0861, gx = -0.2245 rad/s, gy = -0.0827 rad/s, gz =  0.3675 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = 10.3620 A, I_w_roll = -77.0688 A, theta_pitch = -57.03888mrad, theta_roll_comp = -36.2764 mrad, theta_setpoint = -40.0000 mrad, 
msg =   84, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1682 ms, ax =  0.5334, ay = -0.5838, az =  9.8835, gx = -0.2605 rad/s, gy = -0.0400 rad/s, gz =  0.5001 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.0668, I_w_pitch =  8.8105 A, I_w_roll = -91.8737 A, theta_pitch = -58.05841mrad, theta_roll_comp = -41.7185 mrad, theta_setpoint = -40.0042 mrad, 
msg =   85, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1702 ms, ax =  0.6977, ay = -0.4303, az =  9.6821, gx = -0.2986 rad/s, gy =  0.0083 rad/s, gz =  0.5864 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.0668, I_w_pitch =  6.9341 A, I_w_roll = -107.5116 A, theta_pitch = -58.43833mrad, theta_roll_comp = -47.4915 mrad, theta_setpoint = -40.0042 mrad, 
msg =   86, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1722 ms, ax =  0.8427, ay = -0.2757, az =  9.5371, gx = -0.3256 rad/s, gy =  0.0558 rad/s, gz =  0.6049 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.0668, I_w_pitch =  5.0000 A, I_w_roll = -119.3590 A, theta_pitch = -58.22049mrad, theta_roll_comp = -53.4587 mrad, theta_setpoint = -40.0042 mrad, 
msg =   87, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1742 ms, ax =  0.9446, ay = -0.1031, az =  9.3453, gx = -0.3460 rad/s, gy =  0.1003 rad/s, gz =  0.5599 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.0668, I_w_pitch =  3.0919 A, I_w_roll = -128.8951 A, theta_pitch = -57.35978mrad, theta_roll_comp = -59.4728 mrad, theta_setpoint = -40.0042 mrad, 
msg =   88, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1762 ms, ax =  1.0896, ay =  0.0479, az =  9.2830, gx = -0.3603 rad/s, gy =  0.1449 rad/s, gz =  0.4462 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.0334, I_w_pitch =  1.0912 A, I_w_roll = -136.2238 A, theta_pitch = -55.91653mrad, theta_roll_comp = -65.3260 mrad, theta_setpoint = -40.0021 mrad, 
msg =   89, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1782 ms, ax =  1.2143, ay =  0.0779, az =  9.3093, gx = -0.3732 rad/s, gy =  0.1894 rad/s, gz =  0.2739 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.0334, I_w_pitch = -0.9861 A, I_w_roll = -143.0838 A, theta_pitch = -53.92725mrad, theta_roll_comp = -71.1745 mrad, theta_setpoint = -40.0021 mrad, 
msg =   90, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1802 ms, ax =  1.2671, ay =  0.0827, az =  9.3381, gx = -0.3769 rad/s, gy =  0.2289 rad/s, gz =  0.0846 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.9603 A, I_w_roll = -146.7364 A, theta_pitch = -51.31182mrad, theta_roll_comp = -77.0416 mrad, theta_setpoint = -40.0000 mrad, 
msg =   91, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1822 ms, ax =  1.2826, ay =  0.0336, az =  9.4712, gx = -0.3758 rad/s, gy =  0.2678 rad/s, gz = -0.1210 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.0110 A, I_w_roll = -148.6852 A, theta_pitch = -48.00884mrad, theta_roll_comp = -82.8456 mrad, theta_setpoint = -40.0000 mrad, 
msg =   92, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1842 ms, ax =  1.2599, ay = -0.0815, az =  9.6354, gx = -0.3692 rad/s, gy =  0.3010 rad/s, gz = -0.3150 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0668, I_w_pitch = -6.9381 A, I_w_roll = -148.6718 A, theta_pitch = -44.00322mrad, theta_roll_comp = -88.6334 mrad, theta_setpoint = -39.9958 mrad, 
msg =   93, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1862 ms, ax =  1.1772, ay = -0.2002, az =  9.7181, gx = -0.3591 rad/s, gy =  0.3289 rad/s, gz = -0.4715 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0668, I_w_pitch = -8.7567 A, I_w_roll = -147.4305 A, theta_pitch = -39.33598mrad, theta_roll_comp = -94.3850 mrad, theta_setpoint = -39.9958 mrad, 
msg =   94, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1882 ms, ax =  1.0189, ay = -0.3440, az =  9.6618, gx = -0.3440 rad/s, gy =  0.3525 rad/s, gz = -0.5920 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0668, I_w_pitch = -10.4997 A, I_w_roll = -144.4270 A, theta_pitch = -34.00050mrad, theta_roll_comp = -100.0419 mrad, theta_setpoint = -39.9958 mrad, 
msg =   95, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1902 ms, ax =  0.8703, ay = -0.6485, az =  9.6354, gx = -0.3185 rad/s, gy =  0.3698 rad/s, gz = -0.6632 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -12.0814 A, I_w_roll = -137.7253 A, theta_pitch = -28.07223mrad, theta_roll_comp = -105.6596 mrad, theta_setpoint = -39.9979 mrad, 
msg =   96, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1922 ms, ax =  0.7252, ay = -0.9686, az =  9.5803, gx = -0.2896 rad/s, gy =  0.3823 rad/s, gz = -0.6792 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -13.5411 A, I_w_roll = -129.8681 A, theta_pitch = -21.67857mrad, theta_roll_comp = -111.2993 mrad, theta_setpoint = -39.9979 mrad, 
msg =   97, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1942 ms, ax =  0.6078, ay = -1.1604, az =  9.4184, gx = -0.2442 rad/s, gy =  0.3883 rad/s, gz = -0.6221 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -14.7863 A, I_w_roll = -116.0956 A, theta_pitch = -14.97506mrad, theta_roll_comp = -116.5979 mrad, theta_setpoint = -39.9979 mrad, 
msg =   98, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1962 ms, ax =  0.4639, ay = -1.3450, az =  9.3681, gx = -0.1892 rad/s, gy =  0.3887 rad/s, gz = -0.4916 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0668, I_w_pitch = -15.8349 A, I_w_roll = -98.6984 A, theta_pitch = -8.09055mrad, theta_roll_comp = -121.2212 mrad, theta_setpoint = -39.9958 mrad, 
msg =   99, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1982 ms, ax =  0.3285, ay = -1.5020, az =  9.4220, gx = -0.1296 rad/s, gy =  0.3821 rad/s, gz = -0.3244 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0668, I_w_pitch = -16.6152 A, I_w_roll = -79.3507 A, theta_pitch = -1.11334mrad, theta_roll_comp = -124.9320 mrad, theta_setpoint = -39.9958 mrad, 
msg =  100, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     2002 ms, ax =  0.2014, ay = -1.5296, az =  9.4724, gx = -0.0645 rad/s, gy =  0.3681 rad/s, gz = -0.1309 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.1337, I_w_pitch = -17.0922 A, I_w_roll = -57.5924 A, theta_pitch = 5.79521mrad, theta_roll_comp = -127.5054 mrad, theta_setpoint = -39.9916 mrad, 
msg =  101, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     2022 ms, ax =  0.1486, ay = -1.5248, az =  9.5575, gx =  0.0036 rad/s, gy =  0.3484 rad/s, gz =  0.0510 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.1337, I_w_pitch = -17.2975 A, I_w_roll = -34.1999 A, theta_pitch = 12.41863mrad, theta_roll_comp = -128.6772 mrad, theta_setpoint = -39.9916 mrad, 
msg =  102, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     2042 ms, ax =  0.0839, ay = -1.4720, az =  9.5874, gx =  0.0690 rad/s, gy =  0.3243 rad/s, gz =  0.1841 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.1671, I_w_pitch = -17.2583 A, I_w_roll = -11.2246 A, theta_pitch = 18.58433mrad, theta_roll_comp = -128.4431 mrad, theta_setpoint = -39.9895 mrad, 
msg =  103, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     2062 ms, ax = -0.0168, ay = -1.3654, az =  9.5107, gx =  0.1337 rad/s, gy =  0.2914 rad/s, gz =  0.2772 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.1671, I_w_pitch = -16.7900 A, I_w_roll = 12.1038 A, theta_pitch = 24.23306mrad, theta_roll_comp = -126.7459 mrad, theta_setpoint = -39.9895 mrad, 
msg =  104, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     2082 ms, ax = -0.0875, ay = -1.2191, az =  9.4076, gx =  0.1942 rad/s, gy =  0.2522 rad/s, gz =  0.3241 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.1671, I_w_pitch = -15.9755 A, I_w_roll = 34.5139 A, theta_pitch = 29.24193mrad, theta_roll_comp = -123.6162 mrad, theta_setpoint = -39.9895 mrad, 
msg =  105, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     2102 ms, ax = -0.1666, ay = -0.9914, az =  9.3177, gx =  0.2435 rad/s, gy =  0.2103 rad/s, gz =  0.3345 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.1337, I_w_pitch = -14.9373 A, I_w_roll = 53.5633 A, theta_pitch = 33.50605mrad, theta_roll_comp = -119.1034 mrad, theta_setpoint = -39.9916 mrad, 
msg =  106, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     2122 ms, ax =  0.2266, ay = -1.2059, az = 10.3570, gx =  0.2759 rad/s, gy =  0.1566 rad/s, gz =  0.3085 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.1337, I_w_pitch = -13.2511 A, I_w_roll = 67.1451 A, theta_pitch = 36.57375mrad, theta_roll_comp = -113.5772 mrad, theta_setpoint = -39.9916 mrad, 
msg =  107, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     2142 ms, ax = -0.2661, ay = -1.2335, az = 13.3862, gx =  0.2172 rad/s, gy =  0.0999 rad/s, gz =  0.2281 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -11.2690 A, I_w_roll = 48.6666 A, theta_pitch = 38.48620mrad, theta_roll_comp = -108.4011 mrad, theta_setpoint = -40.0000 mrad, 
msg =  108, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     2162 ms, ax = -0.3596, ay = -0.3992, az = 13.2891, gx =  0.1581 rad/s, gy =  0.0586 rad/s, gz =  0.1917 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.2340, I_w_pitch = -9.8010 A, I_w_roll = 29.8420 A, theta_pitch = 39.70678mrad, theta_roll_comp = -103.7469 mrad, theta_setpoint = -40.0147 mrad, 
msg =  109, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     2182 ms, ax = -0.3189, ay =  0.1654, az = 10.4553, gx =  0.1489 rad/s, gy =  0.0189 rad/s, gz =  0.2193 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.2340, I_w_pitch = -8.2964 A, I_w_roll = 28.5417 A, theta_pitch = 40.25743mrad, theta_roll_comp = -98.9583 mrad, theta_setpoint = -40.0147 mrad, 
msg =  110, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     2202 ms, ax = -0.1343, ay =  0.2589, az =  8.8023, gx =  0.1490 rad/s, gy = -0.0203 rad/s, gz =  0.2337 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.5013, I_w_pitch = -6.6663 A, I_w_roll = 30.7059 A, theta_pitch = 39.86509mrad, theta_roll_comp = -93.6811 mrad, theta_setpoint = -40.0315 mrad, 
msg =  111, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     2222 ms, ax = -0.0719, ay =  0.3440, az =  7.7738, gx =  0.1383 rad/s, gy = -0.0571 rad/s, gz =  0.2121 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.5013, I_w_pitch = -4.9912 A, I_w_roll = 29.0784 A, theta_pitch = 38.49830mrad, theta_roll_comp = -88.3127 mrad, theta_setpoint = -40.0315 mrad, 
msg =  112, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     2242 ms, ax = -0.0731, ay =  0.0384, az =  8.7987, gx =  0.0975 rad/s, gy = -0.0828 rad/s, gz =  0.1405 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.5013, I_w_pitch = -3.6691 A, I_w_roll = 16.5822 A, theta_pitch = 36.53716mrad, theta_roll_comp = -83.9011 mrad, theta_setpoint = -40.0315 mrad, 
msg =  113, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     2262 ms, ax = -0.2302, ay = -0.0036, az = 11.2177, gx =  0.0465 rad/s, gy = -0.0984 rad/s, gz =  0.0421 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.5348, I_w_pitch = -2.7121 A, I_w_roll = -0.0886 A, theta_pitch = 34.31173mrad, theta_roll_comp = -80.9571 mrad, theta_setpoint = -40.0336 mrad, 
msg =  114, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     2282 ms, ax = -0.3560, ay =  0.0444, az = 11.6696, gx =  0.0074 rad/s, gy = -0.1005 rad/s, gz =  0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.5348, I_w_pitch = -2.3043 A, I_w_roll = -12.9079 A, theta_pitch = 32.16063mrad, theta_roll_comp = -78.7513 mrad, theta_setpoint = -40.0336 mrad, 
msg =  115, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     2302 ms, ax = -0.3440, ay = -0.1966, az =  9.9339, gx = -0.0173 rad/s, gy = -0.0989 rad/s, gz =  0.0055 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.5348, I_w_pitch = -2.0717 A, I_w_roll = -20.9603 A, theta_pitch = 30.18435mrad, theta_roll_comp = -77.3281 mrad, theta_setpoint = -40.0336 mrad, 
msg =  116, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     2322 ms, ax = -0.2709, ay = -0.1954, az =  8.8119, gx = -0.0472 rad/s, gy = -0.0960 rad/s, gz = -0.0079 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.5013, I_w_pitch = -1.9056 A, I_w_roll = -31.2637 A, theta_pitch = 28.29564mrad, theta_roll_comp = -76.8698 mrad, theta_setpoint = -40.0315 mrad, 
