picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 1226, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24522 ms, ax =  0.0995, ay = -0.2517, az =  9.9567, gx = -0.0115 rad/s, gy =  0.0629 rad/s, gz = -0.0003 rad/s, rpm_pitch =  0.0000, rpm_roll = 89.8062, I_w_pitch = -1.7833 A, I_w_roll =  0.6926 A, theta_pitch = -14.88018mrad, theta_roll_comp = -33.8120 mrad, theta_setpoint = -45.6398 mrad, 
msg = 1284, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25682 ms, ax =  0.0707, ay = -0.4375, az =  9.9722, gx = -0.0090 rad/s, gy = -0.0372 rad/s, gz = -0.0188 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.5789, I_w_pitch =  1.9575 A, I_w_roll = -1.8707 A, theta_pitch = -13.11724mrad, theta_roll_comp = -43.3617 mrad, theta_setpoint = -46.5676 mrad, 
msg = 1285, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25702 ms, ax =  0.0887, ay = -0.4615, az =  9.9543, gx =  0.0016 rad/s, gy = -0.0418 rad/s, gz = -0.0242 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.9693, I_w_pitch =  2.2405 A, I_w_roll =  1.6915 A, theta_pitch = -13.79694mrad, theta_roll_comp = -43.5503 mrad, theta_setpoint = -46.3409 mrad, 
msg = 1286, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25722 ms, ax =  0.0491, ay = -0.5155, az =  9.9267, gx = -0.0022 rad/s, gy = -0.0431 rad/s, gz = -0.0249 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.9693, I_w_pitch =  2.3994 A, I_w_roll =  0.2697 A, theta_pitch = -14.50075mrad, theta_roll_comp = -43.7259 mrad, theta_setpoint = -46.3409 mrad, 
msg = 1287, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25742 ms, ax =  0.0587, ay = -0.5202, az =  9.9638, gx = -0.0008 rad/s, gy = -0.0439 rad/s, gz = -0.0233 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.9693, I_w_pitch =  2.5354 A, I_w_roll =  0.7384 A, theta_pitch = -15.19431mrad, theta_roll_comp = -43.8357 mrad, theta_setpoint = -46.3409 mrad, 
msg = 1288, nerr =    4p/  18r, time steps =   10, qsz =    3, switch = on, t =    25762 ms, ax =  0.0671, ay = -0.6425, az =  9.9171, gx =  0.0048 rad/s, gy = -0.0446 rad/s, gz = -0.0226 rad/s, rpm_pitch =  0.0000, rpm_roll = 98.7634, I_w_pitch =  2.6667 A, I_w_roll =  2.6168 A, theta_pitch = -15.89231mrad, theta_roll_comp = -43.8948 mrad, theta_setpoint = -46.2023 mrad, 
msg = 1289, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25782 ms, ax =  0.0288, ay = -0.4987, az =  9.9159, gx = -0.0008 rad/s, gy = -0.0432 rad/s, gz = -0.0190 rad/s, rpm_pitch =  0.0000, rpm_roll = 92.8810, I_w_pitch =  2.7114 A, I_w_roll =  0.4945 A, theta_pitch = -16.54582mrad, theta_roll_comp = -43.9376 mrad, theta_setpoint = -45.8329 mrad, 
msg = 1290, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25802 ms, ax =  0.0456, ay = -0.3069, az =  9.9686, gx =  0.0007 rad/s, gy = -0.0416 rad/s, gz = -0.0148 rad/s, rpm_pitch =  0.0000, rpm_roll = 90.8757, I_w_pitch =  2.7417 A, I_w_roll =  1.0200 A, theta_pitch = -17.17366mrad, theta_roll_comp = -43.7795 mrad, theta_setpoint = -45.7070 mrad, 
msg = 1291, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25822 ms, ax =  0.0456, ay = -0.3368, az =  9.9567, gx =  0.0052 rad/s, gy = -0.0398 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = 89.8396, I_w_pitch =  2.7505 A, I_w_roll =  2.6553 A, theta_pitch = -17.72962mrad, theta_roll_comp = -43.5875 mrad, theta_setpoint = -45.6419 mrad, 
msg = 1292, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25842 ms, ax =  0.0935, ay = -0.2985, az =  9.9722, gx = -0.0020 rad/s, gy = -0.0363 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = 89.8396, I_w_pitch =  2.6915 A, I_w_roll =  0.1864 A, theta_pitch = -18.25903mrad, theta_roll_comp = -43.4682 mrad, theta_setpoint = -45.6419 mrad, 
msg = 1293, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25862 ms, ax =  0.0635, ay = -0.2697, az =  9.9962, gx = -0.0026 rad/s, gy = -0.0307 rad/s, gz = -0.0071 rad/s, rpm_pitch =  0.1310, rpm_roll = 89.4385, I_w_pitch =  2.7107 A, I_w_roll =  0.0256 A, theta_pitch = -18.72694mrad, theta_roll_comp = -43.2626 mrad, theta_setpoint = -45.6167 mrad, 
msg = 1294, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25882 ms, ax =  0.0084, ay = -0.3428, az =  9.9698, gx = -0.0037 rad/s, gy = -0.0210 rad/s, gz = -0.0056 rad/s, rpm_pitch =  0.1310, rpm_roll = 89.4385, I_w_pitch =  2.3492 A, I_w_roll = -0.3112 A, theta_pitch = -18.90892mrad, theta_roll_comp = -43.1725 mrad, theta_setpoint = -45.6167 mrad, 
msg = 1295, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25902 ms, ax =  0.0324, ay = -0.3800, az =  9.9650, gx = -0.0110 rad/s, gy = -0.0078 rad/s, gz = -0.0064 rad/s, rpm_pitch =  1.1790, rpm_roll = 89.6390, I_w_pitch =  3.1953 A, I_w_roll = -2.9025 A, theta_pitch = -18.85052mrad, theta_roll_comp = -43.2553 mrad, theta_setpoint = -45.6293 mrad, 
msg = 1296, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25922 ms, ax = -0.0060, ay = -0.4160, az =  9.9722, gx = -0.0057 rad/s, gy =  0.0050 rad/s, gz = -0.0063 rad/s, rpm_pitch =  0.0437, rpm_roll = 89.9733, I_w_pitch =  1.1440 A, I_w_roll = -1.0648 A, theta_pitch = -18.56607mrad, theta_roll_comp = -43.3425 mrad, theta_setpoint = -45.6503 mrad, 
msg = 1297, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25942 ms, ax =  0.0204, ay = -0.5095, az =  9.9794, gx = -0.0077 rad/s, gy =  0.0197 rad/s, gz =  0.0005 rad/s, rpm_pitch =  0.0437, rpm_roll = 89.9733, I_w_pitch =  0.4620 A, I_w_roll = -1.8198 A, theta_pitch = -17.96105mrad, theta_roll_comp = -43.4822 mrad, theta_setpoint = -45.6503 mrad, 
msg = 1298, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25962 ms, ax =  0.1127, ay = -0.5131, az =  9.9866, gx = -0.0051 rad/s, gy =  0.0321 rad/s, gz =  0.0053 rad/s, rpm_pitch =  0.0000, rpm_roll = 89.1711, I_w_pitch = -0.1987 A, I_w_roll = -0.9826 A, theta_pitch = -17.24193mrad, theta_roll_comp = -43.5525 mrad, theta_setpoint = -45.5999 mrad, 
msg = 1299, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    25982 ms, ax =  0.0755, ay = -0.5035, az =  9.9758, gx = -0.0012 rad/s, gy =  0.0355 rad/s, gz =  0.0104 rad/s, rpm_pitch =  3.4934, rpm_roll = 89.1711, I_w_pitch =  4.1479 A, I_w_roll =  0.3610 A, theta_pitch = -16.39303mrad, theta_roll_comp = -43.6887 mrad, theta_setpoint = -45.5999 mrad, 
msg = 1300, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26002 ms, ax =  0.0947, ay = -0.4327, az =  9.9171, gx = -0.0058 rad/s, gy =  0.0351 rad/s, gz =  0.0180 rad/s, rpm_pitch =  3.4934, rpm_roll = 87.0655, I_w_pitch =  4.0361 A, I_w_roll = -1.3572 A, theta_pitch = -15.54128mrad, theta_roll_comp = -43.7743 mrad, theta_setpoint = -45.4677 mrad, 
msg = 1301, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26022 ms, ax =  0.0468, ay = -0.3908, az =  9.9471, gx = -0.0074 rad/s, gy =  0.0331 rad/s, gz =  0.0197 rad/s, rpm_pitch =  4.5415, rpm_roll = 86.1965, I_w_pitch =  5.3666 A, I_w_roll = -1.9706 A, theta_pitch = -14.66420mrad, theta_roll_comp = -43.8550 mrad, theta_setpoint = -45.4131 mrad, 
msg = 1302, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26042 ms, ax =  0.0503, ay = -0.3896, az =  9.9543, gx = -0.0020 rad/s, gy =  0.0371 rad/s, gz =  0.0162 rad/s, rpm_pitch =  4.5415, rpm_roll = 86.1965, I_w_pitch =  5.0763 A, I_w_roll = -0.0847 A, theta_pitch = -13.79411mrad, theta_roll_comp = -43.9173 mrad, theta_setpoint = -45.4131 mrad, 
msg = 1303, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26062 ms, ax = -0.0108, ay = -0.4867, az =  9.9555, gx = -0.0059 rad/s, gy =  0.0510 rad/s, gz =  0.0138 rad/s, rpm_pitch =  0.0000, rpm_roll = 84.2914, I_w_pitch = -1.6422 A, I_w_roll = -1.5618 A, theta_pitch = -12.66077mrad, theta_roll_comp = -43.9951 mrad, theta_setpoint = -45.2935 mrad, 
msg = 1304, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26082 ms, ax =  0.0084, ay = -0.4136, az =  9.9938, gx = -0.0045 rad/s, gy =  0.0727 rad/s, gz =  0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = 83.1551, I_w_pitch = -2.7340 A, I_w_roll = -1.1045 A, theta_pitch = -11.16996mrad, theta_roll_comp = -44.0622 mrad, theta_setpoint = -45.2221 mrad, 
msg = 1305, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26102 ms, ax =  0.1103, ay = -0.4004, az =  9.9734, gx =  0.0042 rad/s, gy =  0.0867 rad/s, gz =  0.0110 rad/s, rpm_pitch =  0.0000, rpm_roll = 83.1551, I_w_pitch = -3.5410 A, I_w_roll =  1.9145 A, theta_pitch = -9.51830mrad, theta_roll_comp = -44.0876 mrad, theta_setpoint = -45.2221 mrad, 
msg = 1306, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26122 ms, ax =  0.1211, ay = -0.3848, az =  9.9471, gx =  0.0006 rad/s, gy =  0.0849 rad/s, gz =  0.0192 rad/s, rpm_pitch =  5.5022, rpm_roll = 80.7821, I_w_pitch =  3.5388 A, I_w_roll =  0.6021 A, theta_pitch = -7.84497mrad, theta_roll_comp = -44.0739 mrad, theta_setpoint = -45.0731 mrad, 
msg = 1307, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26142 ms, ax =  0.1714, ay = -0.4040, az =  9.9555, gx = -0.0053 rad/s, gy =  0.0711 rad/s, gz =  0.0245 rad/s, rpm_pitch =  5.5022, rpm_roll = 80.7821, I_w_pitch =  3.8724 A, I_w_roll = -1.4608 A, theta_pitch = -6.41135mrad, theta_roll_comp = -44.1048 mrad, theta_setpoint = -45.0731 mrad, 
msg = 1308, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26162 ms, ax =  0.2182, ay = -0.3692, az =  9.9219, gx = -0.0050 rad/s, gy =  0.0577 rad/s, gz =  0.0236 rad/s, rpm_pitch =  0.0000, rpm_roll = 79.1778, I_w_pitch = -3.0106 A, I_w_roll = -1.4240 A, theta_pitch = -5.31360mrad, theta_roll_comp = -44.1449 mrad, theta_setpoint = -44.9724 mrad, 
msg = 1309, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26182 ms, ax =  0.1319, ay = -0.4327, az =  9.9435, gx = -0.0109 rad/s, gy =  0.0585 rad/s, gz =  0.0209 rad/s, rpm_pitch =  0.0000, rpm_roll = 78.6765, I_w_pitch = -3.1866 A, I_w_roll = -3.5117 A, theta_pitch = -4.35368mrad, theta_roll_comp = -44.2063 mrad, theta_setpoint = -44.9409 mrad, 
msg = 1310, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26202 ms, ax =  0.2457, ay = -0.4399, az =  9.8895, gx = -0.0082 rad/s, gy =  0.0566 rad/s, gz =  0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = 78.6765, I_w_pitch = -3.2537 A, I_w_roll = -2.6697 A, theta_pitch = -3.40877mrad, theta_roll_comp = -44.4315 mrad, theta_setpoint = -44.9409 mrad, 
msg = 1311, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26222 ms, ax =  0.2158, ay = -0.4687, az =  9.8188, gx = -0.0038 rad/s, gy =  0.0434 rad/s, gz = -0.0005 rad/s, rpm_pitch =  4.4105, rpm_roll = 76.9051, I_w_pitch =  2.9908 A, I_w_roll = -1.2536 A, theta_pitch = -2.74693mrad, theta_roll_comp = -44.6248 mrad, theta_setpoint = -44.8296 mrad, 
msg = 1312, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26242 ms, ax =  0.2613, ay = -0.4423, az =  9.8236, gx = -0.0063 rad/s, gy =  0.0267 rad/s, gz = -0.0131 rad/s, rpm_pitch =  0.1747, rpm_roll = 76.9051, I_w_pitch = -1.9585 A, I_w_roll = -2.2064 A, theta_pitch = -2.51840mrad, theta_roll_comp = -44.7931 mrad, theta_setpoint = -44.8296 mrad, 
msg = 1313, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26262 ms, ax =  0.2949, ay = -0.4831, az =  9.8715, gx =  0.0000 rad/s, gy =  0.0102 rad/s, gz = -0.0288 rad/s, rpm_pitch =  0.1747, rpm_roll = 74.0976, I_w_pitch = -1.2788 A, I_w_roll = -0.0860 A, theta_pitch = -2.64675mrad, theta_roll_comp = -44.9084 mrad, theta_setpoint = -44.6533 mrad, 
msg = 1314, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26282 ms, ax =  0.2397, ay = -0.4663, az =  9.8476, gx =  0.0043 rad/s, gy =  0.0034 rad/s, gz = -0.0459 rad/s, rpm_pitch =  0.0000, rpm_roll = 72.2259, I_w_pitch = -1.1726 A, I_w_roll =  1.3073 A, theta_pitch = -3.08018mrad, theta_roll_comp = -45.0358 mrad, theta_setpoint = -44.5358 mrad, 
msg = 1315, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26302 ms, ax =  0.1247, ay = -0.4999, az =  9.8548, gx = -0.0061 rad/s, gy = -0.0077 rad/s, gz = -0.0502 rad/s, rpm_pitch =  0.0000, rpm_roll = 72.2259, I_w_pitch = -0.6807 A, I_w_roll = -2.3442 A, theta_pitch = -3.41235mrad, theta_roll_comp = -45.0768 mrad, theta_setpoint = -44.5358 mrad, 
msg = 1316, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26322 ms, ax =  0.1762, ay = -0.4783, az =  9.8871, gx = -0.0001 rad/s, gy = -0.0229 rad/s, gz = -0.0551 rad/s, rpm_pitch =  1.1790, rpm_roll = 69.3182, I_w_pitch =  1.5610 A, I_w_roll = -0.3576 A, theta_pitch = -3.94270mrad, theta_roll_comp = -45.1707 mrad, theta_setpoint = -44.3532 mrad, 
msg = 1317, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26342 ms, ax =  0.1978, ay = -0.4363, az =  9.8763, gx =  0.0012 rad/s, gy = -0.0370 rad/s, gz = -0.0503 rad/s, rpm_pitch =  4.9345, rpm_roll = 69.3182, I_w_pitch =  7.2101 A, I_w_roll =  0.1108 A, theta_pitch = -4.82174mrad, theta_roll_comp = -45.1646 mrad, theta_setpoint = -44.3532 mrad, 
msg = 1318, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26362 ms, ax =  0.1774, ay = -0.5466, az =  9.9051, gx = -0.0069 rad/s, gy = -0.0480 rad/s, gz = -0.0399 rad/s, rpm_pitch =  4.9345, rpm_roll = 65.6751, I_w_pitch =  7.8244 A, I_w_roll = -2.8727 A, theta_pitch = -5.96986mrad, theta_roll_comp = -45.2875 mrad, theta_setpoint = -44.1244 mrad, 
msg = 1319, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26382 ms, ax = -0.0024, ay = -0.5322, az =  9.9770, gx = -0.0061 rad/s, gy = -0.0478 rad/s, gz = -0.0286 rad/s, rpm_pitch =  0.0000, rpm_roll = 65.3409, I_w_pitch =  1.4495 A, I_w_roll = -2.6779 A, theta_pitch = -6.92571mrad, theta_roll_comp = -45.4788 mrad, theta_setpoint = -44.1034 mrad, 
msg = 1320, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26402 ms, ax = -0.0647, ay = -0.4759, az =  9.9866, gx =  0.0015 rad/s, gy = -0.0219 rad/s, gz = -0.0189 rad/s, rpm_pitch =  0.0000, rpm_roll = 65.3409, I_w_pitch =  0.4891 A, I_w_roll = -0.0463 A, theta_pitch = -7.41111mrad, theta_roll_comp = -45.5407 mrad, theta_setpoint = -44.1034 mrad, 
msg = 1321, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26422 ms, ax =  0.1019, ay = -0.5035, az =  9.9734, gx =  0.0026 rad/s, gy =  0.0074 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = 62.9011, I_w_pitch = -0.6797 A, I_w_roll =  0.2422 A, theta_pitch = -7.43084mrad, theta_roll_comp = -45.5983 mrad, theta_setpoint = -43.9502 mrad, 
msg = 1322, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26442 ms, ax =  0.0635, ay = -0.4783, az =  9.9315, gx = -0.0021 rad/s, gy =  0.0208 rad/s, gz =  0.0029 rad/s, rpm_pitch =  0.0000, rpm_roll = 59.7594, I_w_pitch = -1.2575 A, I_w_roll = -1.5297 A, theta_pitch = -7.16550mrad, theta_roll_comp = -45.7529 mrad, theta_setpoint = -43.7529 mrad, 
msg = 1323, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26462 ms, ax =  0.1450, ay = -0.4687, az =  9.8763, gx =  0.0020 rad/s, gy =  0.0215 rad/s, gz =  0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = 59.7594, I_w_pitch = -1.3380 A, I_w_roll = -0.1181 A, theta_pitch = -6.80619mrad, theta_roll_comp = -45.8358 mrad, theta_setpoint = -43.7529 mrad, 
msg = 1324, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26482 ms, ax =  0.1714, ay = -0.4939, az =  9.8596, gx = -0.0008 rad/s, gy =  0.0159 rad/s, gz =  0.0118 rad/s, rpm_pitch =  0.0000, rpm_roll = 58.7567, I_w_pitch = -1.1392 A, I_w_roll = -1.1430 A, theta_pitch = -6.64057mrad, theta_roll_comp = -45.8883 mrad, theta_setpoint = -43.6899 mrad, 
msg = 1325, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26502 ms, ax =  0.2086, ay = -0.5322, az =  9.8392, gx = -0.0041 rad/s, gy =  0.0055 rad/s, gz =  0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = 58.7567, I_w_pitch = -0.7150 A, I_w_roll = -2.3464 A, theta_pitch = -6.69838mrad, theta_roll_comp = -45.9840 mrad, theta_setpoint = -43.6899 mrad, 
msg = 1326, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26522 ms, ax =  0.2170, ay = -0.4615, az =  9.8751, gx = -0.0004 rad/s, gy = -0.0070 rad/s, gz =  0.0019 rad/s, rpm_pitch =  0.0000, rpm_roll = 56.8516, I_w_pitch = -0.1684 A, I_w_roll = -1.0878 A, theta_pitch = -7.00487mrad, theta_roll_comp = -45.9802 mrad, theta_setpoint = -43.5703 mrad, 
msg = 1327, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26542 ms, ax =  0.2445, ay = -0.4483, az =  9.8703, gx =  0.0002 rad/s, gy = -0.0205 rad/s, gz = -0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = 55.1136, I_w_pitch =  0.4633 A, I_w_roll = -0.9411 A, theta_pitch = -7.62967mrad, theta_roll_comp = -45.9704 mrad, theta_setpoint = -43.4611 mrad, 
msg = 1328, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26562 ms, ax =  0.2409, ay = -0.4184, az =  9.8823, gx =  0.0000 rad/s, gy = -0.0329 rad/s, gz = -0.0189 rad/s, rpm_pitch =  0.0000, rpm_roll = 55.1136, I_w_pitch =  1.0909 A, I_w_roll = -0.9749 A, theta_pitch = -8.51179mrad, theta_roll_comp = -45.9384 mrad, theta_setpoint = -43.4611 mrad, 
msg = 1329, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26582 ms, ax =  0.2026, ay = -0.3836, az =  9.9147, gx =  0.0040 rad/s, gy = -0.0434 rad/s, gz = -0.0285 rad/s, rpm_pitch =  0.0000, rpm_roll = 52.6738, I_w_pitch =  1.6667 A, I_w_roll =  0.3994 A, theta_pitch = -9.54501mrad, theta_roll_comp = -45.8448 mrad, theta_setpoint = -43.3079 mrad, 
msg = 1330, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26602 ms, ax =  0.1810, ay = -0.4267, az =  9.8883, gx =  0.0028 rad/s, gy = -0.0516 rad/s, gz = -0.0333 rad/s, rpm_pitch =  0.0000, rpm_roll = 52.6738, I_w_pitch =  2.1662 A, I_w_roll =  0.0274 A, theta_pitch = -10.67415mrad, theta_roll_comp = -45.7260 mrad, theta_setpoint = -43.3079 mrad, 
msg = 1331, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26622 ms, ax =  0.1546, ay = -0.4351, az =  9.9147, gx =  0.0026 rad/s, gy = -0.0543 rad/s, gz = -0.0345 rad/s, rpm_pitch =  0.0000, rpm_roll = 50.2340, I_w_pitch =  2.4468 A, I_w_roll = -0.0907 A, theta_pitch = -11.83416mrad, theta_roll_comp = -45.6352 mrad, theta_setpoint = -43.1547 mrad, 
msg = 1332, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26642 ms, ax =  0.0935, ay = -0.4208, az =  9.9375, gx =  0.0051 rad/s, gy = -0.0516 rad/s, gz = -0.0317 rad/s, rpm_pitch =  0.0000, rpm_roll = 49.5321, I_w_pitch =  2.4993 A, I_w_roll =  0.8381 A, theta_pitch = -12.89441mrad, theta_roll_comp = -45.4828 mrad, theta_setpoint = -43.1106 mrad, 
msg = 1333, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26662 ms, ax =  0.0743, ay = -0.4879, az =  9.9279, gx =  0.0020 rad/s, gy = -0.0439 rad/s, gz = -0.0244 rad/s, rpm_pitch =  0.0000, rpm_roll = 49.5321, I_w_pitch =  2.3184 A, I_w_roll = -0.1918 A, theta_pitch = -13.74788mrad, theta_roll_comp = -45.3778 mrad, theta_setpoint = -43.1106 mrad, 
msg = 1334, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26682 ms, ax =  0.0719, ay = -0.4303, az =  9.9459, gx =  0.0012 rad/s, gy = -0.0331 rad/s, gz = -0.0153 rad/s, rpm_pitch =  0.0000, rpm_roll = 48.2955, I_w_pitch =  1.9815 A, I_w_roll = -0.4632 A, theta_pitch = -14.37784mrad, theta_roll_comp = -45.2797 mrad, theta_setpoint = -43.0330 mrad, 
msg = 1335, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26702 ms, ax =  0.0779, ay = -0.4303, az =  9.9615, gx =  0.0032 rad/s, gy = -0.0221 rad/s, gz = -0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = 48.2955, I_w_pitch =  1.5966 A, I_w_roll =  0.2843 A, theta_pitch = -14.75913mrad, theta_roll_comp = -45.1586 mrad, theta_setpoint = -43.0330 mrad, 
msg = 1336, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26722 ms, ax =  0.1067, ay = -0.4208, az =  9.9698, gx =  0.0006 rad/s, gy = -0.0110 rad/s, gz = -0.0001 rad/s, rpm_pitch =  0.0000, rpm_roll = 47.8944, I_w_pitch =  1.1863 A, I_w_roll = -0.6197 A, theta_pitch = -14.97093mrad, theta_roll_comp = -45.0631 mrad, theta_setpoint = -43.0078 mrad, 
msg = 1337, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26742 ms, ax =  0.1283, ay = -0.4016, az =  9.9686, gx =  0.0010 rad/s, gy = -0.0028 rad/s, gz =  0.0033 rad/s, rpm_pitch =  0.0000, rpm_roll = 47.1591, I_w_pitch =  0.8612 A, I_w_roll = -0.4632 A, theta_pitch = -15.00499mrad, theta_roll_comp = -44.9750 mrad, theta_setpoint = -42.9616 mrad, 
msg = 1338, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26762 ms, ax =  0.1355, ay = -0.3956, az =  9.9615, gx =  0.0034 rad/s, gy =  0.0026 rad/s, gz =  0.0055 rad/s, rpm_pitch =  0.0000, rpm_roll = 47.1591, I_w_pitch =  0.6441 A, I_w_roll =  0.4284 A, theta_pitch = -14.97822mrad, theta_roll_comp = -44.8434 mrad, theta_setpoint = -42.9616 mrad, 
msg = 1339, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26782 ms, ax =  0.1702, ay = -0.4315, az =  9.9507, gx = -0.0009 rad/s, gy =  0.0078 rad/s, gz =  0.0069 rad/s, rpm_pitch =  0.0000, rpm_roll = 46.5241, I_w_pitch =  0.4231 A, I_w_roll = -1.0476 A, theta_pitch = -14.88941mrad, theta_roll_comp = -44.7652 mrad, theta_setpoint = -42.9217 mrad, 
msg = 1340, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26802 ms, ax =  0.1786, ay = -0.3716, az =  9.9615, gx =  0.0027 rad/s, gy =  0.0100 rad/s, gz =  0.0041 rad/s, rpm_pitch =  3.7555, rpm_roll = 46.5241, I_w_pitch =  5.2611 A, I_w_roll =  0.2613 A, theta_pitch = -14.72880mrad, theta_roll_comp = -44.6385 mrad, theta_setpoint = -42.9217 mrad, 
msg = 1341, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26822 ms, ax =  0.1678, ay = -0.4591, az =  9.9650, gx =  0.0010 rad/s, gy =  0.0122 rad/s, gz =  0.0015 rad/s, rpm_pitch =  3.7555, rpm_roll = 45.5548, I_w_pitch =  5.1493 A, I_w_roll = -0.3113 A, theta_pitch = -14.55165mrad, theta_roll_comp = -44.4946 mrad, theta_setpoint = -42.8608 mrad, 
msg = 1342, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    26842 ms, ax =  0.0288, ay = -0.4220, az = 10.0142, gx = -0.0030 rad/s, gy =  0.0247 rad/s, gz = -0.0028 rad/s, rpm_pitch =  0.0000, rpm_roll = 44.4853, I_w_pitch = -0.3865 A, I_w_roll = -1.6935 A, theta_pitch = -14.00209mrad, theta_roll_comp = -44.3877 mrad, theta_setpoint = -42.7937 mrad, 
