picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =   82, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      822 ms, ax =  0.0611, ay = -6.4156, az =  7.6563, gx = -0.0010 rad/s, gy = -0.0162 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1531 A, I_w_roll = -137.3825 A, theta_pitch = -13.36477mrad, theta_roll_comp = -382.5641 mrad, theta_setpoint = -40.0000 mrad, 
msg =  140, nerr =    4p/   6r, time steps =    5, qsz =    2, switch = off, t =     1402 ms, ax =  0.0815, ay = -6.3952, az =  7.6539, gx = -0.0010 rad/s, gy =  0.0046 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.5436 A, I_w_roll = -192.8928 A, theta_pitch = -14.84086mrad, theta_roll_comp = -521.3399 mrad, theta_setpoint = -40.0000 mrad, 
msg =  141, nerr =    4p/   6r, time steps =    5, qsz =    2, switch = off, t =     1412 ms, ax =  0.0815, ay = -6.3940, az =  7.6467, gx = -0.0010 rad/s, gy =  0.0047 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.5251 A, I_w_roll = -193.5940 A, theta_pitch = -14.75296mrad, theta_roll_comp = -523.0930 mrad, theta_setpoint = -40.0000 mrad, 
msg =  142, nerr =    4p/   6r, time steps =    5, qsz =    2, switch = off, t =     1422 ms, ax =  0.0887, ay = -6.3892, az =  7.6527, gx = -0.0012 rad/s, gy =  0.0048 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.5073 A, I_w_roll = -194.3344 A, theta_pitch = -14.66967mrad, theta_roll_comp = -524.8273 mrad, theta_setpoint = -40.0000 mrad, 
msg =  143, nerr =    4p/   6r, time steps =    5, qsz =    2, switch = off, t =     1432 ms, ax =  0.0779, ay = -6.3928, az =  7.6671, gx = -0.0013 rad/s, gy =  0.0054 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.4726 A, I_w_roll = -195.0655 A, theta_pitch = -14.58034mrad, theta_roll_comp = -526.5388 mrad, theta_setpoint = -40.0000 mrad, 
msg =  144, nerr =    4p/   6r, time steps =    5, qsz =    2, switch = off, t =     1442 ms, ax =  0.0791, ay = -6.3964, az =  7.6647, gx = -0.0016 rad/s, gy =  0.0060 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.4309 A, I_w_roll = -195.8369 A, theta_pitch = -14.48016mrad, theta_roll_comp = -528.2340 mrad, theta_setpoint = -40.0000 mrad, 
msg =  145, nerr =    4p/   6r, time steps =    5, qsz =    2, switch = off, t =     1452 ms, ax =  0.0755, ay = -6.3904, az =  7.6659, gx = -0.0017 rad/s, gy =  0.0067 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.3882 A, I_w_roll = -196.5556 A, theta_pitch = -14.37261mrad, theta_roll_comp = -529.9143 mrad, theta_setpoint = -40.0000 mrad, 
msg =  146, nerr =    4p/   7r, time steps =    5, qsz =    2, switch = off, t =     1462 ms, ax =  0.0719, ay = -6.3964, az =  7.6587, gx = -0.0016 rad/s, gy =  0.0070 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.3602 A, I_w_roll = -197.1749 A, theta_pitch = -14.25702mrad, theta_roll_comp = -531.5792 mrad, theta_setpoint = -40.0000 mrad, 
msg =  147, nerr =    4p/   7r, time steps =    5, qsz =    2, switch = off, t =     1472 ms, ax =  0.0791, ay = -6.3928, az =  7.6515, gx = -0.0020 rad/s, gy =  0.0075 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.3215 A, I_w_roll = -197.9770 A, theta_pitch = -14.14137mrad, theta_roll_comp = -533.2347 mrad, theta_setpoint = -40.0000 mrad, 
msg =  148, nerr =    4p/   7r, time steps =    5, qsz =    2, switch = off, t =     1482 ms, ax =  0.0791, ay = -6.4012, az =  7.6539, gx = -0.0016 rad/s, gy =  0.0076 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.2992 A, I_w_roll = -198.4940 A, theta_pitch = -14.02809mrad, theta_roll_comp = -534.8770 mrad, theta_setpoint = -40.0000 mrad, 
msg =  149, nerr =    4p/   7r, time steps =    5, qsz =    2, switch = off, t =     1492 ms, ax =  0.0767, ay = -6.4120, az =  7.6479, gx = -0.0016 rad/s, gy =  0.0079 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.2712 A, I_w_roll = -199.1472 A, theta_pitch = -13.91226mrad, theta_roll_comp = -536.5098 mrad, theta_setpoint = -40.0000 mrad, 
msg =  150, nerr =    4p/   7r, time steps =    5, qsz =    2, switch = off, t =     1502 ms, ax =  0.0731, ay = -6.4108, az =  7.6491, gx = -0.0017 rad/s, gy =  0.0082 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.2423 A, I_w_roll = -199.8425 A, theta_pitch = -13.79099mrad, theta_roll_comp = -538.1315 mrad, theta_setpoint = -40.0000 mrad, 
msg =  151, nerr =    4p/   7r, time steps =    5, qsz =    2, switch = off, t =     1512 ms, ax =  0.0755, ay = -6.4120, az =  7.6467, gx = -0.0014 rad/s, gy =  0.0084 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.2132 A, I_w_roll = -200.3917 A, theta_pitch = -13.66774mrad, theta_roll_comp = -539.7376 mrad, theta_setpoint = -40.0000 mrad, 
msg =  152, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1522 ms, ax =  0.0719, ay = -6.4120, az =  7.6443, gx = -0.0013 rad/s, gy =  0.0084 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.1946 A, I_w_roll = -200.9807 A, theta_pitch = -13.54356mrad, theta_roll_comp = -541.3266 mrad, theta_setpoint = -40.0000 mrad, 
msg =  153, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1532 ms, ax =  0.0647, ay = -6.4060, az =  7.6455, gx = -0.0010 rad/s, gy =  0.0087 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.1642 A, I_w_roll = -201.5154 A, theta_pitch = -13.41194mrad, theta_roll_comp = -542.8963 mrad, theta_setpoint = -40.0000 mrad, 
msg =  154, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1542 ms, ax =  0.0635, ay = -6.4048, az =  7.6443, gx = -0.0008 rad/s, gy =  0.0090 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.1328 A, I_w_roll = -202.0414 A, theta_pitch = -13.27384mrad, theta_roll_comp = -544.4443 mrad, theta_setpoint = -40.0000 mrad, 
msg =  155, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1552 ms, ax =  0.0575, ay = -6.4072, az =  7.6491, gx = -0.0004 rad/s, gy =  0.0090 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.1114 A, I_w_roll = -202.5133 A, theta_pitch = -13.13090mrad, theta_roll_comp = -545.9736 mrad, theta_setpoint = -40.0000 mrad, 
msg =  156, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1562 ms, ax =  0.0587, ay = -6.4048, az =  7.6479, gx = -0.0008 rad/s, gy =  0.0094 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.0734 A, I_w_roll = -203.2582 A, theta_pitch = -12.98447mrad, theta_roll_comp = -547.4864 mrad, theta_setpoint = -40.0000 mrad, 
msg =  157, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1572 ms, ax =  0.0599, ay = -6.4000, az =  7.6431, gx = -0.0008 rad/s, gy =  0.0098 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.0353 A, I_w_roll = -203.8578 A, theta_pitch = -12.83708mrad, theta_roll_comp = -548.9854 mrad, theta_setpoint = -40.0000 mrad, 
msg =  158, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1582 ms, ax =  0.0587, ay = -6.3964, az =  7.6395, gx = -0.0012 rad/s, gy =  0.0103 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.0086 A, I_w_roll = -204.5918 A, theta_pitch = -12.68640mrad, theta_roll_comp = -550.4709 mrad, theta_setpoint = -40.0000 mrad, 
msg =  159, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1592 ms, ax =  0.0599, ay = -6.3988, az =  7.6467, gx = -0.0010 rad/s, gy =  0.0100 rad/s, gz = -0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.0204 A, I_w_roll = -205.1333 A, theta_pitch = -12.53628mrad, theta_roll_comp = -551.9411 mrad, theta_setpoint = -40.0000 mrad, 
msg =  160, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1602 ms, ax =  0.0539, ay = -6.4012, az =  7.6455, gx = -0.0012 rad/s, gy =  0.0106 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.0648 A, I_w_roll = -205.7622 A, theta_pitch = -12.38256mrad, theta_roll_comp = -553.3969 mrad, theta_setpoint = -40.0000 mrad, 
msg =  161, nerr =    4p/   8r, time steps =    5, qsz =    3, switch = off, t =     1612 ms, ax =  0.0491, ay = -6.4000, az =  7.6503, gx = -0.0014 rad/s, gy =  0.0110 rad/s, gz = -0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.1054 A, I_w_roll = -206.4326 A, theta_pitch = -12.21878mrad, theta_roll_comp = -554.8398 mrad, theta_setpoint = -40.0000 mrad, 
msg =  162, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1622 ms, ax =  0.0587, ay = -6.3964, az =  7.6419, gx = -0.0014 rad/s, gy =  0.0110 rad/s, gz = -0.0084 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.1294 A, I_w_roll = -207.0040 A, theta_pitch = -12.05864mrad, theta_roll_comp = -556.2682 mrad, theta_setpoint = -40.0000 mrad, 
msg =  163, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1632 ms, ax =  0.0563, ay = -6.3988, az =  7.6431, gx = -0.0014 rad/s, gy =  0.0112 rad/s, gz = -0.0084 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.1634 A, I_w_roll = -207.5708 A, theta_pitch = -11.90274mrad, theta_roll_comp = -557.6853 mrad, theta_setpoint = -40.0000 mrad, 
msg =  164, nerr =    4p/   9r, time steps =    5, qsz =    2, switch = off, t =     1642 ms, ax =  0.0503, ay = -6.4024, az =  7.6455, gx = -0.0016 rad/s, gy =  0.0116 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.2039 A, I_w_roll = -208.1787 A, theta_pitch = -11.73955mrad, theta_roll_comp = -559.0887 mrad, theta_setpoint = -40.0000 mrad, 
msg =  165, nerr =    4p/   9r, time steps =    5, qsz =    2, switch = off, t =     1652 ms, ax =  0.0551, ay = -6.4024, az =  7.6479, gx = -0.0014 rad/s, gy =  0.0119 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.2393 A, I_w_roll = -208.6880 A, theta_pitch = -11.57429mrad, theta_roll_comp = -560.4784 mrad, theta_setpoint = -40.0000 mrad, 
msg =  166, nerr =    5p/   9r, time steps =    5, qsz =    2, switch = off, t =     1662 ms, ax =  0.0539, ay = -6.4096, az =  7.6539, gx = -0.0013 rad/s, gy =  0.0119 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.2637 A, I_w_roll = -209.1912 A, theta_pitch = -11.41149mrad, theta_roll_comp = -561.8529 mrad, theta_setpoint = -40.0000 mrad, 
msg =  167, nerr =    5p/   9r, time steps =    5, qsz =    2, switch = off, t =     1672 ms, ax =  0.0468, ay = -6.4108, az =  7.6551, gx = -0.0013 rad/s, gy =  0.0118 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.2833 A, I_w_roll = -209.7357 A, theta_pitch = -11.24521mrad, theta_roll_comp = -563.2142 mrad, theta_setpoint = -40.0000 mrad, 
msg =  168, nerr =    5p/   9r, time steps =    5, qsz =    2, switch = off, t =     1682 ms, ax =  0.0432, ay = -6.4084, az =  7.6611, gx = -0.0013 rad/s, gy =  0.0122 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.3253 A, I_w_roll = -210.2736 A, theta_pitch = -11.07217mrad, theta_roll_comp = -564.5588 mrad, theta_setpoint = -40.0000 mrad, 
msg =  169, nerr =    5p/   9r, time steps =    5, qsz =    2, switch = off, t =     1692 ms, ax =  0.0408, ay = -6.4144, az =  7.6647, gx = -0.0010 rad/s, gy =  0.0123 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.3573 A, I_w_roll = -210.7117 A, theta_pitch = -10.89445mrad, theta_roll_comp = -565.8873 mrad, theta_setpoint = -40.0000 mrad, 
msg =  170, nerr =    5p/  10r, time steps =    5, qsz =    2, switch = off, t =     1702 ms, ax =  0.0360, ay = -6.4132, az =  7.6623, gx = -0.0010 rad/s, gy =  0.0126 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.3953 A, I_w_roll = -211.2379 A, theta_pitch = -10.71161mrad, theta_roll_comp = -567.2027 mrad, theta_setpoint = -40.0000 mrad, 
msg =  171, nerr =    5p/  10r, time steps =    5, qsz =    2, switch = off, t =     1712 ms, ax =  0.0360, ay = -6.4132, az =  7.6575, gx = -0.0008 rad/s, gy =  0.0124 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.4177 A, I_w_roll = -211.6658 A, theta_pitch = -10.52729mrad, theta_roll_comp = -568.5054 mrad, theta_setpoint = -40.0000 mrad, 
msg =  172, nerr =    6p/  10r, time steps =    5, qsz =    2, switch = off, t =     1722 ms, ax =  0.0384, ay = -6.4108, az =  7.6467, gx = -0.0008 rad/s, gy =  0.0130 rad/s, gz = -0.0112 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.4664 A, I_w_roll = -212.1829 A, theta_pitch = -10.34425mrad, theta_roll_comp = -569.7982 mrad, theta_setpoint = -40.0000 mrad, 
msg =  173, nerr =    6p/  10r, time steps =    5, qsz =    2, switch = off, t =     1732 ms, ax =  0.0336, ay = -6.4072, az =  7.6467, gx = -0.0009 rad/s, gy =  0.0130 rad/s, gz = -0.0112 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.4943 A, I_w_roll = -212.7420 A, theta_pitch = -10.15875mrad, theta_roll_comp = -571.0795 mrad, theta_setpoint = -40.0000 mrad, 
msg =  174, nerr =    6p/  10r, time steps =    5, qsz =    2, switch = off, t =     1742 ms, ax =  0.0300, ay = -6.4060, az =  7.6515, gx = -0.0009 rad/s, gy =  0.0127 rad/s, gz = -0.0115 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5118 A, I_w_roll = -213.2484 A, theta_pitch = -9.97106mrad, theta_roll_comp = -572.3455 mrad, theta_setpoint = -40.0000 mrad, 
msg =  175, nerr =    6p/  10r, time steps =    5, qsz =    2, switch = off, t =     1752 ms, ax =  0.0264, ay = -6.3964, az =  7.6575, gx = -0.0009 rad/s, gy =  0.0128 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5456 A, I_w_roll = -213.7465 A, theta_pitch = -9.78105mrad, theta_roll_comp = -573.5908 mrad, theta_setpoint = -40.0000 mrad, 
msg =  176, nerr =    6p/  10r, time steps =    5, qsz =    2, switch = off, t =     1762 ms, ax =  0.0216, ay = -6.3940, az =  7.6671, gx = -0.0006 rad/s, gy =  0.0127 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5693 A, I_w_roll = -214.1421 A, theta_pitch = -9.58749mrad, theta_roll_comp = -574.8127 mrad, theta_setpoint = -40.0000 mrad, 
msg =  177, nerr =    6p/  10r, time steps =    5, qsz =    2, switch = off, t =     1772 ms, ax =  0.0228, ay = -6.4000, az =  7.6671, gx = -0.0012 rad/s, gy =  0.0126 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5928 A, I_w_roll = -214.8126 A, theta_pitch = -9.39513mrad, theta_roll_comp = -576.0230 mrad, theta_setpoint = -40.0000 mrad, 
msg =  178, nerr =    6p/  10r, time steps =    5, qsz =    2, switch = off, t =     1782 ms, ax =  0.0204, ay = -6.4024, az =  7.6587, gx = -0.0013 rad/s, gy =  0.0124 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6160 A, I_w_roll = -215.3423 A, theta_pitch = -9.20505mrad, theta_roll_comp = -577.2306 mrad, theta_setpoint = -40.0000 mrad, 
msg =  179, nerr =    6p/  10r, time steps =    5, qsz =    2, switch = off, t =     1792 ms, ax =  0.0192, ay = -6.4012, az =  7.6575, gx = -0.0014 rad/s, gy =  0.0124 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6445 A, I_w_roll = -215.8688 A, theta_pitch = -9.01523mrad, theta_roll_comp = -578.4305 mrad, theta_setpoint = -40.0000 mrad, 
msg =  180, nerr =    6p/  10r, time steps =    5, qsz =    2, switch = off, t =     1802 ms, ax =  0.0204, ay = -6.4036, az =  7.6515, gx = -0.0017 rad/s, gy =  0.0126 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6781 A, I_w_roll = -216.4392 A, theta_pitch = -8.82673mrad, theta_roll_comp = -579.6235 mrad, theta_setpoint = -40.0000 mrad, 
msg =  181, nerr =    6p/  10r, time steps =    5, qsz =    2, switch = off, t =     1812 ms, ax =  0.0144, ay = -6.4000, az =  7.6503, gx = -0.0017 rad/s, gy =  0.0128 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.7175 A, I_w_roll = -216.9130 A, theta_pitch = -8.63460mrad, theta_roll_comp = -580.8079 mrad, theta_setpoint = -40.0000 mrad, 
msg =  182, nerr =    7p/  11r, time steps =    5, qsz =    2, switch = off, t =     1822 ms, ax =  0.0096, ay = -6.4012, az =  7.6491, gx = -0.0017 rad/s, gy =  0.0128 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.7473 A, I_w_roll = -217.3817 A, theta_pitch = -8.43626mrad, theta_roll_comp = -581.9797 mrad, theta_setpoint = -40.0000 mrad, 
msg =  183, nerr =    7p/  11r, time steps =    5, qsz =    2, switch = off, t =     1832 ms, ax =  0.0120, ay = -6.4012, az =  7.6503, gx = -0.0014 rad/s, gy =  0.0131 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.7878 A, I_w_roll = -217.7523 A, theta_pitch = -8.23720mrad, theta_roll_comp = -583.1391 mrad, theta_setpoint = -40.0000 mrad, 
msg =  184, nerr =    7p/  11r, time steps =    5, qsz =    2, switch = off, t =     1842 ms, ax =  0.0156, ay = -6.3988, az =  7.6563, gx = -0.0012 rad/s, gy =  0.0135 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8333 A, I_w_roll = -218.1158 A, theta_pitch = -8.04072mrad, theta_roll_comp = -584.2808 mrad, theta_setpoint = -40.0000 mrad, 
msg =  185, nerr =    7p/  11r, time steps =    5, qsz =    2, switch = off, t =     1852 ms, ax =  0.0108, ay = -6.4036, az =  7.6551, gx = -0.0012 rad/s, gy =  0.0131 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8466 A, I_w_roll = -218.5674 A, theta_pitch = -7.84528mrad, theta_roll_comp = -585.4098 mrad, theta_setpoint = -40.0000 mrad, 
msg =  186, nerr =    7p/  11r, time steps =    5, qsz =    2, switch = off, t =     1862 ms, ax =  0.0096, ay = -6.4012, az =  7.6563, gx = -0.0010 rad/s, gy =  0.0132 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8813 A, I_w_roll = -218.9678 A, theta_pitch = -7.64918mrad, theta_roll_comp = -586.5275 mrad, theta_setpoint = -40.0000 mrad, 
msg =  187, nerr =    7p/  11r, time steps =    5, qsz =    2, switch = off, t =     1872 ms, ax =  0.0084, ay = -6.4036, az =  7.6611, gx = -0.0009 rad/s, gy =  0.0132 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9108 A, I_w_roll = -219.3625 A, theta_pitch = -7.45287mrad, theta_roll_comp = -587.6308 mrad, theta_setpoint = -40.0000 mrad, 
msg =  188, nerr =    8p/  12r, time steps =    5, qsz =    2, switch = off, t =     1882 ms, ax =  0.0024, ay = -6.4036, az =  7.6563, gx = -0.0006 rad/s, gy =  0.0130 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9298 A, I_w_roll = -219.7058 A, theta_pitch = -7.25500mrad, theta_roll_comp = -588.7221 mrad, theta_setpoint = -40.0000 mrad, 
msg =  189, nerr =    8p/  12r, time steps =    5, qsz =    2, switch = off, t =     1892 ms, ax =  0.0036, ay = -6.4084, az =  7.6527, gx = -0.0008 rad/s, gy =  0.0127 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9486 A, I_w_roll = -220.1862 A, theta_pitch = -7.05901mrad, theta_roll_comp = -589.8066 mrad, theta_setpoint = -40.0000 mrad, 
msg =  190, nerr =    8p/  12r, time steps =    5, qsz =    2, switch = off, t =     1902 ms, ax =  0.0048, ay = -6.4048, az =  7.6503, gx = -0.0009 rad/s, gy =  0.0123 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9609 A, I_w_roll = -220.6638 A, theta_pitch = -6.86993mrad, theta_roll_comp = -590.8839 mrad, theta_setpoint = -40.0000 mrad, 
msg =  191, nerr =    8p/  12r, time steps =    5, qsz =    2, switch = off, t =     1912 ms, ax =  0.0024, ay = -6.4000, az =  7.6527, gx = -0.0010 rad/s, gy =  0.0123 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9889 A, I_w_roll = -221.1361 A, theta_pitch = -6.68361mrad, theta_roll_comp = -591.9481 mrad, theta_setpoint = -40.0000 mrad, 
msg =  192, nerr =    8p/  12r, time steps =    5, qsz =    2, switch = off, t =     1922 ms, ax = -0.0048, ay = -6.3916, az =  7.6695, gx = -0.0012 rad/s, gy =  0.0122 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.0121 A, I_w_roll = -221.6001 A, theta_pitch = -6.49333mrad, theta_roll_comp = -592.9917 mrad, theta_setpoint = -40.0000 mrad, 
msg =  193, nerr =    8p/  12r, time steps =    5, qsz =    2, switch = off, t =     1932 ms, ax = -0.0084, ay = -6.3928, az =  7.6671, gx = -0.0013 rad/s, gy =  0.0119 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.0304 A, I_w_roll = -222.0578 A, theta_pitch = -6.30019mrad, theta_roll_comp = -594.0195 mrad, theta_setpoint = -40.0000 mrad, 
msg =  194, nerr =    8p/  12r, time steps =    5, qsz =    2, switch = off, t =     1942 ms, ax = -0.0108, ay = -6.3952, az =  7.6599, gx = -0.0014 rad/s, gy =  0.0115 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.0432 A, I_w_roll = -222.5139 A, theta_pitch = -6.10851mrad, theta_roll_comp = -595.0432 mrad, theta_setpoint = -40.0000 mrad, 
msg =  195, nerr =    8p/  12r, time steps =    5, qsz =    2, switch = off, t =     1952 ms, ax = -0.0084, ay = -6.3904, az =  7.6539, gx = -0.0013 rad/s, gy =  0.0116 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.0768 A, I_w_roll = -222.8738 A, theta_pitch = -5.92009mrad, theta_roll_comp = -596.0594 mrad, theta_setpoint = -40.0000 mrad, 
msg =  196, nerr =    8p/  12r, time steps =    5, qsz =    2, switch = off, t =     1962 ms, ax = -0.0036, ay = -6.3916, az =  7.6563, gx = -0.0013 rad/s, gy =  0.0118 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1096 A, I_w_roll = -223.2759 A, theta_pitch = -5.73705mrad, theta_roll_comp = -597.0646 mrad, theta_setpoint = -40.0000 mrad, 
msg =  197, nerr =    8p/  12r, time steps =    5, qsz =    2, switch = off, t =     1972 ms, ax = -0.0060, ay = -6.4012, az =  7.6515, gx = -0.0016 rad/s, gy =  0.0115 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1258 A, I_w_roll = -223.7700 A, theta_pitch = -5.55774mrad, theta_roll_comp = -598.0670 mrad, theta_setpoint = -40.0000 mrad, 
msg =  198, nerr =    8p/  12r, time steps =    5, qsz =    2, switch = off, t =     1982 ms, ax = -0.0012, ay = -6.4024, az =  7.6467, gx = -0.0017 rad/s, gy =  0.0115 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1520 A, I_w_roll = -224.2169 A, theta_pitch = -5.38349mrad, theta_roll_comp = -599.0676 mrad, theta_setpoint = -40.0000 mrad, 
