picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =   86, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      862 ms, ax =  0.4447, ay =  1.3114, az =  9.7732, gx = -0.0046 rad/s, gy = -0.0030 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.7289 A, I_w_roll = 44.1117 A, theta_pitch = -27.38550mrad, theta_roll_comp = 74.3172 mrad, theta_setpoint = -40.0000 mrad, 
msg =  144, nerr =    2p/   6r, time steps =    5, qsz =    2, switch = off, t =     1442 ms, ax =  0.4519, ay =  1.3162, az =  9.7697, gx = -0.0037 rad/s, gy = -0.0034 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.1347 A, I_w_roll = 54.3182 A, theta_pitch = -36.65126mrad, theta_roll_comp = 99.0177 mrad, theta_setpoint = -40.0000 mrad, 
msg =  145, nerr =    2p/   6r, time steps =    5, qsz =    2, switch = off, t =     1452 ms, ax =  0.4483, ay =  1.3150, az =  9.7601, gx = -0.0034 rad/s, gy = -0.0033 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.1485 A, I_w_roll = 54.5365 A, theta_pitch = -36.77846mrad, theta_roll_comp = 99.3305 mrad, theta_setpoint = -40.0000 mrad, 
msg =  146, nerr =    3p/   7r, time steps =    5, qsz =    2, switch = off, t =     1462 ms, ax =  0.4471, ay =  1.3138, az =  9.7577, gx = -0.0035 rad/s, gy = -0.0032 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.1615 A, I_w_roll = 54.6136 A, theta_pitch = -36.90083mrad, theta_roll_comp = 99.6398 mrad, theta_setpoint = -40.0000 mrad, 
msg =  147, nerr =    3p/   7r, time steps =    5, qsz =    2, switch = off, t =     1472 ms, ax =  0.4495, ay =  1.3186, az =  9.7565, gx = -0.0035 rad/s, gy = -0.0032 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.1797 A, I_w_roll = 54.7369 A, theta_pitch = -37.02227mrad, theta_roll_comp = 99.9480 mrad, theta_setpoint = -40.0000 mrad, 
msg =  148, nerr =    3p/   7r, time steps =    5, qsz =    2, switch = off, t =     1482 ms, ax =  0.4459, ay =  1.3174, az =  9.7637, gx = -0.0038 rad/s, gy = -0.0032 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.1976 A, I_w_roll = 54.7656 A, theta_pitch = -37.14150mrad, theta_roll_comp = 100.2527 mrad, theta_setpoint = -40.0000 mrad, 
msg =  149, nerr =    3p/   7r, time steps =    5, qsz =    2, switch = off, t =     1492 ms, ax =  0.4411, ay =  1.3198, az =  9.7589, gx = -0.0039 rad/s, gy = -0.0029 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.2038 A, I_w_roll = 54.8391 A, theta_pitch = -37.25373mrad, theta_roll_comp = 100.5531 mrad, theta_setpoint = -40.0000 mrad, 
msg =  150, nerr =    3p/   7r, time steps =    5, qsz =    2, switch = off, t =     1502 ms, ax =  0.4327, ay =  1.3210, az =  9.7529, gx = -0.0038 rad/s, gy = -0.0029 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.2193 A, I_w_roll = 55.0057 A, theta_pitch = -37.35700mrad, theta_roll_comp = 100.8531 mrad, theta_setpoint = -40.0000 mrad, 
msg =  151, nerr =    3p/   7r, time steps =    5, qsz =    2, switch = off, t =     1512 ms, ax =  0.4327, ay =  1.3138, az =  9.7637, gx = -0.0038 rad/s, gy = -0.0029 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.2340 A, I_w_roll = 55.1233 A, theta_pitch = -37.45519mrad, theta_roll_comp = 101.1470 mrad, theta_setpoint = -40.0000 mrad, 
msg =  152, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1522 ms, ax =  0.4291, ay =  1.3174, az =  9.7577, gx = -0.0038 rad/s, gy = -0.0030 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.2537 A, I_w_roll = 55.2390 A, theta_pitch = -37.55104mrad, theta_roll_comp = 101.4363 mrad, theta_setpoint = -40.0000 mrad, 
msg =  153, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1532 ms, ax =  0.4255, ay =  1.3282, az =  9.7649, gx = -0.0038 rad/s, gy = -0.0030 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.2675 A, I_w_roll = 55.3565 A, theta_pitch = -37.64287mrad, theta_roll_comp = 101.7301 mrad, theta_setpoint = -40.0000 mrad, 
msg =  154, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1542 ms, ax =  0.4244, ay =  1.3210, az =  9.7613, gx = -0.0041 rad/s, gy = -0.0032 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.2862 A, I_w_roll = 55.3794 A, theta_pitch = -37.73206mrad, theta_roll_comp = 102.0204 mrad, theta_setpoint = -40.0000 mrad, 
msg =  155, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1552 ms, ax =  0.4267, ay =  1.3246, az =  9.7553, gx = -0.0038 rad/s, gy = -0.0034 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.3106 A, I_w_roll = 55.5874 A, theta_pitch = -37.82339mrad, theta_roll_comp = 102.3074 mrad, theta_setpoint = -40.0000 mrad, 
msg =  156, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1562 ms, ax =  0.4327, ay =  1.3234, az =  9.7553, gx = -0.0041 rad/s, gy = -0.0032 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.3141 A, I_w_roll = 55.6083 A, theta_pitch = -37.91816mrad, theta_roll_comp = 102.5926 mrad, theta_setpoint = -40.0000 mrad, 
msg =  157, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1572 ms, ax =  0.4291, ay =  1.3258, az =  9.7541, gx = -0.0041 rad/s, gy = -0.0032 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.3281 A, I_w_roll = 55.7211 A, theta_pitch = -38.01161mrad, theta_roll_comp = 102.8746 mrad, theta_setpoint = -40.0000 mrad, 
msg =  158, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1582 ms, ax =  0.4291, ay =  1.3294, az =  9.7577, gx = -0.0041 rad/s, gy = -0.0034 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.3526 A, I_w_roll = 55.8340 A, theta_pitch = -38.10382mrad, theta_roll_comp = 103.1568 mrad, theta_setpoint = -40.0000 mrad, 
msg =  159, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1592 ms, ax =  0.4339, ay =  1.3294, az =  9.7625, gx = -0.0041 rad/s, gy = -0.0038 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.3832 A, I_w_roll = 55.9461 A, theta_pitch = -38.20092mrad, theta_roll_comp = 103.4372 mrad, theta_setpoint = -40.0000 mrad, 
msg =  160, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1602 ms, ax =  0.4375, ay =  1.3222, az =  9.7541, gx = -0.0043 rad/s, gy = -0.0042 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.4148 A, I_w_roll = 55.9619 A, theta_pitch = -38.30537mrad, theta_roll_comp = 103.7097 mrad, theta_setpoint = -40.0000 mrad, 
msg =  161, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1612 ms, ax =  0.4387, ay =  1.3198, az =  9.7577, gx = -0.0045 rad/s, gy = -0.0040 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.4201 A, I_w_roll = 56.0208 A, theta_pitch = -38.41165mrad, theta_roll_comp = 103.9734 mrad, theta_setpoint = -40.0000 mrad, 
msg =  162, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1622 ms, ax =  0.4423, ay =  1.3234, az =  9.7589, gx = -0.0047 rad/s, gy = -0.0041 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.4415 A, I_w_roll = 56.0313 A, theta_pitch = -38.51870mrad, theta_roll_comp = 104.2327 mrad, theta_setpoint = -40.0000 mrad, 
msg =  163, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1632 ms, ax =  0.4459, ay =  1.3210, az =  9.7577, gx = -0.0045 rad/s, gy = -0.0041 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.4580 A, I_w_roll = 56.2275 A, theta_pitch = -38.62902mrad, theta_roll_comp = 104.4902 mrad, theta_setpoint = -40.0000 mrad, 
msg =  164, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1642 ms, ax =  0.4507, ay =  1.3174, az =  9.7601, gx = -0.0045 rad/s, gy = -0.0037 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.4588 A, I_w_roll = 56.3287 A, theta_pitch = -38.74036mrad, theta_roll_comp = 104.7431 mrad, theta_setpoint = -40.0000 mrad, 
msg =  165, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1652 ms, ax =  0.4507, ay =  1.3234, az =  9.7553, gx = -0.0043 rad/s, gy = -0.0034 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.4645 A, I_w_roll = 56.4764 A, theta_pitch = -38.84969mrad, theta_roll_comp = 104.9959 mrad, theta_setpoint = -40.0000 mrad, 
msg =  166, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1662 ms, ax =  0.4507, ay =  1.3234, az =  9.7577, gx = -0.0043 rad/s, gy = -0.0033 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.4751 A, I_w_roll = 56.5780 A, theta_pitch = -38.95601mrad, theta_roll_comp = 105.2498 mrad, theta_setpoint = -40.0000 mrad, 
msg =  167, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1672 ms, ax =  0.4459, ay =  1.3246, az =  9.7637, gx = -0.0043 rad/s, gy = -0.0033 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.4904 A, I_w_roll = 56.6785 A, theta_pitch = -39.05787mrad, theta_roll_comp = 105.5012 mrad, theta_setpoint = -40.0000 mrad, 
msg =  168, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1682 ms, ax =  0.4447, ay =  1.3246, az =  9.7709, gx = -0.0043 rad/s, gy = -0.0032 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.4996 A, I_w_roll = 56.7780 A, theta_pitch = -39.15478mrad, theta_roll_comp = 105.7497 mrad, theta_setpoint = -40.0000 mrad, 
msg =  169, nerr =    4p/   8r, time steps =    5, qsz =    2, switch = off, t =     1692 ms, ax =  0.4459, ay =  1.3210, az =  9.7649, gx = -0.0043 rad/s, gy = -0.0033 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.5194 A, I_w_roll = 56.8757 A, theta_pitch = -39.25090mrad, theta_roll_comp = 105.9940 mrad, theta_setpoint = -40.0000 mrad, 
msg =  170, nerr =    4p/   9r, time steps =    5, qsz =    2, switch = off, t =     1702 ms, ax =  0.4471, ay =  1.3186, az =  9.7709, gx = -0.0041 rad/s, gy = -0.0036 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.5448 A, I_w_roll = 57.0649 A, theta_pitch = -39.34921mrad, theta_roll_comp = 106.2340 mrad, theta_setpoint = -40.0000 mrad, 
msg =  171, nerr =    4p/   9r, time steps =    5, qsz =    2, switch = off, t =     1712 ms, ax =  0.4483, ay =  1.3174, az =  9.7721, gx = -0.0042 rad/s, gy = -0.0034 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.5543 A, I_w_roll = 57.1127 A, theta_pitch = -39.44822mrad, theta_roll_comp = 106.4701 mrad, theta_setpoint = -40.0000 mrad, 
msg =  172, nerr =    4p/   9r, time steps =    5, qsz =    2, switch = off, t =     1722 ms, ax =  0.4435, ay =  1.3258, az =  9.7744, gx = -0.0041 rad/s, gy = -0.0033 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.5631 A, I_w_roll = 57.2542 A, theta_pitch = -39.54268mrad, theta_roll_comp = 106.7074 mrad, theta_setpoint = -40.0000 mrad, 
msg =  173, nerr =    4p/   9r, time steps =    5, qsz =    2, switch = off, t =     1732 ms, ax =  0.4423, ay =  1.3174, az =  9.7721, gx = -0.0041 rad/s, gy = -0.0037 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.5929 A, I_w_roll = 57.3483 A, theta_pitch = -39.63487mrad, theta_roll_comp = 106.9426 mrad, theta_setpoint = -40.0000 mrad, 
msg =  174, nerr =    4p/   9r, time steps =    5, qsz =    2, switch = off, t =     1742 ms, ax =  0.4399, ay =  1.3162, az =  9.7721, gx = -0.0042 rad/s, gy = -0.0033 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.5903 A, I_w_roll = 57.3927 A, theta_pitch = -39.72400mrad, theta_roll_comp = 107.1702 mrad, theta_setpoint = -40.0000 mrad, 
msg =  175, nerr =    4p/   9r, time steps =    5, qsz =    2, switch = off, t =     1752 ms, ax =  0.4399, ay =  1.3066, az =  9.7756, gx = -0.0039 rad/s, gy = -0.0033 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.6031 A, I_w_roll = 57.5741 A, theta_pitch = -39.80922mrad, theta_roll_comp = 107.3905 mrad, theta_setpoint = -40.0000 mrad, 
msg =  176, nerr =    4p/  10r, time steps =    5, qsz =    2, switch = off, t =     1762 ms, ax =  0.4327, ay =  1.3126, az =  9.7697, gx = -0.0039 rad/s, gy = -0.0034 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.6206 A, I_w_roll = 57.6614 A, theta_pitch = -39.89041mrad, theta_roll_comp = 107.6088 mrad, theta_setpoint = -40.0000 mrad, 
msg =  177, nerr =    4p/  10r, time steps =    5, qsz =    3, switch = off, t =     1772 ms, ax =  0.4315, ay =  1.3162, az =  9.7721, gx = -0.0039 rad/s, gy = -0.0036 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.6376 A, I_w_roll = 57.7498 A, theta_pitch = -39.96817mrad, theta_roll_comp = 107.8298 mrad, theta_setpoint = -40.0000 mrad, 
msg =  178, nerr =    4p/  10r, time steps =    5, qsz =    2, switch = off, t =     1782 ms, ax =  0.4267, ay =  1.3270, az =  9.7565, gx = -0.0041 rad/s, gy = -0.0034 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.6434 A, I_w_roll = 57.7938 A, theta_pitch = -40.04216mrad, theta_roll_comp = 108.0563 mrad, theta_setpoint = -40.0000 mrad, 
msg =  179, nerr =    4p/  10r, time steps =    5, qsz =    2, switch = off, t =     1792 ms, ax =  0.4315, ay =  1.3342, az =  9.7553, gx = -0.0041 rad/s, gy = -0.0038 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.6707 A, I_w_roll = 57.8873 A, theta_pitch = -40.11769mrad, theta_roll_comp = 108.2900 mrad, theta_setpoint = -40.0000 mrad, 
msg =  180, nerr =    4p/  10r, time steps =    5, qsz =    2, switch = off, t =     1802 ms, ax =  0.4351, ay =  1.3330, az =  9.7625, gx = -0.0042 rad/s, gy = -0.0034 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.6665 A, I_w_roll = 57.9337 A, theta_pitch = -40.19621mrad, theta_roll_comp = 108.5227 mrad, theta_setpoint = -40.0000 mrad, 
msg =  181, nerr =    4p/  10r, time steps =    5, qsz =    2, switch = off, t =     1812 ms, ax =  0.4351, ay =  1.3354, az =  9.7649, gx = -0.0043 rad/s, gy = -0.0034 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.6781 A, I_w_roll = 57.9789 A, theta_pitch = -40.27363mrad, theta_roll_comp = 108.7520 mrad, theta_setpoint = -40.0000 mrad, 
msg =  182, nerr =    4p/  10r, time steps =    5, qsz =    2, switch = off, t =     1822 ms, ax =  0.4339, ay =  1.3318, az =  9.7613, gx = -0.0045 rad/s, gy = -0.0033 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.6841 A, I_w_roll = 58.0222 A, theta_pitch = -40.34892mrad, theta_roll_comp = 108.9769 mrad, theta_setpoint = -40.0000 mrad, 
msg =  183, nerr =    4p/  10r, time steps =    5, qsz =    2, switch = off, t =     1832 ms, ax =  0.4303, ay =  1.3258, az =  9.7553, gx = -0.0043 rad/s, gy = -0.0036 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.7057 A, I_w_roll = 58.1563 A, theta_pitch = -40.42199mrad, theta_roll_comp = 109.1955 mrad, theta_setpoint = -40.0000 mrad, 
msg =  184, nerr =    4p/  10r, time steps =    5, qsz =    2, switch = off, t =     1842 ms, ax =  0.4315, ay =  1.3318, az =  9.7541, gx = -0.0043 rad/s, gy = -0.0033 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.7057 A, I_w_roll = 58.2434 A, theta_pitch = -40.49322mrad, theta_roll_comp = 109.4134 mrad, theta_setpoint = -40.0000 mrad, 
msg =  185, nerr =    4p/  10r, time steps =    5, qsz =    2, switch = off, t =     1852 ms, ax =  0.4339, ay =  1.3306, az =  9.7637, gx = -0.0043 rad/s, gy = -0.0032 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.7109 A, I_w_roll = 58.3304 A, theta_pitch = -40.56350mrad, theta_roll_comp = 109.6307 mrad, theta_setpoint = -40.0000 mrad, 
msg =  186, nerr =    4p/  11r, time steps =    5, qsz =    2, switch = off, t =     1862 ms, ax =  0.4363, ay =  1.3294, az =  9.7709, gx = -0.0043 rad/s, gy = -0.0033 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.7270 A, I_w_roll = 58.4154 A, theta_pitch = -40.63519mrad, theta_roll_comp = 109.8434 mrad, theta_setpoint = -40.0000 mrad, 
msg =  187, nerr =    4p/  11r, time steps =    5, qsz =    2, switch = off, t =     1872 ms, ax =  0.4351, ay =  1.3282, az =  9.7697, gx = -0.0042 rad/s, gy = -0.0032 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.7324 A, I_w_roll = 58.5460 A, theta_pitch = -40.70648mrad, theta_roll_comp = 110.0533 mrad, theta_setpoint = -40.0000 mrad, 
msg =  188, nerr =    4p/  11r, time steps =    5, qsz =    2, switch = off, t =     1882 ms, ax =  0.4351, ay =  1.3222, az =  9.7697, gx = -0.0046 rad/s, gy = -0.0034 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.7536 A, I_w_roll = 58.4871 A, theta_pitch = -40.77728mrad, theta_roll_comp = 110.2556 mrad, theta_setpoint = -40.0000 mrad, 
msg =  189, nerr =    4p/  11r, time steps =    5, qsz =    2, switch = off, t =     1892 ms, ax =  0.4387, ay =  1.3138, az =  9.7697, gx = -0.0046 rad/s, gy = -0.0037 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.7755 A, I_w_roll = 58.5637 A, theta_pitch = -40.85204mrad, theta_roll_comp = 110.4470 mrad, theta_setpoint = -40.0000 mrad, 
msg =  190, nerr =    4p/  11r, time steps =    5, qsz =    2, switch = off, t =     1902 ms, ax =  0.4411, ay =  1.3150, az =  9.7697, gx = -0.0047 rad/s, gy = -0.0036 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.7818 A, I_w_roll = 58.5912 A, theta_pitch = -40.92953mrad, theta_roll_comp = 110.6324 mrad, theta_setpoint = -40.0000 mrad, 
msg =  191, nerr =    4p/  11r, time steps =    5, qsz =    2, switch = off, t =     1912 ms, ax =  0.4375, ay =  1.3150, az =  9.7721, gx = -0.0047 rad/s, gy = -0.0041 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.8148 A, I_w_roll = 58.6646 A, theta_pitch = -41.00762mrad, theta_roll_comp = 110.8158 mrad, theta_setpoint = -40.0000 mrad, 
msg =  192, nerr =    4p/  12r, time steps =    5, qsz =    2, switch = off, t =     1922 ms, ax =  0.4387, ay =  1.3186, az =  9.7732, gx = -0.0045 rad/s, gy = -0.0041 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.8266 A, I_w_roll = 58.8316 A, theta_pitch = -41.08627mrad, theta_roll_comp = 111.0005 mrad, theta_setpoint = -40.0000 mrad, 
msg =  193, nerr =    4p/  12r, time steps =    5, qsz =    2, switch = off, t =     1932 ms, ax =  0.4279, ay =  1.3114, az =  9.7732, gx = -0.0046 rad/s, gy = -0.0040 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.8321 A, I_w_roll = 58.8575 A, theta_pitch = -41.15810mrad, theta_roll_comp = 111.1816 mrad, theta_setpoint = -40.0000 mrad, 
msg =  194, nerr =    4p/  12r, time steps =    5, qsz =    2, switch = off, t =     1942 ms, ax =  0.4327, ay =  1.3138, az =  9.7685, gx = -0.0046 rad/s, gy = -0.0040 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.8423 A, I_w_roll = 58.9283 A, theta_pitch = -41.22619mrad, theta_roll_comp = 111.3585 mrad, theta_setpoint = -40.0000 mrad, 
msg =  195, nerr =    4p/  12r, time steps =    5, qsz =    2, switch = off, t =     1952 ms, ax =  0.4399, ay =  1.3138, az =  9.7613, gx = -0.0046 rad/s, gy = -0.0038 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.8479 A, I_w_roll = 58.9991 A, theta_pitch = -41.29939mrad, theta_roll_comp = 111.5357 mrad, theta_setpoint = -40.0000 mrad, 
msg =  196, nerr =    4p/  12r, time steps =    5, qsz =    2, switch = off, t =     1962 ms, ax =  0.4399, ay =  1.3078, az =  9.7565, gx = -0.0046 rad/s, gy = -0.0034 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.8430 A, I_w_roll = 59.0682 A, theta_pitch = -41.37273mrad, theta_roll_comp = 111.7085 mrad, theta_setpoint = -40.0000 mrad, 
msg =  197, nerr =    4p/  12r, time steps =    5, qsz =    2, switch = off, t =     1972 ms, ax =  0.4339, ay =  1.3114, az =  9.7613, gx = -0.0045 rad/s, gy = -0.0036 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.8585 A, I_w_roll = 59.1833 A, theta_pitch = -41.44098mrad, theta_roll_comp = 111.8795 mrad, theta_setpoint = -40.0000 mrad, 
msg =  198, nerr =    4p/  12r, time steps =    5, qsz =    2, switch = off, t =     1982 ms, ax =  0.4339, ay =  1.3126, az =  9.7625, gx = -0.0043 rad/s, gy = -0.0037 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.8737 A, I_w_roll = 59.2989 A, theta_pitch = -41.50686mrad, theta_roll_comp = 112.0520 mrad, theta_setpoint = -40.0000 mrad, 
msg =  199, nerr =    4p/  12r, time steps =    5, qsz =    2, switch = off, t =     1992 ms, ax =  0.4327, ay =  1.3198, az =  9.7661, gx = -0.0041 rad/s, gy = -0.0037 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.8835 A, I_w_roll = 59.4629 A, theta_pitch = -41.57196mrad, theta_roll_comp = 112.2290 mrad, theta_setpoint = -40.0000 mrad, 
msg =  200, nerr =    4p/  12r, time steps =    5, qsz =    2, switch = off, t =     2002 ms, ax =  0.4387, ay =  1.3234, az =  9.7613, gx = -0.0041 rad/s, gy = -0.0033 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.8773 A, I_w_roll = 59.5356 A, theta_pitch = -41.63701mrad, theta_roll_comp = 112.4108 mrad, theta_setpoint = -40.0000 mrad, 
msg =  201, nerr =    4p/  12r, time steps =    5, qsz =    2, switch = off, t =     2012 ms, ax =  0.4399, ay =  1.3246, az =  9.7685, gx = -0.0037 rad/s, gy = -0.0033 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.8872 A, I_w_roll = 59.7491 A, theta_pitch = -41.70299mrad, theta_roll_comp = 112.5951 mrad, theta_setpoint = -40.0000 mrad, 
msg =  202, nerr =    5p/  13r, time steps =    5, qsz =    2, switch = off, t =     2022 ms, ax =  0.4339, ay =  1.3294, az =  9.7625, gx = -0.0035 rad/s, gy = -0.0036 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.9074 A, I_w_roll = 59.8709 A, theta_pitch = -41.76702mrad, theta_roll_comp = 112.7831 mrad, theta_setpoint = -40.0000 mrad, 
