picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 8997, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   179942 ms, ax =  0.0420, ay = -0.5191, az =  9.9746, gx = -0.0042 rad/s, gy =  0.0181 rad/s, gz = -0.0065 rad/s, rpm_pitch =  0.0000, rpm_roll = 49.6658, I_w_pitch = -1.6859 A, I_w_roll = -3.5050 A, theta_pitch = -3.59937mrad, theta_roll_comp = -48.1931 mrad, theta_setpoint = -43.1190 mrad, 
msg = 9055, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181102 ms, ax = -0.0839, ay = -0.4519, az =  9.9890, gx =  0.0078 rad/s, gy =  0.0315 rad/s, gz = -0.0072 rad/s, rpm_pitch = -3.8865, rpm_roll = -114.7059, I_w_pitch = -7.7370 A, I_w_roll = -2.6169 A, theta_pitch = -0.97923mrad, theta_roll_comp = -46.1362 mrad, theta_setpoint = -32.7965 mrad, 
msg = 9056, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181122 ms, ax = -0.0959, ay = -0.5634, az =  9.9698, gx =  0.0084 rad/s, gy =  0.0501 rad/s, gz = -0.0148 rad/s, rpm_pitch = -3.8865, rpm_roll = -117.4465, I_w_pitch = -8.6344 A, I_w_roll = -2.4003 A, theta_pitch = 0.03264mrad, theta_roll_comp = -46.0051 mrad, theta_setpoint = -32.6244 mrad, 
msg = 9057, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181142 ms, ax =  0.1271, ay = -0.4531, az =  9.9483, gx =  0.0080 rad/s, gy =  0.0508 rad/s, gz = -0.0230 rad/s, rpm_pitch =  0.0000, rpm_roll = -117.4465, I_w_pitch = -3.6660 A, I_w_roll = -2.4748 A, theta_pitch = 0.90184mrad, theta_roll_comp = -45.8419 mrad, theta_setpoint = -32.6244 mrad, 
msg = 9058, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181162 ms, ax =  0.2086, ay = -0.4651, az =  9.9027, gx =  0.0102 rad/s, gy =  0.0204 rad/s, gz = -0.0212 rad/s, rpm_pitch =  0.0000, rpm_roll = -123.3957, I_w_pitch = -2.5055 A, I_w_roll = -1.8197 A, theta_pitch = 1.26122mrad, theta_roll_comp = -45.6948 mrad, theta_setpoint = -32.2507 mrad, 
msg = 9059, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181182 ms, ax =  0.1582, ay = -0.4867, az =  9.9171, gx =  0.0086 rad/s, gy = -0.0167 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -123.3957, I_w_pitch = -0.9625 A, I_w_roll = -2.2979 A, theta_pitch = 0.88132mrad, theta_roll_comp = -45.4921 mrad, theta_setpoint = -32.2507 mrad, 
msg = 9060, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181202 ms, ax =  0.0659, ay = -0.3716, az =  9.9591, gx =  0.0072 rad/s, gy = -0.0382 rad/s, gz =  0.0028 rad/s, rpm_pitch =  0.0000, rpm_roll = -128.3757, I_w_pitch =  0.0166 A, I_w_roll = -2.7961 A, theta_pitch = 0.07087mrad, theta_roll_comp = -45.2598 mrad, theta_setpoint = -31.9380 mrad, 
msg = 9061, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181222 ms, ax =  0.0120, ay = -0.4459, az =  9.9135, gx =  0.0087 rad/s, gy = -0.0494 rad/s, gz =  0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -130.6150, I_w_pitch =  0.6059 A, I_w_roll = -2.2580 A, theta_pitch = -0.87545mrad, theta_roll_comp = -45.0555 mrad, theta_setpoint = -31.7974 mrad, 
msg = 9062, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181242 ms, ax = -0.0024, ay = -0.3872, az =  9.9471, gx =  0.0068 rad/s, gy = -0.0480 rad/s, gz =  0.0213 rad/s, rpm_pitch =  0.0000, rpm_roll = -130.6150, I_w_pitch =  0.7014 A, I_w_roll = -2.8037 A, theta_pitch = -1.86698mrad, theta_roll_comp = -44.7887 mrad, theta_setpoint = -31.7974 mrad, 
msg = 9063, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181262 ms, ax = -0.0432, ay = -0.4196, az = 10.0178, gx =  0.0070 rad/s, gy = -0.0399 rad/s, gz =  0.0204 rad/s, rpm_pitch = -1.9651, rpm_roll = -134.8931, I_w_pitch = -2.0982 A, I_w_roll = -2.7885 A, theta_pitch = -2.64608mrad, theta_roll_comp = -44.5985 mrad, theta_setpoint = -31.5287 mrad, 
msg = 9064, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181282 ms, ax = -0.1031, ay = -0.4363, az =  9.9938, gx =  0.0071 rad/s, gy = -0.0274 rad/s, gz =  0.0162 rad/s, rpm_pitch = -1.9651, rpm_roll = -139.1711, I_w_pitch = -2.5263 A, I_w_roll = -2.7473 A, theta_pitch = -3.12973mrad, theta_roll_comp = -44.3432 mrad, theta_setpoint = -31.2601 mrad, 
msg = 9065, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181302 ms, ax = -0.0671, ay = -0.4351, az =  9.9842, gx =  0.0083 rad/s, gy = -0.0129 rad/s, gz =  0.0095 rad/s, rpm_pitch = -0.4803, rpm_roll = -139.1711, I_w_pitch = -1.1146 A, I_w_roll = -2.2755 A, theta_pitch = -3.35805mrad, theta_roll_comp = -44.2124 mrad, theta_setpoint = -31.2601 mrad, 
msg = 9066, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181322 ms, ax = -0.0288, ay = -0.4543, az =  9.9662, gx =  0.0086 rad/s, gy = -0.0048 rad/s, gz =  0.0005 rad/s, rpm_pitch =  0.0000, rpm_roll = -141.1096, I_w_pitch = -0.8004 A, I_w_roll = -2.1542 A, theta_pitch = -3.39535mrad, theta_roll_comp = -44.0205 mrad, theta_setpoint = -31.1383 mrad, 
msg = 9067, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181342 ms, ax = -0.0384, ay = -0.4387, az =  9.9591, gx =  0.0104 rad/s, gy =  0.0012 rad/s, gz = -0.0075 rad/s, rpm_pitch =  0.0000, rpm_roll = -141.1096, I_w_pitch = -1.0502 A, I_w_roll = -1.4287 A, theta_pitch = -3.32773mrad, theta_roll_comp = -43.8379 mrad, theta_setpoint = -31.1383 mrad, 
msg = 9068, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181362 ms, ax = -0.0084, ay = -0.4148, az =  9.9866, gx =  0.0104 rad/s, gy =  0.0099 rad/s, gz = -0.0144 rad/s, rpm_pitch =  0.0000, rpm_roll = -145.3543, I_w_pitch = -1.4324 A, I_w_roll = -1.4349 A, theta_pitch = -3.08785mrad, theta_roll_comp = -43.5867 mrad, theta_setpoint = -30.8717 mrad, 
msg = 9069, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181382 ms, ax =  0.0144, ay = -0.4016, az =  9.9662, gx =  0.0103 rad/s, gy =  0.0181 rad/s, gz = -0.0234 rad/s, rpm_pitch =  0.0000, rpm_roll = -147.5602, I_w_pitch = -1.8210 A, I_w_roll = -1.4418 A, theta_pitch = -2.69876mrad, theta_roll_comp = -43.3490 mrad, theta_setpoint = -30.7332 mrad, 
msg = 9070, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181402 ms, ax =  0.0515, ay = -0.3740, az =  9.9507, gx =  0.0103 rad/s, gy =  0.0269 rad/s, gz = -0.0341 rad/s, rpm_pitch =  0.0000, rpm_roll = -147.5602, I_w_pitch = -2.2511 A, I_w_roll = -1.3104 A, theta_pitch = -2.17451mrad, theta_roll_comp = -43.0206 mrad, theta_setpoint = -30.7332 mrad, 
msg = 9071, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181422 ms, ax = -0.0432, ay = -0.3692, az = 10.0070, gx =  0.0096 rad/s, gy =  0.0365 rad/s, gz = -0.0459 rad/s, rpm_pitch = -5.7205, rpm_roll = -150.8690, I_w_pitch = -10.2966 A, I_w_roll = -1.4901 A, theta_pitch = -1.38978mrad, theta_roll_comp = -42.6794 mrad, theta_setpoint = -30.5254 mrad, 
msg = 9072, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181442 ms, ax = -0.0563, ay = -0.3680, az =  9.9854, gx =  0.0083 rad/s, gy =  0.0402 rad/s, gz = -0.0527 rad/s, rpm_pitch = -5.7205, rpm_roll = -150.8690, I_w_pitch = -10.5813 A, I_w_roll = -1.8488 A, theta_pitch = -0.48555mrad, theta_roll_comp = -42.4111 mrad, theta_setpoint = -30.5254 mrad, 
msg = 9073, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181462 ms, ax =  0.3344, ay = -0.3584, az =  9.9159, gx =  0.0079 rad/s, gy =  0.0239 rad/s, gz = -0.0541 rad/s, rpm_pitch = -0.0437, rpm_roll = -153.6765, I_w_pitch = -2.4926 A, I_w_roll = -1.9581 A, theta_pitch = -0.13179mrad, theta_roll_comp = -42.1585 mrad, theta_setpoint = -30.3491 mrad, 
msg = 9074, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181482 ms, ax =  0.4244, ay = -0.4867, az =  9.8691, gx =  0.0076 rad/s, gy = -0.0380 rad/s, gz = -0.0341 rad/s, rpm_pitch =  0.0000, rpm_roll = -155.2473, I_w_pitch =  0.1704 A, I_w_roll = -2.0639 A, theta_pitch = -0.99047mrad, theta_roll_comp = -42.0912 mrad, theta_setpoint = -30.2505 mrad, 
msg = 9075, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181502 ms, ax =  0.0599, ay = -0.5011, az =  9.9459, gx =  0.0048 rad/s, gy = -0.0976 rad/s, gz =  0.0025 rad/s, rpm_pitch =  0.0000, rpm_roll = -155.2473, I_w_pitch =  2.8122 A, I_w_roll = -3.0555 A, theta_pitch = -2.73061mrad, theta_roll_comp = -42.1236 mrad, theta_setpoint = -30.2505 mrad, 
msg = 9076, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181522 ms, ax =  0.0240, ay = -0.4903, az =  9.9698, gx =  0.0047 rad/s, gy = -0.1270 rad/s, gz =  0.0353 rad/s, rpm_pitch = -0.3493, rpm_roll = -157.7540, I_w_pitch =  3.8817 A, I_w_roll = -3.1657 A, theta_pitch = -5.08465mrad, theta_roll_comp = -42.1251 mrad, theta_setpoint = -30.0930 mrad, 
msg = 9077, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181542 ms, ax =  0.0264, ay = -0.4591, az =  9.9171, gx =  0.0066 rad/s, gy = -0.1307 rad/s, gz =  0.0610 rad/s, rpm_pitch = -0.3493, rpm_roll = -157.7540, I_w_pitch =  4.4136 A, I_w_roll = -2.5145 A, theta_pitch = -7.63607mrad, theta_roll_comp = -42.1282 mrad, theta_setpoint = -30.0930 mrad, 
msg = 9078, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181562 ms, ax = -0.0168, ay = -0.4267, az =  9.9171, gx =  0.0064 rad/s, gy = -0.1210 rad/s, gz =  0.0714 rad/s, rpm_pitch = -1.0480, rpm_roll = -160.8289, I_w_pitch =  3.4536 A, I_w_roll = -2.6331 A, theta_pitch = -9.97132mrad, theta_roll_comp = -42.1151 mrad, theta_setpoint = -29.8999 mrad, 
msg = 9079, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181582 ms, ax = -0.0611, ay = -0.4016, az =  9.9591, gx =  0.0070 rad/s, gy = -0.1013 rad/s, gz =  0.0599 rad/s, rpm_pitch =  0.0437, rpm_roll = -162.5334, I_w_pitch =  4.3956 A, I_w_roll = -2.4090 A, theta_pitch = -11.90823mrad, theta_roll_comp = -41.9139 mrad, theta_setpoint = -29.7929 mrad, 
msg = 9080, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181602 ms, ax = -0.0743, ay = -0.3380, az = 10.0442, gx =  0.0091 rad/s, gy = -0.0735 rad/s, gz =  0.0302 rad/s, rpm_pitch =  0.0437, rpm_roll = -162.5334, I_w_pitch =  3.4764 A, I_w_roll = -1.5365 A, theta_pitch = -13.20162mrad, theta_roll_comp = -41.5969 mrad, theta_setpoint = -29.7929 mrad, 
msg = 9081, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181622 ms, ax = -0.1510, ay = -0.4052, az =  9.9698, gx =  0.0086 rad/s, gy = -0.0491 rad/s, gz = -0.0005 rad/s, rpm_pitch = -4.2795, rpm_roll = -166.5775, I_w_pitch = -3.0922 A, I_w_roll = -1.7092 A, theta_pitch = -13.91781mrad, theta_roll_comp = -41.3084 mrad, theta_setpoint = -29.5389 mrad, 
msg = 9082, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181642 ms, ax = -0.0935, ay = -0.3524, az = 10.0130, gx =  0.0088 rad/s, gy = -0.0190 rad/s, gz = -0.0369 rad/s, rpm_pitch = -4.2795, rpm_roll = -166.5775, I_w_pitch = -4.2729 A, I_w_roll = -1.5048 A, theta_pitch = -14.07109mrad, theta_roll_comp = -41.0307 mrad, theta_setpoint = -29.5389 mrad, 
msg = 9083, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181662 ms, ax =  0.0216, ay = -0.3692, az =  9.9926, gx =  0.0103 rad/s, gy =  0.0023 rad/s, gz = -0.0633 rad/s, rpm_pitch =  0.0000, rpm_roll = -170.2206, I_w_pitch =  0.4920 A, I_w_roll = -0.9566 A, theta_pitch = -13.89329mrad, theta_roll_comp = -40.7129 mrad, theta_setpoint = -29.3101 mrad, 
msg = 9084, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181682 ms, ax =  0.0300, ay = -0.4807, az = 10.0070, gx =  0.0111 rad/s, gy =  0.0086 rad/s, gz = -0.0699 rad/s, rpm_pitch =  0.0000, rpm_roll = -171.9586, I_w_pitch =  0.1848 A, I_w_roll = -0.6456 A, theta_pitch = -13.51413mrad, theta_roll_comp = -40.5253 mrad, theta_setpoint = -29.2010 mrad, 
msg = 9085, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181702 ms, ax = -0.0551, ay = -0.4723, az =  9.9962, gx =  0.0104 rad/s, gy =  0.0092 rad/s, gz = -0.0597 rad/s, rpm_pitch =  0.0000, rpm_roll = -171.9586, I_w_pitch =  0.0896 A, I_w_roll = -0.8213 A, theta_pitch = -13.05677mrad, theta_roll_comp = -40.3819 mrad, theta_setpoint = -29.2010 mrad, 
msg = 9086, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181722 ms, ax =  0.0288, ay = -0.4411, az =  9.9567, gx =  0.0111 rad/s, gy =  0.0165 rad/s, gz = -0.0411 rad/s, rpm_pitch = -5.5022, rpm_roll = -174.9332, I_w_pitch = -7.5387 A, I_w_roll = -0.6055 A, theta_pitch = -12.52952mrad, theta_roll_comp = -40.2383 mrad, theta_setpoint = -29.0142 mrad, 
msg = 9087, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181742 ms, ax = -0.0204, ay = -0.3848, az = 10.0094, gx =  0.0110 rad/s, gy =  0.0291 rad/s, gz = -0.0212 rad/s, rpm_pitch = -2.0524, rpm_roll = -176.0361, I_w_pitch = -3.6005 A, I_w_roll = -0.5935 A, theta_pitch = -11.79156mrad, theta_roll_comp = -40.0225 mrad, theta_setpoint = -28.9449 mrad, 
msg = 9088, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181762 ms, ax =  0.1846, ay = -0.3884, az =  9.9411, gx =  0.0098 rad/s, gy =  0.0257 rad/s, gz = -0.0119 rad/s, rpm_pitch = -2.0524, rpm_roll = -176.0361, I_w_pitch = -3.5783 A, I_w_roll = -0.9166 A, theta_pitch = -11.05163mrad, theta_roll_comp = -39.7816 mrad, theta_setpoint = -28.9449 mrad, 
msg = 9089, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181782 ms, ax =  0.0587, ay = -0.3692, az =  9.9650, gx =  0.0078 rad/s, gy = -0.0001 rad/s, gz =  0.0041 rad/s, rpm_pitch =  0.0000, rpm_roll = -177.7406, I_w_pitch =  0.1022 A, I_w_roll = -1.5664 A, theta_pitch = -10.65524mrad, theta_roll_comp = -39.5515 mrad, theta_setpoint = -28.8379 mrad, 
msg = 9090, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181802 ms, ax =  0.0635, ay = -0.3680, az = 10.0058, gx =  0.0064 rad/s, gy = -0.0211 rad/s, gz =  0.0178 rad/s, rpm_pitch =  0.0000, rpm_roll = -177.7406, I_w_pitch =  0.9563 A, I_w_roll = -1.9544 A, theta_pitch = -10.73922mrad, theta_roll_comp = -39.3563 mrad, theta_setpoint = -28.8379 mrad, 
msg = 9091, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181822 ms, ax = -0.0108, ay = -0.4076, az =  9.9555, gx =  0.0062 rad/s, gy = -0.0341 rad/s, gz =  0.0365 rad/s, rpm_pitch =  0.0000, rpm_roll = -179.3115, I_w_pitch =  1.5370 A, I_w_roll = -2.0473 A, theta_pitch = -11.16615mrad, theta_roll_comp = -39.2570 mrad, theta_setpoint = -28.7392 mrad, 
msg = 9092, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181842 ms, ax =  0.0000, ay = -0.4471, az =  9.9662, gx =  0.0074 rad/s, gy = -0.0285 rad/s, gz =  0.0509 rad/s, rpm_pitch =  0.0000, rpm_roll = -180.1805, I_w_pitch =  1.3720 A, I_w_roll = -1.6456 A, theta_pitch = -11.55742mrad, theta_roll_comp = -39.2467 mrad, theta_setpoint = -28.6847 mrad, 
msg = 9093, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181862 ms, ax = -0.0647, ay = -0.4232, az = 10.0310, gx =  0.0090 rad/s, gy = -0.0118 rad/s, gz =  0.0545 rad/s, rpm_pitch =  0.0000, rpm_roll = -180.1805, I_w_pitch =  0.7232 A, I_w_roll = -1.0619 A, theta_pitch = -11.67033mrad, theta_roll_comp = -39.1856 mrad, theta_setpoint = -28.6847 mrad, 
msg = 9094, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181882 ms, ax = -0.0384, ay = -0.4327, az = 10.0106, gx =  0.0107 rad/s, gy =  0.0098 rad/s, gz =  0.0463 rad/s, rpm_pitch = -5.4148, rpm_roll = -181.9184, I_w_pitch = -7.3318 A, I_w_roll = -0.4309 A, theta_pitch = -11.33047mrad, theta_roll_comp = -39.0136 mrad, theta_setpoint = -28.5755 mrad, 
msg = 9095, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181902 ms, ax = -0.0288, ay = -0.3308, az = 10.0190, gx =  0.0112 rad/s, gy =  0.0345 rad/s, gz =  0.0209 rad/s, rpm_pitch = -5.4148, rpm_roll = -181.9184, I_w_pitch = -8.4402 A, I_w_roll = -0.1308 A, theta_pitch = -10.54508mrad, theta_roll_comp = -38.7294 mrad, theta_setpoint = -28.5755 mrad, 
msg = 9096, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181922 ms, ax =  0.1127, ay = -0.3057, az =  9.9171, gx =  0.0120 rad/s, gy =  0.0444 rad/s, gz = -0.0201 rad/s, rpm_pitch =  0.0000, rpm_roll = -183.9906, I_w_pitch = -1.8295 A, I_w_roll =  0.2491 A, theta_pitch = -9.63691mrad, theta_roll_comp = -38.3486 mrad, theta_setpoint = -28.4454 mrad, 
msg = 9097, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181942 ms, ax =  0.2361, ay = -0.3416, az =  9.9003, gx =  0.0107 rad/s, gy =  0.0225 rad/s, gz = -0.0507 rad/s, rpm_pitch =  0.0000, rpm_roll = -184.8262, I_w_pitch = -1.0289 A, I_w_roll = -0.0689 A, theta_pitch = -9.15120mrad, theta_roll_comp = -37.9259 mrad, theta_setpoint = -28.3929 mrad, 
msg = 9098, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181962 ms, ax =  0.0899, ay = -0.3668, az =  9.9674, gx =  0.0091 rad/s, gy = -0.0026 rad/s, gz = -0.0656 rad/s, rpm_pitch =  0.0000, rpm_roll = -184.8262, I_w_pitch = -0.0448 A, I_w_roll = -0.5055 A, theta_pitch = -9.00044mrad, theta_roll_comp = -37.6194 mrad, theta_setpoint = -28.3929 mrad, 
msg = 9099, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   181982 ms, ax =  0.0707, ay = -0.3884, az = 10.0022, gx =  0.0080 rad/s, gy = -0.0113 rad/s, gz = -0.0618 rad/s, rpm_pitch =  0.0000, rpm_roll = -186.0628, I_w_pitch =  0.3294 A, I_w_roll = -0.8127 A, theta_pitch = -9.18721mrad, theta_roll_comp = -37.3776 mrad, theta_setpoint = -28.3153 mrad, 
msg = 9100, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   182002 ms, ax =  0.0324, ay = -0.4076, az =  9.9650, gx =  0.0084 rad/s, gy = -0.0119 rad/s, gz = -0.0454 rad/s, rpm_pitch =  0.0000, rpm_roll = -186.0628, I_w_pitch =  0.3831 A, I_w_roll = -0.6055 A, theta_pitch = -9.36777mrad, theta_roll_comp = -37.2092 mrad, theta_setpoint = -28.3153 mrad, 
msg = 9101, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   182022 ms, ax = -0.0168, ay = -0.3860, az =  9.9579, gx =  0.0086 rad/s, gy = -0.0052 rad/s, gz = -0.0222 rad/s, rpm_pitch =  0.0000, rpm_roll = -186.0628, I_w_pitch =  0.1121 A, I_w_roll = -0.5379 A, theta_pitch = -9.37234mrad, theta_roll_comp = -37.1565 mrad, theta_setpoint = -28.3153 mrad, 
msg = 9102, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   182042 ms, ax = -0.0132, ay = -0.3153, az = 10.0058, gx =  0.0092 rad/s, gy =  0.0059 rad/s, gz = -0.0031 rad/s, rpm_pitch = -4.0175, rpm_roll = -186.7313, I_w_pitch = -5.6644 A, I_w_roll = -0.2646 A, theta_pitch = -9.13055mrad, theta_roll_comp = -37.0140 mrad, theta_setpoint = -28.2733 mrad, 
msg = 9103, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   182062 ms, ax = -0.0144, ay = -0.3213, az =  9.9950, gx =  0.0106 rad/s, gy =  0.0199 rad/s, gz = -0.0012 rad/s, rpm_pitch = -4.0175, rpm_roll = -187.1324, I_w_pitch = -6.2952 A, I_w_roll =  0.2866 A, theta_pitch = -8.65406mrad, theta_roll_comp = -36.7759 mrad, theta_setpoint = -28.2481 mrad, 
msg = 9104, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   182082 ms, ax = -0.0024, ay = -0.3057, az =  9.9662, gx =  0.0098 rad/s, gy =  0.0356 rad/s, gz = -0.0075 rad/s, rpm_pitch =  0.0000, rpm_roll = -187.4666, I_w_pitch = -1.7357 A, I_w_roll =  0.1278 A, theta_pitch = -7.91907mrad, theta_roll_comp = -36.4529 mrad, theta_setpoint = -28.2271 mrad, 
msg = 9105, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   182102 ms, ax =  0.2541, ay = -0.2733, az =  9.9734, gx =  0.0088 rad/s, gy =  0.0402 rad/s, gz = -0.0262 rad/s, rpm_pitch =  0.0000, rpm_roll = -187.4666, I_w_pitch = -2.0096 A, I_w_roll = -0.0633 A, theta_pitch = -7.33575mrad, theta_roll_comp = -36.1151 mrad, theta_setpoint = -28.2271 mrad, 
msg = 9106, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   182122 ms, ax = -0.0563, ay = -0.3800, az =  9.9806, gx =  0.0080 rad/s, gy =  0.0293 rad/s, gz = -0.0372 rad/s, rpm_pitch =  0.0000, rpm_roll = -187.5668, I_w_pitch = -1.6841 A, I_w_roll = -0.2274 A, theta_pitch = -6.59356mrad, theta_roll_comp = -35.8198 mrad, theta_setpoint = -28.2208 mrad, 
msg = 9107, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   182142 ms, ax = -0.0432, ay = -0.3512, az =  9.9998, gx =  0.0064 rad/s, gy =  0.0217 rad/s, gz = -0.0374 rad/s, rpm_pitch =  0.0000, rpm_roll = -187.5668, I_w_pitch = -1.4948 A, I_w_roll = -0.7252 A, theta_pitch = -5.83176mrad, theta_roll_comp = -35.6663 mrad, theta_setpoint = -28.2208 mrad, 
msg = 9108, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   182162 ms, ax =  0.0072, ay = -0.3644, az =  9.9794, gx =  0.0067 rad/s, gy =  0.0180 rad/s, gz = -0.0317 rad/s, rpm_pitch =  0.0000, rpm_roll = -187.5668, I_w_pitch = -1.4215 A, I_w_roll = -0.5748 A, theta_pitch = -5.32661mrad, theta_roll_comp = -35.5234 mrad, theta_setpoint = -28.2208 mrad, 
msg = 9109, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   182182 ms, ax =  0.0300, ay = -0.3464, az =  9.9279, gx =  0.0072 rad/s, gy =  0.0173 rad/s, gz = -0.0206 rad/s, rpm_pitch =  0.0000, rpm_roll = -187.5668, I_w_pitch = -1.4589 A, I_w_roll = -0.3428 A, theta_pitch = -4.89925mrad, theta_roll_comp = -35.4093 mrad, theta_setpoint = -28.2208 mrad, 
msg = 9110, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   182202 ms, ax =  0.0312, ay = -0.3368, az =  9.9459, gx =  0.0076 rad/s, gy =  0.0184 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -187.5668, I_w_pitch = -1.5582 A, I_w_roll = -0.1539 A, theta_pitch = -4.52132mrad, theta_roll_comp = -35.2865 mrad, theta_setpoint = -28.2208 mrad, 
msg = 9111, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   182222 ms, ax =  0.0312, ay = -0.3332, az = 10.0394, gx =  0.0083 rad/s, gy =  0.0229 rad/s, gz = -0.0154 rad/s, rpm_pitch =  0.0000, rpm_roll = -187.2326, I_w_pitch = -1.8092 A, I_w_roll =  0.1614 A, theta_pitch = -4.05568mrad, theta_roll_comp = -35.1019 mrad, theta_setpoint = -28.2418 mrad, 
msg = 9112, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   182242 ms, ax =  0.0432, ay = -0.2745, az =  9.9782, gx =  0.0067 rad/s, gy =  0.0263 rad/s, gz = -0.0213 rad/s, rpm_pitch = -2.0524, rpm_roll = -187.3329, I_w_pitch = -4.7146 A, I_w_roll = -0.2896 A, theta_pitch = -3.61859mrad, theta_roll_comp = -34.8250 mrad, theta_setpoint = -28.2355 mrad, 
msg = 9113, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   182262 ms, ax = -0.0324, ay = -0.3476, az =  9.9806, gx =  0.0064 rad/s, gy =  0.0295 rad/s, gz = -0.0342 rad/s, rpm_pitch = -4.8472, rpm_roll = -187.3329, I_w_pitch = -8.6232 A, I_w_roll = -0.2952 A, theta_pitch = -2.98487mrad, theta_roll_comp = -34.6061 mrad, theta_setpoint = -28.2355 mrad, 
