picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch = -0.0000, rpm_roll =  0.0000, I_w_pitch =  0.0000 A, I_w_roll = 8893892.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = 47223.9258 mrad, 
msg =   58, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1162 ms, ax = -0.0887, ay = -0.1367, az =  9.9794, gx =  0.0012 rad/s, gy = -0.0022 rad/s, gz = -0.0115 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4416 A, I_w_roll = 13.4619 A, theta_pitch = 0.20451mrad, theta_roll_comp = -7.4337 mrad, theta_setpoint = -40.0000 mrad, 
msg =   59, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1182 ms, ax = -0.0911, ay = -0.1426, az =  9.9770, gx =  0.0014 rad/s, gy = -0.0034 rad/s, gz = -0.0076 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4115 A, I_w_roll = 13.4668 A, theta_pitch = 0.32390mrad, theta_roll_comp = -7.5382 mrad, theta_setpoint = -40.0000 mrad, 
msg =   60, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1202 ms, ax = -0.0731, ay = -0.1415, az =  9.9722, gx =  0.0015 rad/s, gy = -0.0052 rad/s, gz = -0.0048 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3523 A, I_w_roll = 13.4713 A, theta_pitch = 0.39036mrad, theta_roll_comp = -7.6434 mrad, theta_setpoint = -40.0000 mrad, 
msg =   61, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1222 ms, ax = -0.0779, ay = -0.1379, az =  9.9722, gx =  0.0020 rad/s, gy = -0.0066 rad/s, gz = -0.0037 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2981 A, I_w_roll = 13.6197 A, theta_pitch = 0.42004mrad, theta_roll_comp = -7.7385 mrad, theta_setpoint = -40.0000 mrad, 
msg =   62, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1242 ms, ax = -0.0731, ay = -0.1319, az =  9.9674, gx =  0.0023 rad/s, gy = -0.0073 rad/s, gz = -0.0033 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2720 A, I_w_roll = 13.6830 A, theta_pitch = 0.42352mrad, theta_roll_comp = -7.8131 mrad, theta_setpoint = -40.0000 mrad, 
msg =   63, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1262 ms, ax = -0.0659, ay = -0.1067, az =  9.9674, gx =  0.0027 rad/s, gy = -0.0078 rad/s, gz = -0.0048 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2481 A, I_w_roll = 13.8112 A, theta_pitch = 0.40602mrad, theta_roll_comp = -7.8421 mrad, theta_setpoint = -40.0000 mrad, 
msg =   64, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1282 ms, ax = -0.0539, ay = -0.0959, az =  9.9782, gx =  0.0027 rad/s, gy = -0.0084 rad/s, gz = -0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2192 A, I_w_roll = 13.8136 A, theta_pitch = 0.35533mrad, theta_roll_comp = -7.8361 mrad, theta_setpoint = -40.0000 mrad, 
msg =   65, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1302 ms, ax = -0.0635, ay = -0.0983, az =  9.9770, gx =  0.0023 rad/s, gy = -0.0086 rad/s, gz = -0.0115 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2003 A, I_w_roll = 13.6783 A, theta_pitch = 0.30075mrad, theta_roll_comp = -7.8249 mrad, theta_setpoint = -40.0000 mrad, 
msg =   66, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1322 ms, ax = -0.0635, ay = -0.0911, az =  9.9782, gx =  0.0020 rad/s, gy = -0.0093 rad/s, gz = -0.0133 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1645 A, I_w_roll = 13.5902 A, theta_pitch = 0.23943mrad, theta_roll_comp = -7.8121 mrad, theta_setpoint = -40.0000 mrad, 
msg =   67, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1342 ms, ax = -0.0563, ay = -0.0923, az =  9.9878, gx =  0.0015 rad/s, gy = -0.0093 rad/s, gz = -0.0153 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1533 A, I_w_roll = 13.4066 A, theta_pitch = 0.16472mrad, theta_roll_comp = -7.8052 mrad, theta_setpoint = -40.0000 mrad, 
msg =   68, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1362 ms, ax = -0.0479, ay = -0.0947, az =  9.9890, gx =  0.0010 rad/s, gy = -0.0097 rad/s, gz = -0.0170 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1233 A, I_w_roll = 13.2183 A, theta_pitch = 0.07150mrad, theta_roll_comp = -7.8099 mrad, theta_setpoint = -40.0000 mrad, 
msg =   69, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1382 ms, ax = -0.0491, ay = -0.0887, az =  9.9854, gx =  0.0007 rad/s, gy = -0.0094 rad/s, gz = -0.0186 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1199 A, I_w_roll = 13.1221 A, theta_pitch = -0.02217mrad, theta_roll_comp = -7.8173 mrad, theta_setpoint = -40.0000 mrad, 
msg =   70, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1402 ms, ax = -0.0456, ay = -0.0911, az =  9.9878, gx =  0.0000 rad/s, gy = -0.0098 rad/s, gz = -0.0197 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.0893 A, I_w_roll = 12.8826 A, theta_pitch = -0.12021mrad, theta_roll_comp = -7.8335 mrad, theta_setpoint = -40.0000 mrad, 
msg =   71, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1422 ms, ax = -0.0468, ay = -0.0983, az =  9.9794, gx = -0.0004 rad/s, gy = -0.0104 rad/s, gz = -0.0192 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.0515 A, I_w_roll = 12.7291 A, theta_pitch = -0.23012mrad, theta_roll_comp = -7.8676 mrad, theta_setpoint = -40.0000 mrad, 
msg =   72, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1442 ms, ax = -0.0575, ay = -0.1091, az =  9.9782, gx = -0.0010 rad/s, gy = -0.0114 rad/s, gz = -0.0161 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9926 A, I_w_roll = 12.4705 A, theta_pitch = -0.33824mrad, theta_roll_comp = -7.9315 mrad, theta_setpoint = -40.0000 mrad, 
msg =   73, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1462 ms, ax = -0.0587, ay = -0.1091, az =  9.9830, gx = -0.0009 rad/s, gy = -0.0125 rad/s, gz = -0.0115 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9327 A, I_w_roll = 12.4856 A, theta_pitch = -0.45345mrad, theta_roll_comp = -8.0105 mrad, theta_setpoint = -40.0000 mrad, 
msg =   74, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1482 ms, ax = -0.0515, ay = -0.1175, az =  9.9854, gx = -0.0013 rad/s, gy = -0.0131 rad/s, gz = -0.0069 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8852 A, I_w_roll = 12.3133 A, theta_pitch = -0.59310mrad, theta_roll_comp = -8.0917 mrad, theta_setpoint = -40.0000 mrad, 
msg =   75, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1502 ms, ax = -0.0539, ay = -0.1163, az =  9.9722, gx = -0.0022 rad/s, gy = -0.0135 rad/s, gz = -0.0037 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8474 A, I_w_roll = 11.9451 A, theta_pitch = -0.73848mrad, theta_roll_comp = -8.1967 mrad, theta_setpoint = -40.0000 mrad, 
msg =   76, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1522 ms, ax = -0.0527, ay = -0.1175, az =  9.9842, gx = -0.0028 rad/s, gy = -0.0130 rad/s, gz = -0.0012 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8479 A, I_w_roll = 11.7102 A, theta_pitch = -0.87695mrad, theta_roll_comp = -8.3178 mrad, theta_setpoint = -40.0000 mrad, 
msg =   77, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1542 ms, ax = -0.0432, ay = -0.1235, az =  9.9902, gx = -0.0026 rad/s, gy = -0.0135 rad/s, gz = -0.0001 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8038 A, I_w_roll = 11.7066 A, theta_pitch = -1.02909mrad, theta_roll_comp = -8.4432 mrad, theta_setpoint = -40.0000 mrad, 
msg =   78, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1562 ms, ax = -0.0348, ay = -0.1319, az =  9.9818, gx = -0.0025 rad/s, gy = -0.0138 rad/s, gz = -0.0008 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.7666 A, I_w_roll = 11.6988 A, theta_pitch = -1.20632mrad, theta_roll_comp = -8.5793 mrad, theta_setpoint = -40.0000 mrad, 
msg =   79, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1582 ms, ax = -0.0456, ay = -0.1379, az =  9.9686, gx = -0.0018 rad/s, gy = -0.0146 rad/s, gz = -0.0005 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.7088 A, I_w_roll = 11.8756 A, theta_pitch = -1.37810mrad, theta_roll_comp = -8.7199 mrad, theta_setpoint = -40.0000 mrad, 
msg =   80, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1602 ms, ax = -0.0360, ay = -0.1367, az =  9.9842, gx = -0.0014 rad/s, gy = -0.0154 rad/s, gz = -0.0013 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6481 A, I_w_roll = 11.9619 A, theta_pitch = -1.56998mrad, theta_roll_comp = -8.8535 mrad, theta_setpoint = -40.0000 mrad, 
msg =   81, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1622 ms, ax = -0.0216, ay = -0.1331, az =  9.9914, gx = -0.0009 rad/s, gy = -0.0154 rad/s, gz = -0.0035 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6153 A, I_w_roll = 12.1020 A, theta_pitch = -1.78854mrad, theta_roll_comp = -8.9694 mrad, theta_setpoint = -40.0000 mrad, 
msg =   82, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1642 ms, ax = -0.0204, ay = -0.1163, az =  9.9722, gx =  0.0000 rad/s, gy = -0.0157 rad/s, gz = -0.0067 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5702 A, I_w_roll = 12.3972 A, theta_pitch = -2.01834mrad, theta_roll_comp = -9.0471 mrad, theta_setpoint = -40.0000 mrad, 
msg =   83, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1662 ms, ax = -0.0156, ay = -0.2637, az =  9.9531, gx = -0.0024 rad/s, gy = -0.0157 rad/s, gz = -0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5345 A, I_w_roll = 11.4954 A, theta_pitch = -2.25608mrad, theta_roll_comp = -9.2043 mrad, theta_setpoint = -40.0000 mrad, 
msg =   84, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1682 ms, ax = -0.0036, ay = -0.0216, az =  9.9818, gx = -0.0089 rad/s, gy = -0.0174 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.7019, I_w_pitch = -0.4268 A, I_w_roll =  9.2727 A, theta_pitch = -2.51247mrad, theta_roll_comp = -9.0961 mrad, theta_setpoint = -40.0441 mrad, 
msg =   85, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1702 ms, ax =  0.0036, ay =  0.1510, az =  9.9866, gx = -0.0103 rad/s, gy = -0.0201 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll =  3.2086, I_w_pitch = -0.2720 A, I_w_roll =  8.9140 A, theta_pitch = -2.83479mrad, theta_roll_comp = -8.8688 mrad, theta_setpoint = -40.2015 mrad, 
msg =   86, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1722 ms, ax =  0.0084, ay =  0.1630, az =  9.9746, gx = -0.0155 rad/s, gy = -0.0222 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll =  3.2086, I_w_pitch = -0.1297 A, I_w_roll =  7.1515 A, theta_pitch = -3.21511mrad, theta_roll_comp = -8.7312 mrad, theta_setpoint = -40.2015 mrad, 
msg =   87, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1742 ms, ax = -0.0288, ay =  0.1259, az =  9.9914, gx = -0.0230 rad/s, gy = -0.0242 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = 14.0709, I_w_pitch =  0.0080 A, I_w_roll =  4.7968 A, theta_pitch = -3.60061mrad, theta_roll_comp = -8.7755 mrad, theta_setpoint = -40.8836 mrad, 
msg =   88, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1762 ms, ax = -0.0144, ay =  0.0659, az =  9.9950, gx = -0.0238 rad/s, gy = -0.0249 rad/s, gz = -0.0024 rad/s, rpm_pitch =  0.0000, rpm_roll = 19.2179, I_w_pitch =  0.0909 A, I_w_roll =  4.5705 A, theta_pitch = -3.97531mrad, theta_roll_comp = -8.9652 mrad, theta_setpoint = -41.2069 mrad, 
msg =   89, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1782 ms, ax = -0.0096, ay =  0.0120, az =  9.9698, gx = -0.0295 rad/s, gy = -0.0245 rad/s, gz =  0.0041 rad/s, rpm_pitch =  0.0000, rpm_roll = 19.2179, I_w_pitch =  0.1341 A, I_w_roll =  2.4036 A, theta_pitch = -4.37011mrad, theta_roll_comp = -9.3726 mrad, theta_setpoint = -41.2069 mrad, 
msg =   90, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1802 ms, ax = -0.0491, ay = -0.0228, az =  9.9854, gx = -0.0318 rad/s, gy = -0.0231 rad/s, gz =  0.0076 rad/s, rpm_pitch =  0.0000, rpm_roll = 29.2781, I_w_pitch =  0.1315 A, I_w_roll =  1.6420 A, theta_pitch = -4.70780mrad, theta_roll_comp = -9.9277 mrad, theta_setpoint = -41.8387 mrad, 
msg =   91, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1822 ms, ax = -0.0264, ay = -0.0623, az =  9.9950, gx = -0.0292 rad/s, gy = -0.0202 rad/s, gz =  0.0044 rad/s, rpm_pitch =  0.0000, rpm_roll = 29.2781, I_w_pitch =  0.0568 A, I_w_roll =  2.2873 A, theta_pitch = -4.99098mrad, theta_roll_comp = -10.5282 mrad, theta_setpoint = -41.8387 mrad, 
msg =   92, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1842 ms, ax =  0.0348, ay = -0.1594, az =  9.9806, gx = -0.0312 rad/s, gy = -0.0170 rad/s, gz = -0.0023 rad/s, rpm_pitch =  0.0000, rpm_roll = 37.1992, I_w_pitch = -0.0255 A, I_w_roll =  1.5001 A, theta_pitch = -5.29467mrad, theta_roll_comp = -11.2459 mrad, theta_setpoint = -42.3361 mrad, 
msg =   93, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1862 ms, ax =  0.0983, ay = -0.1510, az =  9.9986, gx = -0.0291 rad/s, gy = -0.0146 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = 39.9398, I_w_pitch = -0.0772 A, I_w_roll =  2.0121 A, theta_pitch = -5.58908mrad, theta_roll_comp = -12.0022 mrad, theta_setpoint = -42.5082 mrad, 
msg =   94, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1882 ms, ax =  0.0971, ay = -0.2302, az =  9.9914, gx = -0.0257 rad/s, gy = -0.0117 rad/s, gz = -0.0135 rad/s, rpm_pitch =  0.0000, rpm_roll = 39.9398, I_w_pitch = -0.1415 A, I_w_roll =  2.9404 A, theta_pitch = -5.94151mrad, theta_roll_comp = -12.7108 mrad, theta_setpoint = -42.5082 mrad, 
msg =   95, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1902 ms, ax =  0.0983, ay = -0.2733, az =  9.9650, gx = -0.0254 rad/s, gy = -0.0092 rad/s, gz = -0.0143 rad/s, rpm_pitch =  0.0000, rpm_roll = 44.6858, I_w_pitch = -0.2008 A, I_w_roll =  2.8259 A, theta_pitch = -6.22062mrad, theta_roll_comp = -13.5282 mrad, theta_setpoint = -42.8063 mrad, 
msg =   96, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1922 ms, ax =  0.0995, ay = -0.2817, az =  9.9722, gx = -0.0210 rad/s, gy = -0.0082 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = 44.6858, I_w_pitch = -0.2019 A, I_w_roll =  4.0646 A, theta_pitch = -6.46203mrad, theta_roll_comp = -14.2761 mrad, theta_setpoint = -42.8063 mrad, 
msg =   97, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1942 ms, ax =  0.1019, ay = -0.3129, az =  9.9650, gx = -0.0173 rad/s, gy = -0.0088 rad/s, gz = -0.0021 rad/s, rpm_pitch =  0.0000, rpm_roll = 48.6965, I_w_pitch = -0.1443 A, I_w_roll =  5.2058 A, theta_pitch = -6.70402mrad, theta_roll_comp = -14.9374 mrad, theta_setpoint = -43.0581 mrad, 
msg =   98, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1962 ms, ax =  0.1271, ay = -0.3932, az =  9.9818, gx = -0.0157 rad/s, gy = -0.0101 rad/s, gz =  0.0020 rad/s, rpm_pitch =  0.0000, rpm_roll = 50.6016, I_w_pitch = -0.0472 A, I_w_roll =  5.5439 A, theta_pitch = -6.99620mrad, theta_roll_comp = -15.6098 mrad, theta_setpoint = -43.1778 mrad, 
msg =   99, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1982 ms, ax =  0.1139, ay = -0.3584, az =  9.9794, gx = -0.0114 rad/s, gy = -0.0094 rad/s, gz =  0.0040 rad/s, rpm_pitch =  0.0000, rpm_roll = 50.6016, I_w_pitch = -0.0305 A, I_w_roll =  6.8173 A, theta_pitch = -7.28541mrad, theta_roll_comp = -16.1547 mrad, theta_setpoint = -43.1778 mrad, 
msg =  100, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2002 ms, ax =  0.1067, ay = -0.2733, az = 10.0190, gx = -0.0094 rad/s, gy = -0.0072 rad/s, gz =  0.0032 rad/s, rpm_pitch =  0.0000, rpm_roll = 54.6791, I_w_pitch = -0.0781 A, I_w_roll =  7.4463 A, theta_pitch = -7.57129mrad, theta_roll_comp = -16.5858 mrad, theta_setpoint = -43.4338 mrad, 
msg =  101, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2022 ms, ax =  0.1271, ay = -0.3057, az = 10.0058, gx = -0.0073 rad/s, gy = -0.0034 rad/s, gz = -0.0001 rad/s, rpm_pitch =  0.0000, rpm_roll = 54.6791, I_w_pitch = -0.1962 A, I_w_roll =  8.0354 A, theta_pitch = -7.77800mrad, theta_roll_comp = -16.9773 mrad, theta_setpoint = -43.4338 mrad, 
msg =  102, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2042 ms, ax =  0.1379, ay = -0.3045, az = 10.0058, gx = -0.0033 rad/s, gy =  0.0016 rad/s, gz = -0.0028 rad/s, rpm_pitch =  0.0000, rpm_roll = 60.7955, I_w_pitch = -0.3797 A, I_w_roll =  9.4721 A, theta_pitch = -7.90459mrad, theta_roll_comp = -17.2651 mrad, theta_setpoint = -43.8180 mrad, 
msg =  103, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2062 ms, ax =  0.0995, ay = -0.2517, az = 10.0010, gx = -0.0016 rad/s, gy =  0.0051 rad/s, gz = -0.0023 rad/s, rpm_pitch =  0.0000, rpm_roll = 64.3382, I_w_pitch = -0.5213 A, I_w_roll = 10.0814 A, theta_pitch = -7.88378mrad, theta_roll_comp = -17.4789 mrad, theta_setpoint = -44.0404 mrad, 
msg =  104, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2082 ms, ax =  0.0947, ay = -0.2074, az =  9.9974, gx = -0.0013 rad/s, gy =  0.0083 rad/s, gz = -0.0028 rad/s, rpm_pitch =  0.0000, rpm_roll = 64.3382, I_w_pitch = -0.6670 A, I_w_roll = 10.1114 A, theta_pitch = -7.76415mrad, theta_roll_comp = -17.6367 mrad, theta_setpoint = -44.0404 mrad, 
msg =  105, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2102 ms, ax =  0.1043, ay = -0.1858, az =  9.9926, gx =  0.0010 rad/s, gy =  0.0108 rad/s, gz = -0.0033 rad/s, rpm_pitch =  0.0000, rpm_roll = 73.7299, I_w_pitch = -0.7925 A, I_w_roll = 11.1189 A, theta_pitch = -7.60249mrad, theta_roll_comp = -17.6884 mrad, theta_setpoint = -44.6302 mrad, 
msg =  106, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2122 ms, ax =  0.1031, ay = -0.1606, az =  9.9650, gx =  0.0011 rad/s, gy =  0.0106 rad/s, gz = -0.0045 rad/s, rpm_pitch =  0.0000, rpm_roll = 73.7299, I_w_pitch = -0.8023 A, I_w_roll = 11.1547 A, theta_pitch = -7.46613mrad, theta_roll_comp = -17.7155 mrad, theta_setpoint = -44.6302 mrad, 
msg =  107, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2142 ms, ax =  0.0959, ay = -0.1283, az =  9.9986, gx =  0.0012 rad/s, gy =  0.0110 rad/s, gz = -0.0079 rad/s, rpm_pitch =  0.0000, rpm_roll = 85.6952, I_w_pitch = -0.8418 A, I_w_roll = 11.5047 A, theta_pitch = -7.30891mrad, theta_roll_comp = -17.7086 mrad, theta_setpoint = -45.3817 mrad, 
msg =  108, nerr =    0p/   0r, time steps =   10, qsz =    3, switch = on, t =     2162 ms, ax =  0.0971, ay = -0.0875, az = 10.0010, gx =  0.0019 rad/s, gy =  0.0110 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = 92.3797, I_w_pitch = -0.8659 A, I_w_roll = 11.9294 A, theta_pitch = -7.14850mrad, theta_roll_comp = -17.6490 mrad, theta_setpoint = -45.8014 mrad, 
msg =  109, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2182 ms, ax =  0.0827, ay = -0.1247, az =  9.9734, gx =  0.0008 rad/s, gy =  0.0106 rad/s, gz = -0.0156 rad/s, rpm_pitch =  0.0000, rpm_roll = 92.3797, I_w_pitch = -0.8737 A, I_w_roll = 11.5950 A, theta_pitch = -6.99008mrad, theta_roll_comp = -17.5529 mrad, theta_setpoint = -45.8014 mrad, 
msg =  110, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2202 ms, ax = -0.0036, ay = -0.1163, az =  9.9818, gx = -0.0022 rad/s, gy =  0.0099 rad/s, gz = -0.0196 rad/s, rpm_pitch =  0.0000, rpm_roll = 107.4866, I_w_pitch = -0.8914 A, I_w_roll = 10.9700 A, theta_pitch = -6.69471mrad, theta_roll_comp = -17.3845 mrad, theta_setpoint = -46.7502 mrad, 
msg =  111, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2222 ms, ax = -0.0048, ay = -0.0012, az =  9.9974, gx = -0.0053 rad/s, gy =  0.0071 rad/s, gz = -0.0237 rad/s, rpm_pitch =  0.0000, rpm_roll = 115.3743, I_w_pitch = -0.8263 A, I_w_roll = 10.1603 A, theta_pitch = -6.38289mrad, theta_roll_comp = -17.2243 mrad, theta_setpoint = -47.2455 mrad, 
msg =  112, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2242 ms, ax = -0.0156, ay = -0.0264, az =  9.9806, gx = -0.0094 rad/s, gy =  0.0050 rad/s, gz = -0.0281 rad/s, rpm_pitch =  0.0000, rpm_roll = 115.3743, I_w_pitch = -0.7846 A, I_w_roll =  8.7655 A, theta_pitch = -6.09281mrad, theta_roll_comp = -17.0995 mrad, theta_setpoint = -47.2455 mrad, 
msg =  113, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2262 ms, ax = -0.1127, ay = -0.0396, az = 10.0082, gx = -0.0133 rad/s, gy =  0.0019 rad/s, gz = -0.0282 rad/s, rpm_pitch =  0.0000, rpm_roll = 131.9519, I_w_pitch = -0.7100 A, I_w_roll =  7.8265 A, theta_pitch = -5.77354mrad, theta_roll_comp = -17.1094 mrad, theta_setpoint = -48.2866 mrad, 
msg =  114, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2282 ms, ax = -0.1055, ay = -0.0515, az =  9.9519, gx = -0.0174 rad/s, gy = -0.0036 rad/s, gz = -0.0252 rad/s, rpm_pitch =  0.0000, rpm_roll = 131.9519, I_w_pitch = -0.5307 A, I_w_roll =  6.3620 A, theta_pitch = -5.51261mrad, theta_roll_comp = -17.1588 mrad, theta_setpoint = -48.2866 mrad, 
msg =  115, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2302 ms, ax = -0.0300, ay = -0.0767, az =  9.9938, gx = -0.0197 rad/s, gy = -0.0057 rad/s, gz = -0.0234 rad/s, rpm_pitch =  0.0000, rpm_roll = 148.1283, I_w_pitch = -0.4741 A, I_w_roll =  5.8833 A, theta_pitch = -5.32179mrad, theta_roll_comp = -17.3907 mrad, theta_setpoint = -49.3025 mrad, 
msg =  116, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2322 ms, ax = -0.1031, ay = -0.1319, az =  9.9459, gx = -0.0210 rad/s, gy = -0.0117 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = 155.4144, I_w_pitch = -0.2467 A, I_w_roll =  5.4359 A, theta_pitch = -5.23998mrad, theta_roll_comp = -17.8018 mrad, theta_setpoint = -49.7600 mrad, 
