picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.1004 A, I_w_roll = -12.4082 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =   58, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1162 ms, ax = -0.1103, ay = -0.4315, az =  9.9399, gx = -0.0028 rad/s, gy = -0.0159 rad/s, gz = -0.0209 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.8643 A, I_w_roll =  4.7828 A, theta_pitch = 0.01336mrad, theta_roll_comp = -25.6363 mrad, theta_setpoint = -40.0000 mrad, 
msg =   59, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1182 ms, ax = -0.1043, ay = -0.4423, az =  9.9650, gx = -0.0035 rad/s, gy = -0.0182 rad/s, gz =  0.0039 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.7551 A, I_w_roll =  4.3334 A, theta_pitch = -0.11092mrad, theta_roll_comp = -26.0608 mrad, theta_setpoint = -40.0000 mrad, 
msg =   60, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1202 ms, ax = -0.0839, ay = -0.4447, az =  9.9567, gx = -0.0045 rad/s, gy = -0.0197 rad/s, gz =  0.0197 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6683 A, I_w_roll =  3.8248 A, theta_pitch = -0.29872mrad, theta_roll_comp = -26.5165 mrad, theta_setpoint = -40.0000 mrad, 
msg =   61, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1222 ms, ax = -0.0551, ay = -0.4375, az =  9.9543, gx = -0.0043 rad/s, gy = -0.0209 rad/s, gz =  0.0260 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5808 A, I_w_roll =  3.6957 A, theta_pitch = -0.56272mrad, theta_roll_comp = -26.9559 mrad, theta_setpoint = -40.0000 mrad, 
msg =   62, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1242 ms, ax = -0.0288, ay = -0.4351, az =  9.9555, gx = -0.0031 rad/s, gy = -0.0213 rad/s, gz =  0.0197 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5162 A, I_w_roll =  3.9528 A, theta_pitch = -0.88666mrad, theta_roll_comp = -27.3617 mrad, theta_setpoint = -40.0000 mrad, 
msg =   63, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1262 ms, ax = -0.0156, ay = -0.4124, az =  9.9483, gx = -0.0016 rad/s, gy = -0.0221 rad/s, gz =  0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.4291 A, I_w_roll =  4.3716 A, theta_pitch = -1.25477mrad, theta_roll_comp = -27.7130 mrad, theta_setpoint = -40.0000 mrad, 
msg =   64, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1282 ms, ax =  0.0048, ay = -0.4100, az =  9.9459, gx = -0.0009 rad/s, gy = -0.0225 rad/s, gz = -0.0025 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.3516 A, I_w_roll =  4.4800 A, theta_pitch = -1.66475mrad, theta_roll_comp = -28.0243 mrad, theta_setpoint = -40.0000 mrad, 
msg =   65, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1302 ms, ax =  0.0096, ay = -0.4172, az =  9.9662, gx = -0.0014 rad/s, gy = -0.0227 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.2762 A, I_w_roll =  4.1780 A, theta_pitch = -2.09606mrad, theta_roll_comp = -28.3135 mrad, theta_setpoint = -40.0000 mrad, 
msg =   66, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1322 ms, ax =  0.0120, ay = -0.4279, az =  9.9698, gx =  0.0006 rad/s, gy = -0.0231 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.1962 A, I_w_roll =  4.7633 A, theta_pitch = -2.52315mrad, theta_roll_comp = -28.5977 mrad, theta_setpoint = -40.0000 mrad, 
msg =   67, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1342 ms, ax =  0.0096, ay = -0.4399, az =  9.9638, gx =  0.0010 rad/s, gy = -0.0242 rad/s, gz = -0.0158 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.0878 A, I_w_roll =  4.7878 A, theta_pitch = -2.96206mrad, theta_roll_comp = -28.8861 mrad, theta_setpoint = -40.0000 mrad, 
msg =   68, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1362 ms, ax =  0.0036, ay = -0.4495, az =  9.9591, gx =  0.0007 rad/s, gy = -0.0247 rad/s, gz = -0.0164 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.0000 A, I_w_roll =  4.5786 A, theta_pitch = -3.40524mrad, theta_roll_comp = -29.1761 mrad, theta_setpoint = -40.0000 mrad, 
msg =   69, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1382 ms, ax =  0.0108, ay = -0.4543, az =  9.9615, gx =  0.0027 rad/s, gy = -0.0255 rad/s, gz = -0.0158 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.0983 A, I_w_roll =  5.1628 A, theta_pitch = -3.84727mrad, theta_roll_comp = -29.4633 mrad, theta_setpoint = -40.0000 mrad, 
msg =   70, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1402 ms, ax = -0.0024, ay = -0.4447, az =  9.9662, gx =  0.0032 rad/s, gy = -0.0263 rad/s, gz = -0.0131 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.1970 A, I_w_roll =  5.2492 A, theta_pitch = -4.29226mrad, theta_roll_comp = -29.7131 mrad, theta_setpoint = -40.0000 mrad, 
msg =   71, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1422 ms, ax =  0.0036, ay = -0.4375, az =  9.9615, gx =  0.0032 rad/s, gy = -0.0266 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.2745 A, I_w_roll =  5.1632 A, theta_pitch = -4.73779mrad, theta_roll_comp = -29.9283 mrad, theta_setpoint = -40.0000 mrad, 
msg =   72, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1442 ms, ax =  0.0168, ay = -0.4375, az =  9.9519, gx =  0.0038 rad/s, gy = -0.0269 rad/s, gz = -0.0084 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.3530 A, I_w_roll =  5.2665 A, theta_pitch = -5.19055mrad, theta_roll_comp = -30.1361 mrad, theta_setpoint = -40.0000 mrad, 
msg =   73, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1462 ms, ax =  0.0276, ay = -0.4387, az =  9.9411, gx =  0.0032 rad/s, gy = -0.0266 rad/s, gz = -0.0031 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.4134 A, I_w_roll =  4.9950 A, theta_pitch = -5.66416mrad, theta_roll_comp = -30.3488 mrad, theta_setpoint = -40.0000 mrad, 
msg =   74, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1482 ms, ax =  0.0563, ay = -0.4351, az =  9.9603, gx =  0.0030 rad/s, gy = -0.0263 rad/s, gz =  0.0040 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.4774 A, I_w_roll =  4.8199 A, theta_pitch = -6.16166mrad, theta_roll_comp = -30.5534 mrad, theta_setpoint = -40.0000 mrad, 
msg =   75, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1502 ms, ax =  0.0815, ay = -0.4483, az =  9.9591, gx =  0.0043 rad/s, gy = -0.0255 rad/s, gz =  0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.5246 A, I_w_roll =  5.2053 A, theta_pitch = -6.68966mrad, theta_roll_comp = -30.7550 mrad, theta_setpoint = -40.0000 mrad, 
msg =   76, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1522 ms, ax =  0.1055, ay = -0.4543, az =  9.9579, gx =  0.0046 rad/s, gy = -0.0245 rad/s, gz =  0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.5636 A, I_w_roll =  5.2176 A, theta_pitch = -7.23332mrad, theta_roll_comp = -30.9573 mrad, theta_setpoint = -40.0000 mrad, 
msg =   77, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1542 ms, ax =  0.1295, ay = -0.4567, az =  9.9662, gx =  0.0060 rad/s, gy = -0.0227 rad/s, gz =  0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.5786 A, I_w_roll =  5.6568 A, theta_pitch = -7.79493mrad, theta_roll_comp = -31.1411 mrad, theta_setpoint = -40.0000 mrad, 
msg =   78, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1562 ms, ax =  0.1367, ay = -0.4531, az =  9.9698, gx =  0.0086 rad/s, gy = -0.0210 rad/s, gz =  0.0053 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.5907 A, I_w_roll =  6.4863 A, theta_pitch = -8.33724mrad, theta_roll_comp = -31.2809 mrad, theta_setpoint = -40.0000 mrad, 
msg =   79, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1582 ms, ax =  0.1438, ay = -0.4315, az =  9.9519, gx =  0.0106 rad/s, gy = -0.0187 rad/s, gz = -0.0047 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.5764 A, I_w_roll =  7.1588 A, theta_pitch = -8.84539mrad, theta_roll_comp = -31.3472 mrad, theta_setpoint = -40.0000 mrad, 
msg =   80, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1602 ms, ax =  0.1415, ay = -0.4052, az =  9.9686, gx =  0.0110 rad/s, gy = -0.0175 rad/s, gz = -0.0157 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.5983 A, I_w_roll =  7.3007 A, theta_pitch = -9.31098mrad, theta_roll_comp = -31.3420 mrad, theta_setpoint = -40.0000 mrad, 
msg =   81, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1622 ms, ax =  0.1426, ay = -0.3860, az =  9.9782, gx =  0.0104 rad/s, gy = -0.0151 rad/s, gz = -0.0200 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.5658 A, I_w_roll =  7.1357 A, theta_pitch = -9.73332mrad, theta_roll_comp = -31.2885 mrad, theta_setpoint = -40.0000 mrad, 
msg =   82, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1642 ms, ax =  0.1486, ay = -0.3992, az =  9.9555, gx =  0.0100 rad/s, gy = -0.0125 rad/s, gz = -0.0133 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.5150 A, I_w_roll =  7.0123 A, theta_pitch = -10.10517mrad, theta_roll_comp = -31.2475 mrad, theta_setpoint = -40.0000 mrad, 
msg =   83, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1662 ms, ax =  0.1522, ay = -0.3860, az =  9.9519, gx =  0.0098 rad/s, gy = -0.0101 rad/s, gz = -0.0045 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.4664 A, I_w_roll =  6.9338 A, theta_pitch = -10.42028mrad, theta_roll_comp = -31.2107 mrad, theta_setpoint = -40.0000 mrad, 
msg =   84, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1682 ms, ax =  0.1522, ay = -0.3608, az =  9.9854, gx =  0.0090 rad/s, gy = -0.0066 rad/s, gz = -0.0017 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.3663 A, I_w_roll =  6.6825 A, theta_pitch = -10.67606mrad, theta_roll_comp = -31.1398 mrad, theta_setpoint = -40.0000 mrad, 
msg =   85, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1702 ms, ax =  0.1726, ay = -0.3512, az =  9.9734, gx =  0.0078 rad/s, gy = -0.0036 rad/s, gz = -0.0044 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.2753 A, I_w_roll =  6.2923 A, theta_pitch = -10.88632mrad, theta_roll_comp = -31.0668 mrad, theta_setpoint = -40.0000 mrad, 
msg =   86, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1722 ms, ax =  0.1894, ay = -0.3512, az =  9.9531, gx =  0.0083 rad/s, gy =  0.0000 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.1581 A, I_w_roll =  6.5104 A, theta_pitch = -11.06350mrad, theta_roll_comp = -30.9877 mrad, theta_setpoint = -40.0000 mrad, 
msg =   87, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1742 ms, ax =  0.1846, ay = -0.3225, az =  9.9567, gx =  0.0082 rad/s, gy =  0.0035 rad/s, gz = -0.0181 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.0368 A, I_w_roll =  6.5043 A, theta_pitch = -11.17814mrad, theta_roll_comp = -30.8864 mrad, theta_setpoint = -40.0000 mrad, 
msg =   88, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1762 ms, ax =  0.1570, ay = -0.3045, az =  9.9674, gx =  0.0072 rad/s, gy =  0.0058 rad/s, gz = -0.0313 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.0508 A, I_w_roll =  6.2358 A, theta_pitch = -11.19800mrad, theta_roll_comp = -30.7420 mrad, theta_setpoint = -40.0000 mrad, 
msg =   89, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1782 ms, ax =  0.1391, ay = -0.3093, az =  9.9818, gx =  0.0051 rad/s, gy =  0.0075 rad/s, gz = -0.0427 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.1298 A, I_w_roll =  5.5415 A, theta_pitch = -11.13263mrad, theta_roll_comp = -30.6136 mrad, theta_setpoint = -40.0000 mrad, 
msg =   90, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1802 ms, ax =  0.1295, ay = -0.3428, az =  9.9483, gx =  0.0034 rad/s, gy =  0.0091 rad/s, gz = -0.0469 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.2116 A, I_w_roll =  4.9506 A, theta_pitch = -11.01353mrad, theta_roll_comp = -30.5761 mrad, theta_setpoint = -40.0000 mrad, 
msg =   91, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1822 ms, ax =  0.1007, ay = -0.3680, az =  9.9555, gx =  0.0020 rad/s, gy =  0.0095 rad/s, gz = -0.0419 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.2536 A, I_w_roll =  4.4645 A, theta_pitch = -10.84021mrad, theta_roll_comp = -30.6265 mrad, theta_setpoint = -40.0000 mrad, 
msg =   92, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1842 ms, ax =  0.0875, ay = -0.3896, az =  9.9746, gx =  0.0006 rad/s, gy =  0.0111 rad/s, gz = -0.0306 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.3525 A, I_w_roll =  3.9011 A, theta_pitch = -10.60645mrad, theta_roll_comp = -30.7534 mrad, theta_setpoint = -40.0000 mrad, 
msg =   93, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1862 ms, ax =  0.0875, ay = -0.3932, az =  9.9746, gx =  0.0002 rad/s, gy =  0.0126 rad/s, gz = -0.0176 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.4527 A, I_w_roll =  3.6959 A, theta_pitch = -10.32943mrad, theta_roll_comp = -30.9166 mrad, theta_setpoint = -40.0000 mrad, 
msg =   94, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     1882 ms, ax =  0.0779, ay = -0.3788, az =  9.9662, gx = -0.0010 rad/s, gy =  0.0131 rad/s, gz = -0.0061 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5182 A, I_w_roll =  3.2101 A, theta_pitch = -10.03483mrad, theta_roll_comp = -31.0827 mrad, theta_setpoint = -40.0000 mrad, 
msg =   95, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1902 ms, ax =  0.0731, ay = -0.3548, az =  9.9626, gx = -0.0009 rad/s, gy =  0.0143 rad/s, gz = -0.0020 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6132 A, I_w_roll =  3.2041 A, theta_pitch = -9.72051mrad, theta_roll_comp = -31.2142 mrad, theta_setpoint = -40.0000 mrad, 
msg =   96, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1922 ms, ax =  0.0647, ay = -0.3428, az =  9.9555, gx = -0.0006 rad/s, gy =  0.0148 rad/s, gz = -0.0075 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6866 A, I_w_roll =  3.2625 A, theta_pitch = -9.37371mrad, theta_roll_comp = -31.3012 mrad, theta_setpoint = -40.0000 mrad, 
msg =   97, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1942 ms, ax =  0.0539, ay = -0.3141, az =  9.9674, gx = -0.0020 rad/s, gy =  0.0145 rad/s, gz = -0.0176 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.7293 A, I_w_roll =  2.7678 A, theta_pitch = -9.01789mrad, theta_roll_comp = -31.3729 mrad, theta_setpoint = -40.0000 mrad, 
msg =   98, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1962 ms, ax =  0.0420, ay = -0.3273, az =  9.9603, gx = -0.0024 rad/s, gy =  0.0131 rad/s, gz = -0.0300 rad/s, rpm_pitch =  0.0000, rpm_roll =  1.0361, I_w_pitch = -0.7247 A, I_w_roll =  2.6331 A, theta_pitch = -8.65801mrad, theta_roll_comp = -31.4251 mrad, theta_setpoint = -40.0651 mrad, 
msg =   99, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     1982 ms, ax =  0.0312, ay = -0.3392, az =  9.9399, gx = -0.0028 rad/s, gy =  0.0110 rad/s, gz = -0.0402 rad/s, rpm_pitch =  0.0000, rpm_roll =  1.0361, I_w_pitch = -0.6892 A, I_w_roll =  2.4583 A, theta_pitch = -8.32645mrad, theta_roll_comp = -31.5125 mrad, theta_setpoint = -40.0651 mrad, 
msg =  100, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2002 ms, ax = -0.0132, ay = -0.3656, az =  9.9626, gx = -0.0041 rad/s, gy =  0.0084 rad/s, gz = -0.0457 rad/s, rpm_pitch =  0.0000, rpm_roll =  3.1417, I_w_pitch = -0.6398 A, I_w_roll =  1.9852 A, theta_pitch = -7.98131mrad, theta_roll_comp = -31.6626 mrad, theta_setpoint = -40.1973 mrad, 
msg =  101, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2022 ms, ax = -0.0396, ay = -0.3836, az =  9.9722, gx = -0.0050 rad/s, gy =  0.0058 rad/s, gz = -0.0427 rad/s, rpm_pitch =  0.0000, rpm_roll =  3.1417, I_w_pitch = -0.5856 A, I_w_roll =  1.5765 A, theta_pitch = -7.63225mrad, theta_roll_comp = -31.8687 mrad, theta_setpoint = -40.1973 mrad, 
msg =  102, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2042 ms, ax = -0.0659, ay = -0.4052, az =  9.9579, gx = -0.0057 rad/s, gy =  0.0038 rad/s, gz = -0.0336 rad/s, rpm_pitch =  0.0000, rpm_roll =  4.3449, I_w_pitch = -0.5576 A, I_w_roll =  1.2683 A, theta_pitch = -7.28664mrad, theta_roll_comp = -32.1322 mrad, theta_setpoint = -40.2729 mrad, 
msg =  103, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2062 ms, ax = -0.0587, ay = -0.3992, az =  9.9351, gx = -0.0070 rad/s, gy =  0.0015 rad/s, gz = -0.0206 rad/s, rpm_pitch =  0.0000, rpm_roll =  4.6457, I_w_pitch = -0.5149 A, I_w_roll =  0.6924 A, theta_pitch = -6.96763mrad, theta_roll_comp = -32.4258 mrad, theta_setpoint = -40.2917 mrad, 
msg =  104, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2082 ms, ax = -0.0683, ay = -0.4004, az =  9.9387, gx = -0.0067 rad/s, gy =  0.0006 rad/s, gz = -0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll =  4.6457, I_w_pitch = -0.5213 A, I_w_roll =  0.6663 A, theta_pitch = -6.67594mrad, theta_roll_comp = -32.7239 mrad, theta_setpoint = -40.2917 mrad, 
msg =  105, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2102 ms, ax = -0.0444, ay = -0.4052, az =  9.9567, gx = -0.0073 rad/s, gy = -0.0004 rad/s, gz =  0.0009 rad/s, rpm_pitch =  0.0000, rpm_roll =  4.7794, I_w_pitch = -0.5222 A, I_w_roll =  0.3652 A, theta_pitch = -6.42168mrad, theta_roll_comp = -33.0191 mrad, theta_setpoint = -40.3001 mrad, 
msg =  106, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2122 ms, ax = -0.0515, ay = -0.3848, az =  9.9543, gx = -0.0074 rad/s, gy = -0.0014 rad/s, gz =  0.0060 rad/s, rpm_pitch =  0.0000, rpm_roll =  4.7794, I_w_pitch = -0.5111 A, I_w_roll =  0.1984 A, theta_pitch = -6.21131mrad, theta_roll_comp = -33.3196 mrad, theta_setpoint = -40.3001 mrad, 
msg =  107, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2142 ms, ax = -0.0084, ay = -0.4028, az =  9.9291, gx = -0.0074 rad/s, gy = -0.0034 rad/s, gz =  0.0073 rad/s, rpm_pitch =  0.0000, rpm_roll =  4.8128, I_w_pitch = -0.4524 A, I_w_roll =  0.0809 A, theta_pitch = -6.07029mrad, theta_roll_comp = -33.6155 mrad, theta_setpoint = -40.3022 mrad, 
msg =  108, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2162 ms, ax =  0.0096, ay = -0.4196, az =  9.9291, gx = -0.0077 rad/s, gy = -0.0050 rad/s, gz =  0.0047 rad/s, rpm_pitch =  0.0000, rpm_roll =  4.8463, I_w_pitch = -0.3936 A, I_w_roll = -0.1384 A, theta_pitch = -6.03591mrad, theta_roll_comp = -33.9328 mrad, theta_setpoint = -40.3043 mrad, 
msg =  109, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2182 ms, ax =  0.0072, ay = -0.4088, az =  9.9507, gx = -0.0053 rad/s, gy = -0.0074 rad/s, gz = -0.0004 rad/s, rpm_pitch =  0.0000, rpm_roll =  4.8463, I_w_pitch = -0.2945 A, I_w_roll =  0.5889 A, theta_pitch = -6.05793mrad, theta_roll_comp = -34.2116 mrad, theta_setpoint = -40.3043 mrad, 
msg =  110, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2202 ms, ax =  0.0156, ay = -0.4315, az =  9.9579, gx = -0.0030 rad/s, gy = -0.0085 rad/s, gz = -0.0047 rad/s, rpm_pitch =  0.0000, rpm_roll =  5.9158, I_w_pitch = -0.2430 A, I_w_roll =  1.3050 A, theta_pitch = -6.11712mrad, theta_roll_comp = -34.4693 mrad, theta_setpoint = -40.3715 mrad, 
msg =  111, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2222 ms, ax =  0.0228, ay = -0.4663, az =  9.9375, gx = -0.0020 rad/s, gy = -0.0101 rad/s, gz = -0.0051 rad/s, rpm_pitch =  0.0000, rpm_roll =  5.5147, I_w_pitch = -0.1628 A, I_w_roll =  1.5592 A, theta_pitch = -6.22558mrad, theta_roll_comp = -34.7407 mrad, theta_setpoint = -40.3463 mrad, 
msg =  112, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2242 ms, ax =  0.0156, ay = -0.4471, az =  9.9483, gx = -0.0004 rad/s, gy = -0.0111 rad/s, gz = -0.0044 rad/s, rpm_pitch =  0.0000, rpm_roll =  5.5147, I_w_pitch = -0.1021 A, I_w_roll =  2.0220 A, theta_pitch = -6.34594mrad, theta_roll_comp = -34.9817 mrad, theta_setpoint = -40.3463 mrad, 
msg =  113, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2262 ms, ax =  0.0132, ay = -0.4519, az =  9.9567, gx =  0.0008 rad/s, gy = -0.0115 rad/s, gz = -0.0035 rad/s, rpm_pitch =  0.0000, rpm_roll =  4.3115, I_w_pitch = -0.0684 A, I_w_roll =  2.3412 A, theta_pitch = -6.46456mrad, theta_roll_comp = -35.1568 mrad, theta_setpoint = -40.2708 mrad, 
msg =  114, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2282 ms, ax =  0.0060, ay = -0.4471, az =  9.9519, gx =  0.0000 rad/s, gy = -0.0123 rad/s, gz = -0.0035 rad/s, rpm_pitch =  0.0000, rpm_roll =  4.3115, I_w_pitch = -0.0182 A, I_w_roll =  1.9952 A, theta_pitch = -6.58615mrad, theta_roll_comp = -35.3228 mrad, theta_setpoint = -40.2708 mrad, 
msg =  115, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2302 ms, ax =  0.0096, ay = -0.4136, az =  9.9339, gx =  0.0002 rad/s, gy = -0.0123 rad/s, gz = -0.0017 rad/s, rpm_pitch =  0.0000, rpm_roll =  5.8824, I_w_pitch =  0.0008 A, I_w_roll =  2.0310 A, theta_pitch = -6.71260mrad, theta_roll_comp = -35.4483 mrad, theta_setpoint = -40.3694 mrad, 
msg =  116, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     2322 ms, ax =  0.0264, ay = -0.4040, az =  9.9267, gx =  0.0014 rad/s, gy = -0.0122 rad/s, gz =  0.0023 rad/s, rpm_pitch =  0.0000, rpm_roll =  7.9545, I_w_pitch =  0.0172 A, I_w_roll =  2.4707 A, theta_pitch = -6.85747mrad, theta_roll_comp = -35.5280 mrad, theta_setpoint = -40.4995 mrad, 
