picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =    6, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      122 ms, ax =  0.1558, ay =  0.0060, az =  9.9483, gx = -0.0138 rad/s, gy = -0.0050 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1111 A, I_w_roll = 10.6286 A, theta_pitch = -1.25275mrad, theta_roll_comp = -1.3514 mrad, theta_setpoint = -40.0000 mrad, 
msg =   64, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1282 ms, ax =  0.2182, ay = -0.5418, az =  9.9351, gx = -0.0073 rad/s, gy = -0.0444 rad/s, gz = -0.0274 rad/s, rpm_pitch =  0.0000, rpm_roll = -22.2594, I_w_pitch = -0.2209 A, I_w_roll = -3.3257 A, theta_pitch = 3.32268mrad, theta_roll_comp = -40.5482 mrad, theta_setpoint = -38.6021 mrad, 
msg =   65, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1302 ms, ax =  0.1738, ay = -0.5358, az =  9.9171, gx = -0.0033 rad/s, gy = -0.0612 rad/s, gz = -0.0286 rad/s, rpm_pitch =  0.0000, rpm_roll = -24.5321, I_w_pitch =  0.6742 A, I_w_roll = -2.1370 A, theta_pitch = 1.82922mrad, theta_roll_comp = -40.9290 mrad, theta_setpoint = -38.4594 mrad, 
msg =   66, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1322 ms, ax =  0.1307, ay = -0.4627, az =  9.9195, gx = -0.0079 rad/s, gy = -0.0676 rad/s, gz = -0.0201 rad/s, rpm_pitch =  0.0000, rpm_roll = -24.5321, I_w_pitch =  1.1715 A, I_w_roll = -3.8899 A, theta_pitch = 0.21868mrad, theta_roll_comp = -41.2336 mrad, theta_setpoint = -38.4594 mrad, 
msg =   67, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1342 ms, ax =  0.0779, ay = -0.4363, az =  9.9519, gx = -0.0086 rad/s, gy = -0.0683 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = -30.1805, I_w_pitch =  1.4348 A, I_w_roll = -4.3677 A, theta_pitch = -1.35904mrad, theta_roll_comp = -41.4907 mrad, theta_setpoint = -38.1047 mrad, 
msg =   68, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1362 ms, ax =  0.0683, ay = -0.4903, az =  9.9770, gx = -0.0030 rad/s, gy = -0.0637 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = -30.1805, I_w_pitch =  1.4645 A, I_w_roll = -2.5387 A, theta_pitch = -2.76480mrad, theta_roll_comp = -41.8117 mrad, theta_setpoint = -38.1047 mrad, 
msg =   69, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1382 ms, ax =  0.0348, ay = -0.5107, az =  9.9375, gx = -0.0073 rad/s, gy = -0.0539 rad/s, gz = -0.0064 rad/s, rpm_pitch =  0.0000, rpm_roll = -35.3610, I_w_pitch =  1.2493 A, I_w_roll = -4.2690 A, theta_pitch = -3.95730mrad, theta_roll_comp = -42.0838 mrad, theta_setpoint = -37.7793 mrad, 
msg =   70, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1402 ms, ax =  0.0312, ay = -0.4927, az =  9.9710, gx = -0.0085 rad/s, gy = -0.0430 rad/s, gz = -0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = -37.7674, I_w_pitch =  0.9542 A, I_w_roll = -4.8417 A, theta_pitch = -4.90193mrad, theta_roll_comp = -42.3159 mrad, theta_setpoint = -37.6282 mrad, 
msg =   71, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1422 ms, ax =  0.0479, ay = -0.5095, az =  9.9818, gx = -0.0021 rad/s, gy = -0.0331 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -37.7674, I_w_pitch =  0.6680 A, I_w_roll = -2.7164 A, theta_pitch = -5.62145mrad, theta_roll_comp = -42.5951 mrad, theta_setpoint = -37.6282 mrad, 
msg =   72, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1442 ms, ax =  0.0755, ay = -0.5310, az =  9.9351, gx = -0.0043 rad/s, gy = -0.0235 rad/s, gz = -0.0131 rad/s, rpm_pitch =  0.0000, rpm_roll = -43.2487, I_w_pitch =  0.3693 A, I_w_roll = -3.7252 A, theta_pitch = -6.18673mrad, theta_roll_comp = -42.7921 mrad, theta_setpoint = -37.2840 mrad, 
msg =   73, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1462 ms, ax =  0.1259, ay = -0.5286, az =  9.9519, gx = -0.0065 rad/s, gy = -0.0183 rad/s, gz = -0.0164 rad/s, rpm_pitch =  0.0000, rpm_roll = -49.0976, I_w_pitch =  0.2383 A, I_w_roll = -4.7092 A, theta_pitch = -6.69790mrad, theta_roll_comp = -43.0206 mrad, theta_setpoint = -36.9167 mrad, 
msg =   74, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1482 ms, ax =  0.1450, ay = -0.5442, az =  9.9615, gx =  0.0016 rad/s, gy = -0.0163 rad/s, gz = -0.0200 rad/s, rpm_pitch =  0.0000, rpm_roll = -49.0976, I_w_pitch =  0.2291 A, I_w_roll = -1.9367 A, theta_pitch = -7.16909mrad, theta_roll_comp = -43.1966 mrad, theta_setpoint = -36.9167 mrad, 
msg =   75, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1502 ms, ax =  0.1355, ay = -0.4879, az =  9.9375, gx = -0.0006 rad/s, gy = -0.0155 rad/s, gz = -0.0177 rad/s, rpm_pitch =  0.0000, rpm_roll = -52.3061, I_w_pitch =  0.2649 A, I_w_roll = -2.8663 A, theta_pitch = -7.62130mrad, theta_roll_comp = -43.3384 mrad, theta_setpoint = -36.7152 mrad, 
msg =   76, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1522 ms, ax =  0.1522, ay = -0.4627, az =  9.9686, gx = -0.0037 rad/s, gy = -0.0170 rad/s, gz = -0.0154 rad/s, rpm_pitch =  0.0000, rpm_roll = -52.3061, I_w_pitch =  0.3924 A, I_w_roll = -3.9974 A, theta_pitch = -8.08070mrad, theta_roll_comp = -43.4864 mrad, theta_setpoint = -36.7152 mrad, 
msg =   77, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1542 ms, ax =  0.1654, ay = -0.4807, az =  9.9519, gx =  0.0023 rad/s, gy = -0.0198 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.8877, I_w_pitch =  0.5813 A, I_w_roll = -2.0848 A, theta_pitch = -8.59439mrad, theta_roll_comp = -43.5974 mrad, theta_setpoint = -36.3647 mrad, 
msg =   78, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1562 ms, ax =  0.1582, ay = -0.4615, az =  9.9351, gx =  0.0004 rad/s, gy = -0.0222 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -60.7955, I_w_pitch =  0.7619 A, I_w_roll = -2.8511 A, theta_pitch = -9.15886mrad, theta_roll_comp = -43.6993 mrad, theta_setpoint = -36.1820 mrad, 
msg =   79, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1582 ms, ax =  0.1894, ay = -0.4747, az =  9.9495, gx = -0.0030 rad/s, gy = -0.0241 rad/s, gz = -0.0059 rad/s, rpm_pitch =  0.0000, rpm_roll = -60.7955, I_w_pitch =  0.9306 A, I_w_roll = -4.1195 A, theta_pitch = -9.78643mrad, theta_roll_comp = -43.8411 mrad, theta_setpoint = -36.1820 mrad, 
msg =   80, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1602 ms, ax =  0.1403, ay = -0.4855, az =  9.9626, gx =  0.0032 rad/s, gy = -0.0265 rad/s, gz = -0.0057 rad/s, rpm_pitch =  0.0000, rpm_roll = -65.8088, I_w_pitch =  1.1209 A, I_w_roll = -2.0836 A, theta_pitch = -10.41595mrad, theta_roll_comp = -43.9124 mrad, theta_setpoint = -35.8672 mrad, 
msg =   81, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1622 ms, ax =  0.1307, ay = -0.5442, az =  9.9291, gx = -0.0002 rad/s, gy = -0.0266 rad/s, gz = -0.0044 rad/s, rpm_pitch =  0.0000, rpm_roll = -65.8088, I_w_pitch =  1.2139 A, I_w_roll = -3.3309 A, theta_pitch = -11.00086mrad, theta_roll_comp = -44.0013 mrad, theta_setpoint = -35.8672 mrad, 
msg =   82, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1642 ms, ax =  0.1498, ay = -0.4663, az =  9.9650, gx = -0.0026 rad/s, gy = -0.0261 rad/s, gz = -0.0051 rad/s, rpm_pitch =  0.0000, rpm_roll = -71.0562, I_w_pitch =  1.2819 A, I_w_roll = -4.3414 A, theta_pitch = -11.59574mrad, theta_roll_comp = -44.1009 mrad, theta_setpoint = -35.5377 mrad, 
msg =   83, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1662 ms, ax =  0.1522, ay = -0.4279, az =  9.9818, gx =  0.0040 rad/s, gy = -0.0243 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -73.6297, I_w_pitch =  1.2971 A, I_w_roll = -2.0958 A, theta_pitch = -12.15896mrad, theta_roll_comp = -44.1509 mrad, theta_setpoint = -35.3761 mrad, 
msg =   84, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1682 ms, ax =  0.1223, ay = -0.4759, az =  9.9543, gx =  0.0014 rad/s, gy = -0.0210 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -73.6297, I_w_pitch =  1.2365 A, I_w_roll = -3.0586 A, theta_pitch = -12.64259mrad, theta_roll_comp = -44.2277 mrad, theta_setpoint = -35.3761 mrad, 
msg =   85, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1702 ms, ax =  0.1187, ay = -0.4531, az =  9.9758, gx = -0.0024 rad/s, gy = -0.0171 rad/s, gz = -0.0144 rad/s, rpm_pitch =  0.0000, rpm_roll = -78.5094, I_w_pitch =  1.1394 A, I_w_roll = -4.5211 A, theta_pitch = -13.02486mrad, theta_roll_comp = -44.3153 mrad, theta_setpoint = -35.0696 mrad, 
msg =   86, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1722 ms, ax =  0.1570, ay = -0.4507, az =  9.9830, gx =  0.0027 rad/s, gy = -0.0154 rad/s, gz = -0.0188 rad/s, rpm_pitch =  4.4978, rpm_roll = -78.5094, I_w_pitch =  7.0525 A, I_w_roll = -2.7535 A, theta_pitch = -13.36223mrad, theta_roll_comp = -44.3236 mrad, theta_setpoint = -35.0696 mrad, 
msg =   87, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1742 ms, ax =  0.1450, ay = -0.5322, az =  9.9806, gx =  0.0040 rad/s, gy = -0.0130 rad/s, gz = -0.0224 rad/s, rpm_pitch =  0.3057, rpm_roll = -83.5896, I_w_pitch =  1.4759 A, I_w_roll = -2.4061 A, theta_pitch = -13.68160mrad, theta_roll_comp = -44.3011 mrad, theta_setpoint = -34.7506 mrad, 
msg =   88, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1762 ms, ax = -0.0899, ay = -0.5107, az = 10.0478, gx = -0.0065 rad/s, gy =  0.0056 rad/s, gz = -0.0206 rad/s, rpm_pitch =  0.3057, rpm_roll = -86.2299, I_w_pitch =  0.7062 A, I_w_roll = -6.1811 A, theta_pitch = -13.52107mrad, theta_roll_comp = -44.3686 mrad, theta_setpoint = -34.5848 mrad, 
msg =   89, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1782 ms, ax = -0.0012, ay = -0.4136, az = 10.0442, gx =  0.0059 rad/s, gy =  0.0367 rad/s, gz = -0.0318 rad/s, rpm_pitch =  0.0000, rpm_roll = -86.2299, I_w_pitch = -1.0206 A, I_w_roll = -1.7964 A, theta_pitch = -12.97003mrad, theta_roll_comp = -44.2421 mrad, theta_setpoint = -34.5848 mrad, 
msg =   90, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1802 ms, ax =  0.1391, ay = -0.5694, az =  9.9794, gx =  0.0090 rad/s, gy =  0.0582 rad/s, gz = -0.0395 rad/s, rpm_pitch =  0.0000, rpm_roll = -91.5775, I_w_pitch = -2.0373 A, I_w_roll = -0.8689 A, theta_pitch = -11.94419mrad, theta_roll_comp = -44.2674 mrad, theta_setpoint = -34.2489 mrad, 
msg =   91, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1822 ms, ax =  0.1175, ay = -0.4663, az =  9.9962, gx =  0.0000 rad/s, gy =  0.0666 rad/s, gz = -0.0365 rad/s, rpm_pitch =  0.0000, rpm_roll = -91.5775, I_w_pitch = -2.5520 A, I_w_roll = -3.9367 A, theta_pitch = -10.75023mrad, theta_roll_comp = -44.1305 mrad, theta_setpoint = -34.2489 mrad, 
msg =   92, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1842 ms, ax =  0.1259, ay = -0.4543, az =  9.9686, gx =  0.0040 rad/s, gy =  0.0643 rad/s, gz = -0.0378 rad/s, rpm_pitch =  0.0000, rpm_roll = -97.0588, I_w_pitch = -2.6553 A, I_w_roll = -2.6385 A, theta_pitch = -9.45744mrad, theta_roll_comp = -44.0363 mrad, theta_setpoint = -33.9047 mrad, 
msg =   93, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1862 ms, ax =  0.1295, ay = -0.4064, az =  9.9207, gx =  0.0002 rad/s, gy =  0.0581 rad/s, gz = -0.0293 rad/s, rpm_pitch =  0.0000, rpm_roll = -99.6324, I_w_pitch = -2.5772 A, I_w_roll = -4.0434 A, theta_pitch = -8.30972mrad, theta_roll_comp = -44.0081 mrad, theta_setpoint = -33.7431 mrad, 
msg =   94, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1882 ms, ax =  0.1750, ay = -0.3081, az =  9.9686, gx = -0.0054 rad/s, gy =  0.0496 rad/s, gz = -0.0160 rad/s, rpm_pitch =  0.0000, rpm_roll = -99.6324, I_w_pitch = -2.3698 A, I_w_roll = -6.0211 A, theta_pitch = -7.41948mrad, theta_roll_comp = -44.0590 mrad, theta_setpoint = -33.7431 mrad, 
msg =   95, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1902 ms, ax =  0.1810, ay = -0.2661, az = 10.0226, gx =  0.0052 rad/s, gy =  0.0375 rad/s, gz = -0.0063 rad/s, rpm_pitch =  3.4061, rpm_roll = -104.4118, I_w_pitch =  2.5084 A, I_w_roll = -2.4612 A, theta_pitch = -6.76357mrad, theta_roll_comp = -44.1798 mrad, theta_setpoint = -33.4429 mrad, 
msg =   96, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1922 ms, ax =  0.1930, ay = -0.4028, az =  9.9591, gx =  0.0058 rad/s, gy =  0.0263 rad/s, gz =  0.0067 rad/s, rpm_pitch =  3.4061, rpm_roll = -106.9853, I_w_pitch =  2.8951 A, I_w_roll = -2.3897 A, theta_pitch = -6.35840mrad, theta_roll_comp = -44.3055 mrad, theta_setpoint = -33.2813 mrad, 
msg =   97, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1942 ms, ax =  0.1403, ay = -0.5802, az =  9.9411, gx = -0.0014 rad/s, gy =  0.0204 rad/s, gz =  0.0144 rad/s, rpm_pitch =  0.4367, rpm_roll = -106.9853, I_w_pitch = -0.8323 A, I_w_roll = -4.9455 A, theta_pitch = -6.05416mrad, theta_roll_comp = -44.4034 mrad, theta_setpoint = -33.2813 mrad, 
msg =   98, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1962 ms, ax =  0.1079, ay = -0.6677, az =  9.9387, gx =  0.0060 rad/s, gy =  0.0241 rad/s, gz =  0.0109 rad/s, rpm_pitch =  0.4367, rpm_roll = -112.6003, I_w_pitch = -1.0215 A, I_w_roll = -2.4868 A, theta_pitch = -5.78680mrad, theta_roll_comp = -44.4285 mrad, theta_setpoint = -32.9287 mrad, 
msg =   99, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     1982 ms, ax =  0.0995, ay = -0.6509, az =  9.9303, gx =  0.0106 rad/s, gy =  0.0303 rad/s, gz =  0.0041 rad/s, rpm_pitch =  0.0000, rpm_roll = -112.6003, I_w_pitch = -1.9028 A, I_w_roll = -0.8937 A, theta_pitch = -5.38464mrad, theta_roll_comp = -44.4071 mrad, theta_setpoint = -32.9287 mrad, 
msg =  100, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2002 ms, ax =  0.0563, ay = -0.4915, az =  9.9615, gx =  0.0050 rad/s, gy =  0.0303 rad/s, gz = -0.0052 rad/s, rpm_pitch =  0.0000, rpm_roll = -118.4158, I_w_pitch = -1.9799 A, I_w_roll = -3.0066 A, theta_pitch = -4.87065mrad, theta_roll_comp = -44.4307 mrad, theta_setpoint = -32.5635 mrad, 
msg =  101, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2022 ms, ax =  0.1259, ay = -0.5262, az =  9.8847, gx =  0.0040 rad/s, gy =  0.0255 rad/s, gz = -0.0200 rad/s, rpm_pitch =  0.0000, rpm_roll = -121.1230, I_w_pitch = -1.8502 A, I_w_roll = -3.3976 A, theta_pitch = -4.45713mrad, theta_roll_comp = -44.4229 mrad, theta_setpoint = -32.3935 mrad, 
msg =  102, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2042 ms, ax =  0.1151, ay = -0.4387, az =  9.8967, gx =  0.0054 rad/s, gy =  0.0164 rad/s, gz = -0.0272 rad/s, rpm_pitch =  0.0000, rpm_roll = -121.1230, I_w_pitch = -1.5170 A, I_w_roll = -2.8670 A, theta_pitch = -4.26378mrad, theta_roll_comp = -44.2614 mrad, theta_setpoint = -32.3935 mrad, 
msg =  103, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2062 ms, ax =  0.1738, ay = -0.4339, az =  9.9171, gx =  0.0060 rad/s, gy =  0.0048 rad/s, gz = -0.0352 rad/s, rpm_pitch =  0.0000, rpm_roll = -126.1029, I_w_pitch = -1.0468 A, I_w_roll = -2.7809 A, theta_pitch = -4.30928mrad, theta_roll_comp = -44.3160 mrad, theta_setpoint = -32.0807 mrad, 
msg =  104, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2082 ms, ax =  0.1966, ay = -0.4423, az =  9.9243, gx =  0.0071 rad/s, gy = -0.0086 rad/s, gz = -0.0312 rad/s, rpm_pitch =  0.0000, rpm_roll = -126.1029, I_w_pitch = -0.4561 A, I_w_roll = -2.3840 A, theta_pitch = -4.66071mrad, theta_roll_comp = -44.2558 mrad, theta_setpoint = -32.0807 mrad, 
msg =  105, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2102 ms, ax =  0.1786, ay = -0.4435, az =  9.9543, gx =  0.0091 rad/s, gy = -0.0202 rad/s, gz = -0.0220 rad/s, rpm_pitch =  0.0000, rpm_roll = -130.7152, I_w_pitch =  0.0964 A, I_w_roll = -1.7629 A, theta_pitch = -5.25496mrad, theta_roll_comp = -44.1611 mrad, theta_setpoint = -31.7911 mrad, 
msg =  106, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2122 ms, ax =  0.1642, ay = -0.5562, az =  9.9746, gx =  0.0122 rad/s, gy = -0.0305 rad/s, gz = -0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = -133.0214, I_w_pitch =  0.6147 A, I_w_roll = -0.7602 A, theta_pitch = -5.97599mrad, theta_roll_comp = -44.1890 mrad, theta_setpoint = -31.6463 mrad, 
msg =  107, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2142 ms, ax =  0.1259, ay = -0.5634, az =  9.9543, gx =  0.0086 rad/s, gy = -0.0349 rad/s, gz =  0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -133.0214, I_w_pitch =  0.9098 A, I_w_roll = -1.9820 A, theta_pitch = -6.77202mrad, theta_roll_comp = -44.0978 mrad, theta_setpoint = -31.6463 mrad, 
msg =  108, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2162 ms, ax =  0.0923, ay = -0.5526, az =  9.9722, gx =  0.0112 rad/s, gy = -0.0345 rad/s, gz =  0.0188 rad/s, rpm_pitch =  0.0000, rpm_roll = -137.3663, I_w_pitch =  1.0068 A, I_w_roll = -1.1385 A, theta_pitch = -7.52522mrad, theta_roll_comp = -44.0463 mrad, theta_setpoint = -31.3734 mrad, 
msg =  109, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2182 ms, ax =  0.0911, ay = -0.4807, az =  9.9567, gx =  0.0151 rad/s, gy = -0.0307 rad/s, gz =  0.0194 rad/s, rpm_pitch =  0.0000, rpm_roll = -137.3663, I_w_pitch =  0.9597 A, I_w_roll =  0.2819 A, theta_pitch = -8.20538mrad, theta_roll_comp = -43.8744 mrad, theta_setpoint = -31.3734 mrad, 
msg =  110, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2202 ms, ax =  0.0515, ay = -0.4136, az =  9.9674, gx =  0.0150 rad/s, gy = -0.0231 rad/s, gz =  0.0069 rad/s, rpm_pitch =  0.0000, rpm_roll = -140.8422, I_w_pitch =  0.7333 A, I_w_roll =  0.2647 A, theta_pitch = -8.71992mrad, theta_roll_comp = -43.5824 mrad, theta_setpoint = -31.1551 mrad, 
msg =  111, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2222 ms, ax =  0.1175, ay = -0.4040, az =  9.9662, gx =  0.0128 rad/s, gy = -0.0145 rad/s, gz = -0.0174 rad/s, rpm_pitch =  0.0000, rpm_roll = -141.8783, I_w_pitch =  0.4459 A, I_w_roll = -0.3411 A, theta_pitch = -9.11195mrad, theta_roll_comp = -43.1678 mrad, theta_setpoint = -31.0900 mrad, 
msg =  112, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2242 ms, ax =  0.1606, ay = -0.3488, az =  9.9854, gx =  0.0159 rad/s, gy = -0.0066 rad/s, gz = -0.0430 rad/s, rpm_pitch =  0.0000, rpm_roll = -141.8783, I_w_pitch =  0.1736 A, I_w_roll =  0.9226 A, theta_pitch = -9.39116mrad, theta_roll_comp = -42.6882 mrad, theta_setpoint = -31.0900 mrad, 
msg =  113, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2262 ms, ax =  0.0372, ay = -0.3848, az =  9.9926, gx =  0.0140 rad/s, gy = -0.0022 rad/s, gz = -0.0575 rad/s, rpm_pitch =  0.0000, rpm_roll = -143.9171, I_w_pitch =  0.0164 A, I_w_roll =  0.4091 A, theta_pitch = -9.51531mrad, theta_roll_comp = -42.2129 mrad, theta_setpoint = -30.9620 mrad, 
msg =  114, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2282 ms, ax =  0.0851, ay = -0.3596, az =  9.9890, gx =  0.0092 rad/s, gy =  0.0000 rad/s, gz = -0.0583 rad/s, rpm_pitch =  0.0000, rpm_roll = -143.9171, I_w_pitch = -0.0709 A, I_w_roll = -1.1457 A, theta_pitch = -9.53691mrad, theta_roll_comp = -41.9054 mrad, theta_setpoint = -30.9620 mrad, 
msg =  115, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2302 ms, ax =  0.0959, ay = -0.3776, az =  9.9662, gx =  0.0088 rad/s, gy = -0.0014 rad/s, gz = -0.0426 rad/s, rpm_pitch =  0.0000, rpm_roll = -144.8864, I_w_pitch = -0.0121 A, I_w_roll = -1.2134 A, theta_pitch = -9.53802mrad, theta_roll_comp = -41.6643 mrad, theta_setpoint = -30.9011 mrad, 
msg =  116, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2322 ms, ax =  0.1319, ay = -0.3812, az = 10.0286, gx =  0.0138 rad/s, gy = -0.0044 rad/s, gz = -0.0185 rad/s, rpm_pitch =  0.0000, rpm_roll = -144.8864, I_w_pitch =  0.1188 A, I_w_roll =  0.5722 A, theta_pitch = -9.62977mrad, theta_roll_comp = -41.5111 mrad, theta_setpoint = -30.9011 mrad, 
msg =  117, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2342 ms, ax =  0.1163, ay = -0.4543, az = 10.0022, gx =  0.0043 rad/s, gy = -0.0072 rad/s, gz =  0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -144.8864, I_w_pitch =  0.2548 A, I_w_roll = -2.6930 A, theta_pitch = -9.79094mrad, theta_roll_comp = -41.4019 mrad, theta_setpoint = -30.9011 mrad, 
msg =  118, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2362 ms, ax =  0.1247, ay = -0.3716, az = 10.0082, gx =  0.0019 rad/s, gy = -0.0093 rad/s, gz =  0.0305 rad/s, rpm_pitch =  0.0000, rpm_roll = -145.5214, I_w_pitch =  0.3768 A, I_w_roll = -3.5313 A, theta_pitch = -10.03621mrad, theta_roll_comp = -41.3605 mrad, theta_setpoint = -30.8613 mrad, 
msg =  119, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2382 ms, ax =  0.1187, ay = -0.4124, az =  9.9854, gx =  0.0002 rad/s, gy = -0.0101 rad/s, gz =  0.0367 rad/s, rpm_pitch =  0.0000, rpm_roll = -145.4545, I_w_pitch =  0.4503 A, I_w_roll = -4.1134 A, theta_pitch = -10.31316mrad, theta_roll_comp = -41.3055 mrad, theta_setpoint = -30.8655 mrad, 
msg =  120, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2402 ms, ax =  0.1283, ay = -0.3452, az = 10.0130, gx =  0.0040 rad/s, gy = -0.0100 rad/s, gz =  0.0249 rad/s, rpm_pitch =  0.0000, rpm_roll = -145.4545, I_w_pitch =  0.4873 A, I_w_roll = -2.7504 A, theta_pitch = -10.59498mrad, theta_roll_comp = -41.2767 mrad, theta_setpoint = -30.8655 mrad, 
msg =  121, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2422 ms, ax =  0.1199, ay = -0.3644, az = 10.0226, gx =  0.0011 rad/s, gy = -0.0056 rad/s, gz = -0.0007 rad/s, rpm_pitch =  0.0000, rpm_roll = -147.0588, I_w_pitch =  0.3472 A, I_w_roll = -3.7699 A, theta_pitch = -10.83314mrad, theta_roll_comp = -41.1615 mrad, theta_setpoint = -30.7647 mrad, 
msg =  122, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =     2442 ms, ax =  0.1774, ay = -0.3704, az =  9.9758, gx =  0.0130 rad/s, gy = -0.0012 rad/s, gz = -0.0330 rad/s, rpm_pitch =  0.0000, rpm_roll = -147.0588, I_w_pitch =  0.1876 A, I_w_roll =  0.4385 A, theta_pitch = -10.94080mrad, theta_roll_comp = -41.0099 mrad, theta_setpoint = -30.7647 mrad, 
