picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch =  0.0020 A, I_w_roll =  0.0000 A, theta_roll_comp =  0.0000 mrad, theta_setpoint = 1221724868382616705607437123584.0000 mrad, 
msg =   69, time steps =   10, qsz =    2, switch = on, t =     1382 ms, ax =  0.6018, ay = -0.3944, az =  9.9986, gx =  0.0068 rad/s, gy =  0.0035 rad/s, gz = -0.0053 rad/s, erpm_pitch =    0, erpm_roll =  -56, I_w_pitch = -0.0000 A, I_w_roll = -4.0965 A, theta_roll_comp = -22.0879 mrad, theta_setpoint = -40.0000 mrad, 
msg =   70, time steps =   10, qsz =    2, switch = on, t =     1402 ms, ax =  0.5802, ay = -0.4004, az =  9.9447, gx =  0.0108 rad/s, gy =  0.0027 rad/s, gz = -0.0013 rad/s, erpm_pitch =    0, erpm_roll = -257, I_w_pitch = -0.0000 A, I_w_roll = -4.8147 A, theta_roll_comp = -22.0934 mrad, theta_setpoint = -40.0000 mrad, 
msg =   71, time steps =   10, qsz =    2, switch = on, t =     1422 ms, ax =  0.5466, ay = -0.2889, az =  9.9075, gx =  0.0038 rad/s, gy =  0.0026 rad/s, gz =  0.0015 rad/s, erpm_pitch =    0, erpm_roll = -257, I_w_pitch = -0.0000 A, I_w_roll = -3.5539 A, theta_roll_comp = -22.0336 mrad, theta_setpoint = -40.0000 mrad, 
msg =   72, time steps =   10, qsz =    2, switch = on, t =     1442 ms, ax =  0.5658, ay = -0.1558, az =  9.9279, gx = -0.0013 rad/s, gy =  0.0042 rad/s, gz = -0.0012 rad/s, erpm_pitch =    0, erpm_roll = -162, I_w_pitch = -0.0000 A, I_w_roll = -2.6653 A, theta_roll_comp = -21.8956 mrad, theta_setpoint = -40.0000 mrad, 
msg =   73, time steps =   10, qsz =    2, switch = on, t =     1462 ms, ax =  0.5802, ay = -0.1319, az =  9.9626, gx =  0.0054 rad/s, gy =  0.0010 rad/s, gz =  0.0009 rad/s, erpm_pitch =    0, erpm_roll = -162, I_w_pitch = -0.0000 A, I_w_roll = -3.9120 A, theta_roll_comp = -21.5932 mrad, theta_setpoint = -40.0000 mrad, 
msg =   74, time steps =   10, qsz =    2, switch = on, t =     1482 ms, ax =  0.5262, ay = -0.2745, az =  9.9555, gx =  0.0140 rad/s, gy =  0.0000 rad/s, gz = -0.0005 rad/s, erpm_pitch =    0, erpm_roll = -141, I_w_pitch = -0.0000 A, I_w_roll = -5.5184 A, theta_roll_comp = -21.2903 mrad, theta_setpoint = -40.0000 mrad, 
msg =   75, time steps =   10, qsz =    2, switch = on, t =     1502 ms, ax =  0.5214, ay = -0.4999, az =  9.9231, gx =  0.0156 rad/s, gy =  0.0004 rad/s, gz = -0.0009 rad/s, erpm_pitch =    0, erpm_roll = -142, I_w_pitch = -0.0000 A, I_w_roll = -5.7888 A, theta_roll_comp = -21.3979 mrad, theta_setpoint = -40.0000 mrad, 
msg =   76, time steps =   10, qsz =    2, switch = on, t =     1522 ms, ax =  0.5898, ay = -1.4025, az =  9.7613, gx =  0.0180 rad/s, gy = -0.0008 rad/s, gz =  0.0051 rad/s, erpm_pitch =    0, erpm_roll = -142, I_w_pitch = -0.0000 A, I_w_roll = -6.0692 A, theta_roll_comp = -22.3416 mrad, theta_setpoint = -40.0000 mrad, 
msg =   77, time steps =   10, qsz =    2, switch = on, t =     1542 ms, ax =  0.6377, ay = -0.6030, az =  9.9255, gx =  0.0072 rad/s, gy =  0.0016 rad/s, gz =  0.0033 rad/s, erpm_pitch =    0, erpm_roll = -603, I_w_pitch = -0.0000 A, I_w_roll = -4.0745 A, theta_roll_comp = -22.6746 mrad, theta_setpoint = -40.0000 mrad, 
msg =   78, time steps =   10, qsz =    2, switch = on, t =     1562 ms, ax =  0.7180, ay = -0.1438, az = 10.0561, gx =  0.0114 rad/s, gy =  0.0067 rad/s, gz = -0.0049 rad/s, erpm_pitch =    0, erpm_roll = -603, I_w_pitch = -0.0000 A, I_w_roll = -4.9000 A, theta_roll_comp = -22.1593 mrad, theta_setpoint = -40.0000 mrad, 
msg =   79, time steps =   10, qsz =    2, switch = on, t =     1582 ms, ax =  0.7084, ay = -0.2397, az =  9.9075, gx =  0.0259 rad/s, gy =  0.0014 rad/s, gz =  0.0043 rad/s, erpm_pitch =    0, erpm_roll = -673, I_w_pitch = -0.0000 A, I_w_roll = -7.6473 A, theta_roll_comp = -21.3166 mrad, theta_setpoint = -40.0000 mrad, 
msg =   80, time steps =   10, qsz =    2, switch = on, t =     1602 ms, ax =  0.5442, ay = -0.2326, az =  9.9063, gx =  0.0156 rad/s, gy =  0.0032 rad/s, gz = -0.0027 rad/s, erpm_pitch =    0, erpm_roll = -786, I_w_pitch = -0.0000 A, I_w_roll = -5.8956 A, theta_roll_comp = -20.7305 mrad, theta_setpoint = -40.0000 mrad, 
msg =   81, time steps =   10, qsz =    2, switch = on, t =     1622 ms, ax =  0.5706, ay =  0.0144, az =  9.9243, gx = -0.0022 rad/s, gy =  0.0098 rad/s, gz = -0.0121 rad/s, erpm_pitch =    0, erpm_roll = -786, I_w_pitch = -0.0000 A, I_w_roll = -2.7642 A, theta_roll_comp = -20.2283 mrad, theta_setpoint = -40.0000 mrad, 
msg =   82, time steps =   10, qsz =    2, switch = on, t =     1642 ms, ax =  0.5526, ay =  0.1486, az =  9.9854, gx =  0.0016 rad/s, gy =  0.0046 rad/s, gz = -0.0007 rad/s, erpm_pitch =    0, erpm_roll = -1145, I_w_pitch = -0.0000 A, I_w_roll = -3.5554 A, theta_roll_comp = -19.6278 mrad, theta_setpoint = -40.0000 mrad, 
msg =   83, time steps =   10, qsz =    2, switch = on, t =     1662 ms, ax =  0.4747, ay = -0.0096, az =  9.9375, gx =  0.0059 rad/s, gy =  0.0006 rad/s, gz =  0.0036 rad/s, erpm_pitch =    0, erpm_roll = -1145, I_w_pitch = -0.0000 A, I_w_roll = -4.4225 A, theta_roll_comp = -19.0018 mrad, theta_setpoint = -40.0000 mrad, 
msg =   84, time steps =   10, qsz =    2, switch = on, t =     1682 ms, ax =  0.4735, ay = -0.1151, az =  9.8703, gx = -0.0115 rad/s, gy =  0.0012 rad/s, gz = -0.0012 rad/s, erpm_pitch =    0, erpm_roll = -1685, I_w_pitch = -0.0000 A, I_w_roll = -1.3178 A, theta_roll_comp = -18.7825 mrad, theta_setpoint = -40.0000 mrad, 
msg =   85, time steps =   10, qsz =    2, switch = on, t =     1702 ms, ax =  0.5214, ay =  0.0851, az =  9.9591, gx = -0.0203 rad/s, gy =  0.0002 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll = -1978, I_w_pitch = -0.0000 A, I_w_roll =  0.2572 A, theta_roll_comp = -18.7400 mrad, theta_setpoint = -40.0000 mrad, 
msg =   86, time steps =   10, qsz =    2, switch = on, t =     1722 ms, ax =  0.5742, ay =  0.0659, az =  9.9794, gx = -0.0123 rad/s, gy = -0.0032 rad/s, gz =  0.0056 rad/s, erpm_pitch =    0, erpm_roll = -1978, I_w_pitch = -0.0000 A, I_w_roll = -1.2079 A, theta_roll_comp = -18.5707 mrad, theta_setpoint = -40.0000 mrad, 
msg =   87, time steps =   10, qsz =    2, switch = on, t =     1742 ms, ax =  0.5778, ay = -0.1199, az =  9.9267, gx = -0.0193 rad/s, gy = -0.0030 rad/s, gz =  0.0067 rad/s, erpm_pitch =    0, erpm_roll = -2598, I_w_pitch = -0.0000 A, I_w_roll =  0.0444 A, theta_roll_comp = -18.6082 mrad, theta_setpoint = -40.0000 mrad, 
msg =   88, time steps =   10, qsz =    2, switch = on, t =     1762 ms, ax =  0.5814, ay = -0.0468, az =  9.9387, gx = -0.0340 rad/s, gy =  0.0019 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll = -2895, I_w_pitch = -0.0000 A, I_w_roll =  2.7531 A, theta_roll_comp = -18.9100 mrad, theta_setpoint = -40.0000 mrad, 
msg =   89, time steps =   10, qsz =    2, switch = on, t =     1782 ms, ax =  0.6737, ay =  0.0491, az =  9.9842, gx = -0.0326 rad/s, gy =  0.0020 rad/s, gz =  0.0035 rad/s, erpm_pitch =    0, erpm_roll = -2895, I_w_pitch = -0.0000 A, I_w_roll =  2.5389 A, theta_roll_comp = -19.2189 mrad, theta_setpoint = -40.0000 mrad, 
msg =   90, time steps =   10, qsz =    2, switch = on, t =     1802 ms, ax =  0.6090, ay = -0.0719, az =  9.9591, gx = -0.0279 rad/s, gy =  0.0011 rad/s, gz =  0.0027 rad/s, erpm_pitch =    0, erpm_roll = -3441, I_w_pitch = -0.0000 A, I_w_roll =  1.7519 A, theta_roll_comp = -19.5430 mrad, theta_setpoint = -40.0000 mrad, 
msg =   91, time steps =   10, qsz =    2, switch = on, t =     1822 ms, ax =  0.5706, ay = -0.2493, az =  9.9063, gx = -0.0376 rad/s, gy =  0.0039 rad/s, gz = -0.0024 rad/s, erpm_pitch =    0, erpm_roll = -3441, I_w_pitch = -0.0000 A, I_w_roll =  3.6110 A, theta_roll_comp = -20.2271 mrad, theta_setpoint = -40.0000 mrad, 
msg =   92, time steps =   10, qsz =    2, switch = on, t =     1842 ms, ax =  0.5610, ay = -0.0839, az =  9.9615, gx = -0.0420 rad/s, gy =  0.0039 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll = -3903, I_w_pitch = -0.0000 A, I_w_roll =  4.5173 A, theta_roll_comp = -20.9483 mrad, theta_setpoint = -40.0000 mrad, 
msg =   93, time steps =   10, qsz =    2, switch = on, t =     1862 ms, ax =  0.5202, ay = -0.1666, az =  9.9674, gx = -0.0331 rad/s, gy =  0.0012 rad/s, gz =  0.0032 rad/s, erpm_pitch =    0, erpm_roll = -4084, I_w_pitch = -0.0000 A, I_w_roll =  3.0174 A, theta_roll_comp = -21.6104 mrad, theta_setpoint = -40.0000 mrad, 
msg =   94, time steps =   10, qsz =    2, switch = on, t =     1882 ms, ax =  0.4747, ay = -0.2733, az =  9.9171, gx = -0.0336 rad/s, gy = -0.0004 rad/s, gz = -0.0012 rad/s, erpm_pitch =    0, erpm_roll = -4084, I_w_pitch = -0.0000 A, I_w_roll =  3.2376 A, theta_roll_comp = -22.3876 mrad, theta_setpoint = -40.0000 mrad, 
msg =   95, time steps =   10, qsz =    2, switch = on, t =     1902 ms, ax =  0.5334, ay = -0.2457, az =  9.9387, gx = -0.0391 rad/s, gy = -0.0005 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll = -4391, I_w_pitch = -0.0000 A, I_w_roll =  4.3553 A, theta_roll_comp = -23.2312 mrad, theta_setpoint = -40.0000 mrad, 
msg =   96, time steps =   10, qsz =    2, switch = on, t =     1922 ms, ax =  0.5526, ay = -0.2673, az =  9.9626, gx = -0.0322 rad/s, gy = -0.0026 rad/s, gz =  0.0049 rad/s, erpm_pitch =    0, erpm_roll = -4391, I_w_pitch = -0.0000 A, I_w_roll =  3.2387 A, theta_roll_comp = -24.0424 mrad, theta_setpoint = -40.0000 mrad, 
msg =   97, time steps =   10, qsz =    2, switch = on, t =     1942 ms, ax =  0.5994, ay = -0.2397, az =  9.9531, gx = -0.0279 rad/s, gy = -0.0022 rad/s, gz =  0.0047 rad/s, erpm_pitch =    0, erpm_roll = -4614, I_w_pitch = -0.0000 A, I_w_roll =  2.5781 A, theta_roll_comp = -24.7066 mrad, theta_setpoint = -40.0000 mrad, 
msg =   98, time steps =   10, qsz =    2, switch = on, t =     1962 ms, ax =  0.6713, ay = -0.2481, az =  9.9495, gx = -0.0334 rad/s, gy = -0.0004 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll = -4701, I_w_pitch = -0.0000 A, I_w_roll =  3.6666 A, theta_roll_comp = -25.3684 mrad, theta_setpoint = -40.0000 mrad, 
msg =   99, time steps =   10, qsz =    2, switch = on, t =     1982 ms, ax =  0.6725, ay = -0.2925, az =  9.9411, gx = -0.0310 rad/s, gy =  0.0020 rad/s, gz =  0.0020 rad/s, erpm_pitch =    0, erpm_roll = -4701, I_w_pitch = -0.0000 A, I_w_roll =  3.3463 A, theta_roll_comp = -26.0629 mrad, theta_setpoint = -40.0000 mrad, 
msg =  100, time steps =   10, qsz =    2, switch = on, t =     2002 ms, ax =  0.6437, ay = -0.3201, az =  9.9231, gx = -0.0246 rad/s, gy =  0.0023 rad/s, gz =  0.0031 rad/s, erpm_pitch =    0, erpm_roll = -4853, I_w_pitch = -0.0000 A, I_w_roll =  2.3056 A, theta_roll_comp = -26.7490 mrad, theta_setpoint = -40.0000 mrad, 
msg =  101, time steps =   10, qsz =    2, switch = on, t =     2022 ms, ax =  0.5658, ay = -0.2841, az =  9.9363, gx = -0.0270 rad/s, gy =  0.0034 rad/s, gz =  0.0015 rad/s, erpm_pitch =    0, erpm_roll = -4853, I_w_pitch = -0.0000 A, I_w_roll =  2.8300 A, theta_roll_comp = -27.3298 mrad, theta_setpoint = -40.0000 mrad, 
msg =  102, time steps =   10, qsz =    2, switch = on, t =     2042 ms, ax =  0.5406, ay = -0.3093, az =  9.9806, gx = -0.0279 rad/s, gy =  0.0040 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = -4974, I_w_pitch = -0.0000 A, I_w_roll =  3.0945 A, theta_roll_comp = -27.9347 mrad, theta_setpoint = -40.0000 mrad, 
msg =  103, time steps =   10, qsz =    2, switch = on, t =     2062 ms, ax =  0.4963, ay = -0.3968, az =  9.9638, gx = -0.0205 rad/s, gy =  0.0020 rad/s, gz = -0.0024 rad/s, erpm_pitch =    0, erpm_roll = -5025, I_w_pitch = -0.0000 A, I_w_roll =  1.8543 A, theta_roll_comp = -28.5716 mrad, theta_setpoint = -40.0000 mrad, 
msg =  104, time steps =   10, qsz =    2, switch = on, t =     2082 ms, ax =  0.4915, ay = -0.3836, az =  9.9123, gx = -0.0190 rad/s, gy =  0.0004 rad/s, gz = -0.0028 rad/s, erpm_pitch =    0, erpm_roll = -5025, I_w_pitch = -0.0000 A, I_w_roll =  1.6832 A, theta_roll_comp = -29.1504 mrad, theta_setpoint = -40.0000 mrad, 
msg =  105, time steps =   10, qsz =    2, switch = on, t =     2102 ms, ax =  0.5814, ay = -0.2817, az =  9.8931, gx = -0.0209 rad/s, gy = -0.0010 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll = -5123, I_w_pitch = -0.0000 A, I_w_roll =  2.0859 A, theta_roll_comp = -29.5702 mrad, theta_setpoint = -40.0000 mrad, 
msg =  106, time steps =   10, qsz =    2, switch = on, t =     2122 ms, ax =  0.5382, ay = -0.2601, az =  9.9746, gx = -0.0174 rad/s, gy =  0.0003 rad/s, gz =  0.0051 rad/s, erpm_pitch =    0, erpm_roll = -5123, I_w_pitch = -0.0000 A, I_w_roll =  1.5021 A, theta_roll_comp = -29.8161 mrad, theta_setpoint = -40.0000 mrad, 
msg =  107, time steps =   10, qsz =    2, switch = on, t =     2142 ms, ax =  0.5970, ay = -0.2613, az =  9.9603, gx = -0.0167 rad/s, gy =  0.0007 rad/s, gz =  0.0039 rad/s, erpm_pitch =    0, erpm_roll = -5211, I_w_pitch = -0.0000 A, I_w_roll =  1.4221 A, theta_roll_comp = -30.0648 mrad, theta_setpoint = -40.0000 mrad, 
msg =  108, time steps =   10, qsz =    2, switch = on, t =     2162 ms, ax =  0.5442, ay = -0.3320, az =  9.9327, gx = -0.0189 rad/s, gy =  0.0023 rad/s, gz =  0.0019 rad/s, erpm_pitch =    0, erpm_roll = -5262, I_w_pitch = -0.0000 A, I_w_roll =  1.8722 A, theta_roll_comp = -30.4812 mrad, theta_setpoint = -40.0000 mrad, 
msg =  109, time steps =   10, qsz =    2, switch = on, t =     2182 ms, ax =  0.5850, ay = -0.3285, az =  9.9351, gx = -0.0173 rad/s, gy =  0.0026 rad/s, gz =  0.0052 rad/s, erpm_pitch =    0, erpm_roll = -5262, I_w_pitch = -0.0000 A, I_w_roll =  1.6435 A, theta_roll_comp = -30.8497 mrad, theta_setpoint = -40.0000 mrad, 
msg =  110, time steps =   10, qsz =    2, switch = on, t =     2202 ms, ax =  0.5718, ay = -0.2769, az =  9.9315, gx = -0.0157 rad/s, gy =  0.0031 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll = -5407, I_w_pitch = -0.0000 A, I_w_roll =  1.4049 A, theta_roll_comp = -31.1555 mrad, theta_setpoint = -40.0000 mrad, 
msg =  111, time steps =   10, qsz =    2, switch = on, t =     2222 ms, ax =  0.5886, ay = -0.3249, az =  9.9135, gx = -0.0162 rad/s, gy =  0.0034 rad/s, gz = -0.0056 rad/s, erpm_pitch =    0, erpm_roll = -5424, I_w_pitch = -0.0000 A, I_w_roll =  1.5516 A, theta_roll_comp = -31.4738 mrad, theta_setpoint = -40.0000 mrad, 
msg =  112, time steps =   10, qsz =    2, switch = on, t =     2242 ms, ax =  0.5958, ay = -0.2745, az =  9.9267, gx = -0.0143 rad/s, gy =  0.0023 rad/s, gz = -0.0047 rad/s, erpm_pitch =    0, erpm_roll = -5424, I_w_pitch = -0.0000 A, I_w_roll =  1.2626 A, theta_roll_comp = -31.7643 mrad, theta_setpoint = -40.0000 mrad, 
msg =  113, time steps =   10, qsz =    2, switch = on, t =     2262 ms, ax =  0.6329, ay = -0.3141, az =  9.9015, gx = -0.0125 rad/s, gy =  0.0002 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll = -5528, I_w_pitch = -0.0000 A, I_w_roll =  0.9699 A, theta_roll_comp = -32.0319 mrad, theta_setpoint = -40.0000 mrad, 
msg =  114, time steps =   10, qsz =    2, switch = on, t =     2282 ms, ax =  0.5718, ay = -0.2925, az =  9.9411, gx = -0.0125 rad/s, gy = -0.0001 rad/s, gz =  0.0031 rad/s, erpm_pitch =    0, erpm_roll = -5528, I_w_pitch = -0.0000 A, I_w_roll =  1.0009 A, theta_roll_comp = -32.2258 mrad, theta_setpoint = -40.0000 mrad, 
msg =  115, time steps =   10, qsz =    2, switch = on, t =     2302 ms, ax =  0.5550, ay = -0.2326, az =  9.9662, gx = -0.0123 rad/s, gy =  0.0011 rad/s, gz =  0.0025 rad/s, erpm_pitch =    0, erpm_roll = -5626, I_w_pitch = -0.0000 A, I_w_roll =  1.0005 A, theta_roll_comp = -32.3731 mrad, theta_setpoint = -40.0000 mrad, 
msg =  116, time steps =   10, qsz =    2, switch = on, t =     2322 ms, ax =  0.5610, ay = -0.1918, az =  9.9830, gx = -0.0115 rad/s, gy =  0.0016 rad/s, gz =  0.0053 rad/s, erpm_pitch =    0, erpm_roll = -5674, I_w_pitch = -0.0000 A, I_w_roll =  0.8666 A, theta_roll_comp = -32.4352 mrad, theta_setpoint = -40.0000 mrad, 
msg =  117, time steps =   10, qsz =    2, switch = on, t =     2342 ms, ax =  0.6233, ay = -0.2577, az =  9.9662, gx = -0.0122 rad/s, gy =  0.0012 rad/s, gz =  0.0079 rad/s, erpm_pitch =    0, erpm_roll = -5674, I_w_pitch = -0.0000 A, I_w_roll =  1.0006 A, theta_roll_comp = -32.5239 mrad, theta_setpoint = -40.0000 mrad, 
msg =  118, time steps =   10, qsz =    2, switch = on, t =     2362 ms, ax =  0.6126, ay = -0.2997, az =  9.9255, gx = -0.0115 rad/s, gy =  0.0014 rad/s, gz =  0.0020 rad/s, erpm_pitch =    0, erpm_roll = -5778, I_w_pitch = -0.0000 A, I_w_roll =  0.9021 A, theta_roll_comp = -32.6572 mrad, theta_setpoint = -40.0000 mrad, 
msg =  119, time steps =   10, qsz =    2, switch = on, t =     2382 ms, ax =  0.5478, ay = -0.2865, az =  9.9339, gx = -0.0101 rad/s, gy =  0.0019 rad/s, gz = -0.0047 rad/s, erpm_pitch =    0, erpm_roll = -5778, I_w_pitch = -0.0000 A, I_w_roll =  0.6630 A, theta_roll_comp = -32.8103 mrad, theta_setpoint = -40.0000 mrad, 
msg =  120, time steps =   10, qsz =    2, switch = on, t =     2402 ms, ax =  0.6161, ay = -0.3177, az =  9.9171, gx = -0.0089 rad/s, gy =  0.0014 rad/s, gz = -0.0056 rad/s, erpm_pitch =    0, erpm_roll = -5876, I_w_pitch = -0.0000 A, I_w_roll =  0.4733 A, theta_roll_comp = -32.9727 mrad, theta_setpoint = -40.0000 mrad, 
msg =  121, time steps =   10, qsz =    2, switch = on, t =     2422 ms, ax =  0.5850, ay = -0.3356, az =  9.9507, gx = -0.0083 rad/s, gy =  0.0018 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll = -5925, I_w_pitch = -0.0000 A, I_w_roll =  0.4074 A, theta_roll_comp = -33.1601 mrad, theta_setpoint = -40.0000 mrad, 
msg =  122, time steps =   10, qsz =    2, switch = on, t =     2442 ms, ax =  0.5922, ay = -0.2661, az =  9.9746, gx = -0.0082 rad/s, gy =  0.0027 rad/s, gz =  0.0073 rad/s, erpm_pitch =    0, erpm_roll = -5925, I_w_pitch = -0.0000 A, I_w_roll =  0.3985 A, theta_roll_comp = -33.2546 mrad, theta_setpoint = -40.0000 mrad, 
msg =  123, time steps =   10, qsz =    2, switch = on, t =     2462 ms, ax =  0.5718, ay = -0.3189, az =  9.9255, gx = -0.0089 rad/s, gy =  0.0023 rad/s, gz =  0.0032 rad/s, erpm_pitch =    0, erpm_roll = -6028, I_w_pitch = -0.0000 A, I_w_roll =  0.5351 A, theta_roll_comp = -33.3592 mrad, theta_setpoint = -40.0000 mrad, 
msg =  124, time steps =   10, qsz =    2, switch = on, t =     2482 ms, ax =  0.5586, ay = -0.3380, az =  9.9171, gx = -0.0091 rad/s, gy =  0.0010 rad/s, gz =  0.0041 rad/s, erpm_pitch =    0, erpm_roll = -6028, I_w_pitch = -0.0000 A, I_w_roll =  0.6031 A, theta_roll_comp = -33.4846 mrad, theta_setpoint = -40.0000 mrad, 
msg =  125, time steps =   10, qsz =    2, switch = on, t =     2502 ms, ax =  0.5622, ay = -0.3033, az =  9.9015, gx = -0.0085 rad/s, gy =  0.0010 rad/s, gz =  0.0029 rad/s, erpm_pitch =    0, erpm_roll = -6136, I_w_pitch = -0.0000 A, I_w_roll =  0.4991 A, theta_roll_comp = -33.5836 mrad, theta_setpoint = -40.0000 mrad, 
msg =  126, time steps =   10, qsz =    2, switch = on, t =     2522 ms, ax =  0.5406, ay = -0.2721, az =  9.9243, gx = -0.0079 rad/s, gy =  0.0008 rad/s, gz = -0.0027 rad/s, erpm_pitch =    0, erpm_roll = -6194, I_w_pitch = -0.0000 A, I_w_roll =  0.4173 A, theta_roll_comp = -33.6717 mrad, theta_setpoint = -40.0000 mrad, 
msg =  127, time steps =   10, qsz =    2, switch = on, t =     2542 ms, ax =  0.5982, ay = -0.2913, az =  9.9531, gx = -0.0070 rad/s, gy =  0.0011 rad/s, gz = -0.0061 rad/s, erpm_pitch =    0, erpm_roll = -6194, I_w_pitch = -0.0000 A, I_w_roll =  0.2610 A, theta_roll_comp = -33.7434 mrad, theta_setpoint = -40.0000 mrad, 
msg =  128, time steps =   10, qsz =    2, switch = on, t =     2562 ms, ax =  0.5874, ay = -0.3368, az =  9.9531, gx = -0.0065 rad/s, gy =  0.0014 rad/s, gz = -0.0015 rad/s, erpm_pitch =    0, erpm_roll = -6307, I_w_pitch = -0.0000 A, I_w_roll =  0.1844 A, theta_roll_comp = -33.8639 mrad, theta_setpoint = -40.0000 mrad, 
msg =  129, time steps =   10, qsz =    2, switch = on, t =     2582 ms, ax =  0.6269, ay = -0.2805, az =  9.9315, gx = -0.0074 rad/s, gy =  0.0022 rad/s, gz =  0.0064 rad/s, erpm_pitch =    0, erpm_roll = -6416, I_w_pitch = -0.0000 A, I_w_roll =  0.3619 A, theta_roll_comp = -33.9248 mrad, theta_setpoint = -40.0000 mrad, 
msg =  130, time steps =   10, qsz =    2, switch = on, t =     2602 ms, ax =  0.6233, ay = -0.2697, az =  9.9459, gx = -0.0075 rad/s, gy =  0.0031 rad/s, gz =  0.0055 rad/s, erpm_pitch =    0, erpm_roll = -6416, I_w_pitch = -0.0000 A, I_w_roll =  0.3868 A, theta_roll_comp = -33.9305 mrad, theta_setpoint = -40.0000 mrad, 
msg =  131, time steps =   10, qsz =    2, switch = on, t =     2622 ms, ax =  0.5286, ay = -0.3165, az =  9.9411, gx = -0.0077 rad/s, gy =  0.0022 rad/s, gz =  0.0035 rad/s, erpm_pitch =    0, erpm_roll = -6476, I_w_pitch = -0.0000 A, I_w_roll =  0.4172 A, theta_roll_comp = -33.9704 mrad, theta_setpoint = -40.0000 mrad, 
msg =  132, time steps =   10, qsz =    2, switch = on, t =     2642 ms, ax =  0.5167, ay = -0.3380, az =  9.9195, gx = -0.0075 rad/s, gy =  0.0020 rad/s, gz = -0.0012 rad/s, erpm_pitch =    0, erpm_roll = -6476, I_w_pitch = -0.0000 A, I_w_roll =  0.4131 A, theta_roll_comp = -34.0947 mrad, theta_setpoint = -40.0000 mrad, 
msg =  133, time steps =   10, qsz =    2, switch = on, t =     2662 ms, ax =  0.5790, ay = -0.2997, az =  9.9195, gx = -0.0069 rad/s, gy =  0.0007 rad/s, gz = -0.0045 rad/s, erpm_pitch =    0, erpm_roll = -6588, I_w_pitch = -0.0000 A, I_w_roll =  0.3107 A, theta_roll_comp = -34.2039 mrad, theta_setpoint = -40.0000 mrad, 
msg =  134, time steps =   10, qsz =    2, switch = on, t =     2682 ms, ax =  0.5430, ay = -0.3105, az =  9.9555, gx = -0.0057 rad/s, gy =  0.0010 rad/s, gz = -0.0059 rad/s, erpm_pitch =    0, erpm_roll = -6642, I_w_pitch = -0.0000 A, I_w_roll =  0.1036 A, theta_roll_comp = -34.2578 mrad, theta_setpoint = -40.0000 mrad, 
msg =  135, time steps =   10, qsz =    2, switch = on, t =     2702 ms, ax =  0.5202, ay = -0.3009, az =  9.9662, gx = -0.0057 rad/s, gy =  0.0008 rad/s, gz =  0.0019 rad/s, erpm_pitch =    0, erpm_roll = -6642, I_w_pitch = -0.0000 A, I_w_roll =  0.1164 A, theta_roll_comp = -34.3375 mrad, theta_setpoint = -40.0000 mrad, 
msg =  136, time steps =   10, qsz =    2, switch = on, t =     2722 ms, ax =  0.5610, ay = -0.2481, az =  9.9339, gx = -0.0067 rad/s, gy =  0.0016 rad/s, gz =  0.0063 rad/s, erpm_pitch =    0, erpm_roll = -6751, I_w_pitch = -0.0000 A, I_w_roll =  0.3040 A, theta_roll_comp = -34.3116 mrad, theta_setpoint = -40.0000 mrad, 
msg =  137, time steps =   10, qsz =    2, switch = on, t =     2742 ms, ax =  0.5742, ay = -0.2973, az =  9.9039, gx = -0.0069 rad/s, gy =  0.0018 rad/s, gz =  0.0071 rad/s, erpm_pitch =    0, erpm_roll = -6751, I_w_pitch = -0.0000 A, I_w_roll =  0.3205 A, theta_roll_comp = -34.2649 mrad, theta_setpoint = -40.0000 mrad, 
