picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  175, time steps =   10, qsz =    2, switch = on, t =     3502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6209, ay = -0.2913, az =  9.9279, gx =  0.0067 rad/s, gy =  0.0027 rad/s, gz = -0.0334 rad/s, erpm_pitch =    0, erpm_roll = -11310, I_w_pitch = -0.0000 A, I_w_roll = -5.5666 A, theta_roll_comp = -12.7502 mrad 
msg =  234, time steps =   10, qsz =    2, switch = on, t =     4682 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4459, ay = -0.1690, az =  9.9782, gx = -0.0761 rad/s, gy =  0.0040 rad/s, gz =  0.0083 rad/s, erpm_pitch =    0, erpm_roll = -6565, I_w_pitch = -0.0000 A, I_w_roll =  7.4088 A, theta_roll_comp = -0.6719 mrad 
msg =  235, time steps =   10, qsz =    2, switch = on, t =     4702 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5071, ay =  0.0096, az =  9.9650, gx = -0.0697 rad/s, gy =  0.0014 rad/s, gz =  0.0148 rad/s, erpm_pitch =    0, erpm_roll = -5671, I_w_pitch = -0.0000 A, I_w_roll =  6.5165 A, theta_roll_comp = -2.2851 mrad 
msg =  236, time steps =   10, qsz =    2, switch = on, t =     4722 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5238, ay = -0.0623, az =  9.9099, gx = -0.0576 rad/s, gy = -0.0060 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = -5193, I_w_pitch = -0.0000 A, I_w_roll =  4.5446 A, theta_roll_comp = -3.5923 mrad 
msg =  237, time steps =   10, qsz =    2, switch = on, t =     4742 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5155, ay = -0.1546, az =  9.9363, gx = -0.0633 rad/s, gy = -0.0038 rad/s, gz = -0.0043 rad/s, erpm_pitch =    0, erpm_roll = -5193, I_w_pitch = -0.0000 A, I_w_roll =  5.8014 A, theta_roll_comp = -5.0059 mrad 
msg =  238, time steps =   10, qsz =    2, switch = on, t =     4762 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5898, ay = -0.0803, az =  9.9854, gx = -0.0665 rad/s, gy =  0.0002 rad/s, gz =  0.0104 rad/s, erpm_pitch =    0, erpm_roll = -4190, I_w_pitch = -0.0000 A, I_w_roll =  6.6322 A, theta_roll_comp = -6.6034 mrad 
msg =  239, time steps =   10, qsz =    2, switch = on, t =     4782 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6761, ay = -0.0587, az =  9.9543, gx = -0.0549 rad/s, gy = -0.0010 rad/s, gz =  0.0173 rad/s, erpm_pitch =    0, erpm_roll = -3675, I_w_pitch = -0.0000 A, I_w_roll =  4.7496 A, theta_roll_comp = -7.8697 mrad 
msg =  240, time steps =   10, qsz =    2, switch = on, t =     4802 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6365, ay = -0.1726, az =  9.9159, gx = -0.0510 rad/s, gy =  0.0002 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll = -3675, I_w_pitch = -0.0000 A, I_w_roll =  4.2181 A, theta_roll_comp = -9.0415 mrad 
msg =  241, time steps =   10, qsz =    2, switch = on, t =     4822 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5814, ay = -0.2817, az =  9.9027, gx = -0.0623 rad/s, gy =  0.0048 rad/s, gz = -0.0100 rad/s, erpm_pitch =    0, erpm_roll = -2589, I_w_pitch = -0.0000 A, I_w_roll =  6.4842 A, theta_roll_comp = -10.4720 mrad 
msg =  242, time steps =   10, qsz =    2, switch = on, t =     4842 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5634, ay =  0.1606, az =  9.8679, gx = -0.0821 rad/s, gy =  0.0059 rad/s, gz =  0.0045 rad/s, erpm_pitch =    0, erpm_roll = -2589, I_w_pitch = -0.0000 A, I_w_roll = 10.2792 A, theta_roll_comp = -11.8705 mrad 
msg =  243, time steps =   10, qsz =    2, switch = on, t =     4862 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5226, ay =  0.4651, az = 10.0550, gx = -0.0812 rad/s, gy =  0.0068 rad/s, gz =  0.0041 rad/s, erpm_pitch =    0, erpm_roll = -915, I_w_pitch = -0.0000 A, I_w_roll = 10.1669 A, theta_roll_comp = -12.2172 mrad 
msg =  244, time steps =   10, qsz =    2, switch = on, t =     4882 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5418, ay =  0.1570, az =  9.9111, gx = -0.0559 rad/s, gy = -0.0001 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = -915, I_w_pitch = -0.0000 A, I_w_roll =  5.6525 A, theta_roll_comp = -12.4641 mrad 
msg =  245, time steps =   10, qsz =    2, switch = on, t =     4902 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4064, ay = -0.3368, az =  9.7996, gx = -0.0713 rad/s, gy = -0.0076 rad/s, gz =  0.0081 rad/s, erpm_pitch =    0, erpm_roll = -915, I_w_pitch = -0.0000 A, I_w_roll =  8.6141 A, theta_roll_comp = -13.5974 mrad 
msg =  246, time steps =   10, qsz =    2, switch = on, t =     4922 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4267, ay = -0.2158, az =  9.9495, gx = -0.1093 rad/s, gy =  0.0034 rad/s, gz = -0.0053 rad/s, erpm_pitch =    0, erpm_roll = -380, I_w_pitch = -0.0000 A, I_w_roll = 15.7552 A, theta_roll_comp = -15.5371 mrad 
msg =  247, time steps =   10, qsz =    2, switch = on, t =     4942 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5586, ay =  0.0048, az =  9.9219, gx = -0.1009 rad/s, gy = -0.0002 rad/s, gz =  0.0056 rad/s, erpm_pitch =    0, erpm_roll =  -36, I_w_pitch = -0.0000 A, I_w_roll = 14.5488 A, theta_roll_comp = -17.4343 mrad 
msg =  248, time steps =   10, qsz =    2, switch = on, t =     4962 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4855, ay = -0.2709, az =  9.9483, gx = -0.0720 rad/s, gy = -0.0131 rad/s, gz =  0.0246 rad/s, erpm_pitch =    0, erpm_roll =  315, I_w_pitch = -0.0000 A, I_w_roll =  9.5987 A, theta_roll_comp = -19.0024 mrad 
msg =  249, time steps =   10, qsz =    2, switch = on, t =     4982 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4255, ay = -0.7073, az =  9.8260, gx = -0.0818 rad/s, gy = -0.0073 rad/s, gz =  0.0051 rad/s, erpm_pitch =    0, erpm_roll =  679, I_w_pitch = -0.0000 A, I_w_roll = 11.7037 A, theta_roll_comp = -21.0734 mrad 
msg =  250, time steps =   10, qsz =    2, switch = on, t =     5002 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6269, ay = -0.6185, az =  9.8883, gx = -0.0986 rad/s, gy = -0.0034 rad/s, gz =  0.0009 rad/s, erpm_pitch =    0, erpm_roll =  679, I_w_pitch = -0.0000 A, I_w_roll = 15.1370 A, theta_roll_comp = -23.6573 mrad 
msg =  251, time steps =   10, qsz =    2, switch = on, t =     5022 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6941, ay = -0.4639, az = 10.0861, gx = -0.0733 rad/s, gy = -0.0068 rad/s, gz =  0.0146 rad/s, erpm_pitch =    0, erpm_roll = 1569, I_w_pitch = -0.0000 A, I_w_roll = 10.9321 A, theta_roll_comp = -25.8379 mrad 
msg =  252, time steps =   10, qsz =    2, switch = on, t =     5042 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6317, ay = -0.8151, az =  9.9267, gx = -0.0458 rad/s, gy = -0.0074 rad/s, gz =  0.0169 rad/s, erpm_pitch =    0, erpm_roll = 1569, I_w_pitch = -0.0000 A, I_w_roll =  6.2567 A, theta_roll_comp = -27.6253 mrad 
msg =  253, time steps =   10, qsz =    2, switch = on, t =     5062 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6245, ay = -0.9434, az =  9.8344, gx = -0.0573 rad/s, gy = -0.0013 rad/s, gz =  0.0027 rad/s, erpm_pitch =    0, erpm_roll = 2492, I_w_pitch = -0.0000 A, I_w_roll =  8.6855 A, theta_roll_comp = -29.7724 mrad 
msg =  254, time steps =   10, qsz =    2, switch = on, t =     5082 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.7216, ay = -0.6197, az = 10.0418, gx = -0.0601 rad/s, gy =  0.0046 rad/s, gz = -0.0065 rad/s, erpm_pitch =    0, erpm_roll = 2945, I_w_pitch = -0.0000 A, I_w_roll =  9.5040 A, theta_roll_comp = -31.7428 mrad 
msg =  255, time steps =   10, qsz =    2, switch = on, t =     5102 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.7037, ay = -0.5394, az = 10.0394, gx = -0.0262 rad/s, gy =  0.0051 rad/s, gz =  0.0013 rad/s, erpm_pitch =    0, erpm_roll = 2945, I_w_pitch = -0.0000 A, I_w_roll =  3.5983 A, theta_roll_comp = -33.0304 mrad 
msg =  256, time steps =   10, qsz =    2, switch = on, t =     5122 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5478, ay = -0.8211, az =  9.8656, gx = -0.0102 rad/s, gy =  0.0022 rad/s, gz =  0.0125 rad/s, erpm_pitch =    0, erpm_roll = 3700, I_w_pitch = -0.0000 A, I_w_roll =  0.8765 A, theta_roll_comp = -33.9953 mrad 
msg =  257, time steps =   10, qsz =    2, switch = on, t =     5142 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5059, ay = -0.7216, az =  9.8811, gx = -0.0280 rad/s, gy =  0.0080 rad/s, gz = -0.0061 rad/s, erpm_pitch =    0, erpm_roll = 4241, I_w_pitch = -0.0000 A, I_w_roll =  4.2711 A, theta_roll_comp = -35.1380 mrad 
msg =  258, time steps =   10, qsz =    2, switch = on, t =     5162 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5862, ay = -0.1894, az = 10.0142, gx = -0.0233 rad/s, gy =  0.0082 rad/s, gz = -0.0128 rad/s, erpm_pitch =    0, erpm_roll = 4241, I_w_pitch = -0.0000 A, I_w_roll =  3.5056 A, theta_roll_comp = -35.7466 mrad 
msg =  259, time steps =   10, qsz =    2, switch = on, t =     5182 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5047, ay = -0.2853, az = 10.0070, gx =  0.0027 rad/s, gy =  0.0012 rad/s, gz =  0.0021 rad/s, erpm_pitch =    0, erpm_roll = 4409, I_w_pitch = -0.0000 A, I_w_roll = -1.1800 A, theta_roll_comp = -35.6722 mrad 
msg =  260, time steps =   10, qsz =    2, switch = on, t =     5202 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.3596, ay = -0.5490, az =  9.8440, gx =  0.0010 rad/s, gy = -0.0012 rad/s, gz =  0.0047 rad/s, erpm_pitch =    0, erpm_roll = 4409, I_w_pitch = -0.0000 A, I_w_roll = -0.8540 A, theta_roll_comp = -35.7626 mrad 
msg =  261, time steps =   10, qsz =    2, switch = on, t =     5222 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5286, ay = -0.2817, az =  9.9087, gx = -0.0217 rad/s, gy =  0.0026 rad/s, gz = -0.0021 rad/s, erpm_pitch =    0, erpm_roll = 4550, I_w_pitch = -0.0000 A, I_w_roll =  3.2549 A, theta_roll_comp = -35.9777 mrad 
msg =  262, time steps =   10, qsz =    2, switch = on, t =     5242 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6006, ay = -0.0515, az = 10.0334, gx = -0.0126 rad/s, gy =  0.0002 rad/s, gz =  0.0021 rad/s, erpm_pitch =    0, erpm_roll = 4555, I_w_pitch = -0.0000 A, I_w_roll =  1.6109 A, theta_roll_comp = -35.8885 mrad 
msg =  263, time steps =   10, qsz =    2, switch = on, t =     5262 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5874, ay = -0.2793, az =  9.9267, gx =  0.0055 rad/s, gy = -0.0050 rad/s, gz =  0.0146 rad/s, erpm_pitch =    0, erpm_roll = 4555, I_w_pitch = -0.0000 A, I_w_roll = -1.6954 A, theta_roll_comp = -35.5967 mrad 
msg =  264, time steps =   10, qsz =    2, switch = on, t =     5282 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5598, ay = -0.4831, az =  9.8164, gx = -0.0086 rad/s, gy = -0.0013 rad/s, gz =  0.0073 rad/s, erpm_pitch =    0, erpm_roll = 4461, I_w_pitch = -0.0000 A, I_w_roll =  0.8636 A, theta_roll_comp = -35.7118 mrad 
msg =  265, time steps =   10, qsz =    2, switch = on, t =     5302 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6329, ay = -0.1618, az =  9.9662, gx = -0.0267 rad/s, gy =  0.0036 rad/s, gz = -0.0040 rad/s, erpm_pitch =    0, erpm_roll = 4461, I_w_pitch = -0.0000 A, I_w_roll =  4.1668 A, theta_roll_comp = -35.9847 mrad 
msg =  266, time steps =   10, qsz =    2, switch = on, t =     5322 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6725, ay = -0.0959, az = 10.0430, gx = -0.0086 rad/s, gy =  0.0020 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll = 4308, I_w_pitch = -0.0000 A, I_w_roll =  0.9026 A, theta_roll_comp = -35.9561 mrad 
msg =  267, time steps =   10, qsz =    2, switch = on, t =     5342 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5838, ay = -0.4747, az =  9.8883, gx =  0.0020 rad/s, gy = -0.0008 rad/s, gz =  0.0088 rad/s, erpm_pitch =    0, erpm_roll = 4237, I_w_pitch = -0.0000 A, I_w_roll = -1.0180 A, theta_roll_comp = -35.9360 mrad 
msg =  268, time steps =   10, qsz =    2, switch = on, t =     5362 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5442, ay = -0.4699, az =  9.8512, gx = -0.0171 rad/s, gy =  0.0039 rad/s, gz = -0.0057 rad/s, erpm_pitch =    0, erpm_roll = 4237, I_w_pitch = -0.0000 A, I_w_roll =  2.4916 A, theta_roll_comp = -36.2999 mrad 
msg =  269, time steps =   10, qsz =    2, switch = on, t =     5382 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5634, ay = -0.1894, az = 10.0058, gx = -0.0218 rad/s, gy =  0.0058 rad/s, gz = -0.0108 rad/s, erpm_pitch =    0, erpm_roll = 4125, I_w_pitch = -0.0000 A, I_w_roll =  3.3820 A, theta_roll_comp = -36.6222 mrad 
msg =  270, time steps =   10, qsz =    2, switch = on, t =     5402 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5634, ay = -0.2781, az =  9.9818, gx = -0.0012 rad/s, gy =  0.0010 rad/s, gz =  0.0028 rad/s, erpm_pitch =    0, erpm_roll = 4125, I_w_pitch = -0.0000 A, I_w_roll = -0.3394 A, theta_roll_comp = -36.5822 mrad 
msg =  271, time steps =   10, qsz =    2, switch = on, t =     5422 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4663, ay = -0.4879, az =  9.8356, gx = -0.0012 rad/s, gy = -0.0013 rad/s, gz =  0.0053 rad/s, erpm_pitch =    0, erpm_roll = 4048, I_w_pitch = -0.0000 A, I_w_roll = -0.3254 A, theta_roll_comp = -36.6693 mrad 
msg =  272, time steps =   10, qsz =    2, switch = on, t =     5442 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4519, ay = -0.4351, az =  9.9039, gx = -0.0181 rad/s, gy =  0.0032 rad/s, gz = -0.0043 rad/s, erpm_pitch =    0, erpm_roll = 4032, I_w_pitch = -0.0000 A, I_w_roll =  2.7850 A, theta_roll_comp = -37.0849 mrad 
msg =  273, time steps =   10, qsz =    2, switch = on, t =     5462 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6030, ay = -0.2290, az = 10.0082, gx = -0.0102 rad/s, gy =  0.0014 rad/s, gz =  0.0009 rad/s, erpm_pitch =    0, erpm_roll = 4032, I_w_pitch = -0.0000 A, I_w_roll =  1.3931 A, theta_roll_comp = -37.2241 mrad 
msg =  274, time steps =   10, qsz =    2, switch = on, t =     5482 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5610, ay = -0.3644, az =  9.9423, gx =  0.0059 rad/s, gy = -0.0024 rad/s, gz =  0.0108 rad/s, erpm_pitch =    0, erpm_roll = 3986, I_w_pitch = -0.0000 A, I_w_roll = -1.5244 A, theta_roll_comp = -37.1153 mrad 
msg =  275, time steps =   10, qsz =    2, switch = on, t =     5502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5430, ay = -0.5023, az =  9.8632, gx = -0.0030 rad/s, gy = -0.0002 rad/s, gz =  0.0041 rad/s, erpm_pitch =    0, erpm_roll = 3986, I_w_pitch = -0.0000 A, I_w_roll =  0.1022 A, theta_roll_comp = -37.2448 mrad 
msg =  276, time steps =   10, qsz =    2, switch = on, t =     5522 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6149, ay = -0.3177, az =  9.9555, gx = -0.0123 rad/s, gy =  0.0040 rad/s, gz = -0.0027 rad/s, erpm_pitch =    0, erpm_roll = 3964, I_w_pitch = -0.0000 A, I_w_roll =  1.8100 A, theta_roll_comp = -37.4329 mrad 
msg =  277, time steps =   10, qsz =    2, switch = on, t =     5542 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6293, ay = -0.2086, az = 10.0166, gx =  0.0023 rad/s, gy =  0.0018 rad/s, gz =  0.0028 rad/s, erpm_pitch =    0, erpm_roll = 3944, I_w_pitch = -0.0000 A, I_w_roll = -0.8476 A, theta_roll_comp = -37.3008 mrad 
msg =  278, time steps =   10, qsz =    2, switch = on, t =     5562 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5406, ay = -0.4303, az =  9.9039, gx =  0.0084 rad/s, gy =  0.0007 rad/s, gz =  0.0060 rad/s, erpm_pitch =    0, erpm_roll = 3944, I_w_pitch = -0.0000 A, I_w_roll = -1.9763 A, theta_roll_comp = -37.1366 mrad 
msg =  279, time steps =   10, qsz =    2, switch = on, t =     5582 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5574, ay = -0.4291, az =  9.8871, gx = -0.0059 rad/s, gy =  0.0043 rad/s, gz = -0.0049 rad/s, erpm_pitch =    0, erpm_roll = 3892, I_w_pitch = -0.0000 A, I_w_roll =  0.6241 A, theta_roll_comp = -37.2112 mrad 
msg =  280, time steps =   10, qsz =    2, switch = on, t =     5602 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5754, ay = -0.1762, az =  9.9890, gx = -0.0059 rad/s, gy =  0.0050 rad/s, gz = -0.0071 rad/s, erpm_pitch =    0, erpm_roll = 3847, I_w_pitch = -0.0000 A, I_w_roll =  0.6085 A, theta_roll_comp = -37.1134 mrad 
msg =  281, time steps =   10, qsz =    2, switch = on, t =     5622 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5514, ay = -0.2218, az =  9.9770, gx =  0.0080 rad/s, gy =  0.0006 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll = 3847, I_w_pitch = -0.0000 A, I_w_roll = -1.9618 A, theta_roll_comp = -36.7782 mrad 
msg =  282, time steps =   10, qsz =    2, switch = on, t =     5642 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4651, ay = -0.4100, az =  9.8955, gx =  0.0036 rad/s, gy =  0.0019 rad/s, gz = -0.0007 rad/s, erpm_pitch =    0, erpm_roll = 3767, I_w_pitch = -0.0000 A, I_w_roll = -1.1869 A, theta_roll_comp = -36.6779 mrad 
msg =  283, time steps =   10, qsz =    2, switch = on, t =     5662 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5442, ay = -0.3332, az =  9.9375, gx = -0.0073 rad/s, gy =  0.0036 rad/s, gz = -0.0015 rad/s, erpm_pitch =    0, erpm_roll = 3767, I_w_pitch = -0.0000 A, I_w_roll =  0.7839 A, theta_roll_comp = -36.7122 mrad 
msg =  284, time steps =   10, qsz =    2, switch = on, t =     5682 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5538, ay = -0.2733, az =  9.9782, gx =  0.0010 rad/s, gy =  0.0012 rad/s, gz =  0.0021 rad/s, erpm_pitch =    0, erpm_roll = 3663, I_w_pitch = -0.0000 A, I_w_roll = -0.7238 A, theta_roll_comp = -36.5763 mrad 
msg =  285, time steps =   10, qsz =    2, switch = on, t =     5702 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5382, ay = -0.3476, az =  9.9027, gx =  0.0071 rad/s, gy = -0.0020 rad/s, gz =  0.0072 rad/s, erpm_pitch =    0, erpm_roll = 3610, I_w_pitch = -0.0000 A, I_w_roll = -1.8617 A, theta_roll_comp = -36.3553 mrad 
msg =  286, time steps =   10, qsz =    2, switch = on, t =     5722 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5394, ay = -0.3464, az =  9.9027, gx = -0.0026 rad/s, gy =  0.0011 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll = 3610, I_w_pitch = -0.0000 A, I_w_roll = -0.1121 A, theta_roll_comp = -36.3548 mrad 
msg =  287, time steps =   10, qsz =    2, switch = on, t =     5742 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6114, ay = -0.2134, az =  9.9998, gx = -0.0029 rad/s, gy =  0.0032 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll = 3520, I_w_pitch = -0.0000 A, I_w_roll = -0.0731 A, theta_roll_comp = -36.2990 mrad 
msg =  288, time steps =   10, qsz =    2, switch = on, t =     5762 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6185, ay = -0.2925, az =  9.9806, gx =  0.0075 rad/s, gy =  0.0008 rad/s, gz =  0.0048 rad/s, erpm_pitch =    0, erpm_roll = 3520, I_w_pitch = -0.0000 A, I_w_roll = -1.9796 A, theta_roll_comp = -36.0676 mrad 
msg =  289, time steps =   10, qsz =    2, switch = on, t =     5782 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5490, ay = -0.4244, az =  9.9159, gx =  0.0052 rad/s, gy =  0.0019 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll = 3421, I_w_pitch = -0.0000 A, I_w_roll = -1.5933 A, theta_roll_comp = -35.9352 mrad 
msg =  290, time steps =   10, qsz =    2, switch = on, t =     5802 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5802, ay = -0.3632, az =  9.9375, gx = -0.0025 rad/s, gy =  0.0044 rad/s, gz = -0.0035 rad/s, erpm_pitch =    0, erpm_roll = 3371, I_w_pitch = -0.0000 A, I_w_roll = -0.2077 A, theta_roll_comp = -35.9072 mrad 
msg =  291, time steps =   10, qsz =    2, switch = on, t =     5822 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5850, ay = -0.2793, az =  9.9603, gx =  0.0038 rad/s, gy =  0.0031 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll = 3371, I_w_pitch = -0.0000 A, I_w_roll = -1.3642 A, theta_roll_comp = -35.7197 mrad 
msg =  292, time steps =   10, qsz =    2, switch = on, t =     5842 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5394, ay = -0.3512, az =  9.9111, gx =  0.0087 rad/s, gy =  0.0008 rad/s, gz =  0.0028 rad/s, erpm_pitch =    0, erpm_roll = 3278, I_w_pitch = -0.0000 A, I_w_roll = -2.2892 A, theta_roll_comp = -35.4809 mrad 
msg =  293, time steps =   10, qsz =    2, switch = on, t =     5862 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5214, ay = -0.3836, az =  9.8991, gx =  0.0011 rad/s, gy =  0.0028 rad/s, gz = -0.0024 rad/s, erpm_pitch =    0, erpm_roll = 3278, I_w_pitch = -0.0000 A, I_w_roll = -0.9365 A, theta_roll_comp = -35.3966 mrad 
